,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
1298,polls-plus,Alabama,2016-07-19 00:00:00,2016-07-19 00:00:00,Strategy Research,4100.0,33.0,57.0,44747,2016-07-19 00:00:00,81.0,9.0,2337.0
1877,polls-plus,Alabama,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,353.0,36.5,56.8,46633,2016-09-29 12:00:00,8.5,9.0,200.0
2200,polls-plus,Alabama,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,312.0,37.0,55.5,46337,2016-09-22 12:00:00,15.5,9.0,173.0
2249,polls-plus,Alabama,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,379.0,22.5,53.8,46687,2016-10-06 12:00:00,1.5,9.0,203.0
2275,polls-plus,Alabama,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,403.0,39.4,53.1,46056,2016-09-12 00:00:00,26.0,9.0,214.0
2398,polls-plus,Alabama,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,958.0,31.0,53.0,45343,2016-08-20 12:00:00,48.5,9.0,507.0
2486,polls-plus,Alabama,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,357.0,19.4,56.6,46460,2016-09-30 00:00:00,8.0,9.0,202.0
2662,polls-plus,Alabama,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,361.0,29.2,48.4,46235,2016-09-23 12:00:00,14.5,9.0,174.0
2727,polls-plus,Alabama,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,392.0,40.1,52.9,45832,2016-09-05 00:00:00,33.0,9.0,207.0
2771,polls-plus,Alabama,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,413.0,18.4,55.1,45948,2016-09-17 00:00:00,21.0,9.0,227.0
2872,polls-plus,Alabama,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,367.0,42.3,50.6,45641,2016-08-29 00:00:00,40.0,9.0,185.0
2927,polls-plus,Alabama,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,425.0,19.0,56.8,45743,2016-09-10 00:00:00,28.0,9.0,241.0
3010,polls-plus,Alabama,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,367.0,39.4,51.5,45279,2016-08-22 00:00:00,47.0,9.0,189.0
3097,polls-plus,Alabama,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,358.0,21.3,55.6,45441,2016-09-03 00:00:00,35.0,9.0,198.0
3139,polls-plus,Alabama,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,385.0,42.1,48.1,44998,2016-08-15 00:00:00,54.0,9.0,185.0
3165,polls-plus,Alabama,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,455.0,17.1,56.2,45491,2016-08-27 00:00:00,42.0,9.0,255.0
3304,polls-plus,Alabama,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,380.0,36.3,54.5,44940,2016-08-08 00:00:00,61.0,9.0,207.0
3318,polls-plus,Alabama,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,414.0,18.0,56.8,45542,2016-08-20 00:00:00,49.0,9.0,235.0
3434,polls-plus,Alabama,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,407.0,19.6,54.5,45592,2016-08-13 00:00:00,56.0,9.0,221.0
3806,polls-plus,Alabama,2016-01-12 00:00:00,2016-01-12 00:00:00,Strategy Research,2700.0,32.0,68.0,44863,2016-01-12 00:00:00,270.0,9.0,1836.0
4130,polls-plus,Alabama,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,341.0,38.3,53.8,46817,2016-10-06 12:00:00,1.5,9.0,183.0
