,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
539,polls-plus,Alaska,2016-10-05 00:00:00,2016-10-06 00:00:00,Moore Information,500.0,34.0,37.0,46556,2016-10-05 12:00:00,2.5,3.0,185.0
641,polls-plus,Alaska,2016-09-28 00:00:00,2016-10-02 00:00:00,Ivan Moore Research,660.0,30.6,36.1,46565,2016-09-30 00:00:00,8.0,3.0,238.0
950,polls-plus,Alaska,2016-09-13 00:00:00,2016-09-15 00:00:00,Moore Information,500.0,31.0,39.0,46555,2016-09-14 00:00:00,24.0,3.0,195.0
1320,polls-plus,Alaska,2016-08-27 00:00:00,2016-08-29 00:00:00,Moore Information,500.0,29.0,39.0,45319,2016-08-28 00:00:00,41.0,3.0,195.0
1417,polls-plus,Alaska,2016-08-09 00:00:00,2016-08-14 00:00:00,Lake Research Partners,500.0,30.0,38.0,46873,2016-08-11 12:00:00,57.5,3.0,190.0
1937,polls-plus,Alaska,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,60.0,30.0,27.2,46686,2016-10-06 12:00:00,1.5,3.0,16.0
1966,polls-plus,Alaska,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,989.0,31.0,38.0,45344,2016-08-20 12:00:00,48.5,3.0,375.0
2134,polls-plus,Alaska,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,65.0,47.5,36.7,46459,2016-09-30 00:00:00,8.0,3.0,23.0
2304,polls-plus,Alaska,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,67.0,28.4,37.7,46234,2016-09-23 12:00:00,14.5,3.0,25.0
2516,polls-plus,Alaska,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,56.0,20.8,39.2,45947,2016-09-17 00:00:00,21.0,3.0,21.0
2654,polls-plus,Alaska,2016-06-16 00:00:00,2016-06-20 00:00:00,Ivan Moore Research,670.0,30.0,39.0,44907,2016-06-18 00:00:00,112.0,3.0,261.0
2680,polls-plus,Alaska,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,86.0,18.1,44.2,45440,2016-09-03 00:00:00,35.0,3.0,38.0
2708,polls-plus,Alaska,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,51.0,23.4,41.1,45742,2016-09-10 00:00:00,28.0,3.0,20.0
2822,polls-plus,Alaska,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,87.0,30.8,29.4,45490,2016-08-27 00:00:00,42.0,3.0,25.0
2960,polls-plus,Alaska,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,87.0,29.5,38.0,45541,2016-08-20 00:00:00,49.0,3.0,33.0
3130,polls-plus,Alaska,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,88.0,31.7,28.4,45591,2016-08-13 00:00:00,56.0,3.0,24.0
3825,polls-plus,Alaska,2016-01-05 00:00:00,2016-01-12 00:00:00,Ivan Moore Research,651.0,44.1,49.3,35997,2016-01-08 12:00:00,273.5,3.0,320.0
