,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
596,polls-plus,Arizona,2016-09-28 00:00:00,2016-09-30 00:00:00,MBQF,718.0,42.0,42.0,46538,2016-09-29 00:00:00,9.0,11.0,301.0
753,polls-plus,Arizona,2016-10-02 00:00:00,2016-10-04 00:00:00,Emerson College,600.0,44.0,42.0,46524,2016-10-03 00:00:00,5.0,11.0,252.0
840,polls-plus,Arizona,2016-09-06 00:00:00,2016-09-08 00:00:00,Marist College,649.0,38.0,40.0,45694,2016-09-07 00:00:00,31.0,11.0,259.0
900,polls-plus,Arizona,2016-08-26 00:00:00,2016-08-28 00:00:00,Public Policy Polling,837.0,43.0,46.0,45258,2016-08-27 00:00:00,42.0,11.0,385.0
1031,polls-plus,Arizona,2016-09-12 00:00:00,2016-09-14 00:00:00,Insights West,484.0,33.0,37.0,45920,2016-09-13 00:00:00,25.0,11.0,179.0
1077,polls-plus,Arizona,2016-08-18 00:00:00,2016-08-23 00:00:00,CNN/Opinion Research Corp.,809.0,38.0,45.0,44934,2016-08-20 12:00:00,48.5,11.0,364.0
1258,polls-plus,Arizona,2016-08-27 00:00:00,2016-08-27 00:00:00,Gravis Marketing,1244.0,40.0,44.0,45246,2016-08-27 00:00:00,42.0,11.0,547.0
1287,polls-plus,Arizona,2016-08-25 00:00:00,2016-08-27 00:00:00,MBQF,728.0,40.0,39.0,45048,2016-08-26 00:00:00,43.0,11.0,283.0
1353,polls-plus,Arizona,2016-08-17 00:00:00,2016-08-31 00:00:00,Arizona State University,704.0,39.9,36.8,45407,2016-08-24 00:00:00,45.0,11.0,259.0
1720,polls-plus,Arizona,2016-09-20 00:00:00,2016-09-22 00:00:00,Data Orbital,550.0,38.0,40.0,46160,2016-09-21 00:00:00,17.0,11.0,220.0
1730,polls-plus,Arizona,2016-07-29 00:00:00,2016-07-29 00:00:00,Integrated Web Strategy,679.0,41.3,48.8,44707,2016-07-29 00:00:00,71.0,11.0,331.0
1770,polls-plus,Arizona,2016-08-02 00:00:00,2016-08-05 00:00:00,YouGov,1095.0,42.0,44.0,44784,2016-08-03 12:00:00,65.5,11.0,481.0
1956,polls-plus,Arizona,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,617.0,42.2,49.1,46634,2016-09-29 12:00:00,8.5,11.0,302.0
2310,polls-plus,Arizona,2016-08-01 00:00:00,2016-08-01 00:00:00,MBQF,996.0,45.0,42.0,44752,2016-08-01 00:00:00,68.0,11.0,418.0
2382,polls-plus,Arizona,2016-06-22 00:00:00,2016-06-23 00:00:00,Public Policy Polling,691.0,40.0,44.0,44432,2016-06-22 12:00:00,107.5,11.0,304.0
2384,polls-plus,Arizona,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,562.0,38.2,35.9,46689,2016-10-06 12:00:00,1.5,11.0,201.0
2472,polls-plus,Arizona,2016-06-11 00:00:00,2016-06-20 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),300.0,39.0,45.0,44474,2016-06-15 12:00:00,114.5,11.0,135.0
2566,polls-plus,Arizona,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,533.0,44.1,45.7,46338,2016-09-22 12:00:00,15.5,11.0,243.0
2582,polls-plus,Arizona,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,579.0,38.8,32.9,46462,2016-09-30 00:00:00,8.0,11.0,190.0
2801,polls-plus,Arizona,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,428.0,41.6,47.9,46057,2016-09-15 12:00:00,22.5,11.0,204.0
2808,polls-plus,Arizona,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,494.0,37.8,33.8,46237,2016-09-23 12:00:00,14.5,11.0,167.0
2815,polls-plus,Arizona,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2026.0,37.0,39.0,45345,2016-08-20 12:00:00,48.5,11.0,790.0
2876,polls-plus,Arizona,2016-06-20 00:00:00,2016-06-20 00:00:00,MBQF,1060.0,46.5,42.2,44392,2016-06-20 00:00:00,110.0,11.0,447.0
2895,polls-plus,Arizona,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,467.0,39.5,46.1,45833,2016-09-08 12:00:00,29.5,11.0,215.0
2912,polls-plus,Arizona,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,572.0,37.5,32.1,45950,2016-09-17 00:00:00,21.0,11.0,183.0
