,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
778,polls-plus,Arkansas,2016-09-09 00:00:00,2016-09-13 00:00:00,Emerson College,600.0,29.0,57.0,45816,2016-09-11 00:00:00,27.0,6.0,342.0
892,polls-plus,Arkansas,2016-09-15 00:00:00,2016-09-17 00:00:00,Hendrix College,831.0,34.0,55.0,46005,2016-09-16 00:00:00,22.0,6.0,457.0
1784,polls-plus,Arkansas,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,314.0,35.6,52.4,46819,2016-10-03 00:00:00,5.0,6.0,164.0
2025,polls-plus,Arkansas,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,180.0,34.7,40.2,46688,2016-10-06 12:00:00,1.5,6.0,72.0
2050,polls-plus,Arkansas,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,309.0,37.9,53.0,46635,2016-09-26 00:00:00,12.0,6.0,163.0
2261,polls-plus,Arkansas,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,306.0,41.3,49.9,46339,2016-09-19 00:00:00,19.0,6.0,152.0
2339,polls-plus,Arkansas,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,150.0,29.7,45.4,46461,2016-09-30 00:00:00,8.0,6.0,68.0
2394,polls-plus,Arkansas,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,765.0,37.0,46.0,45346,2016-08-20 12:00:00,48.5,6.0,351.0
2473,polls-plus,Arkansas,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,280.0,41.1,49.1,46058,2016-09-12 00:00:00,26.0,6.0,137.0
2534,polls-plus,Arkansas,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,131.0,28.1,45.5,46236,2016-09-23 12:00:00,14.5,6.0,59.0
2594,polls-plus,Arkansas,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,179.0,36.4,35.4,45949,2016-09-17 00:00:00,21.0,6.0,63.0
2620,polls-plus,Arkansas,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,286.0,41.3,51.3,45834,2016-09-05 00:00:00,33.0,6.0,146.0
2707,polls-plus,Arkansas,2016-06-21 00:00:00,2016-06-21 00:00:00,Hendrix College,751.0,36.0,47.0,44417,2016-06-21 00:00:00,109.0,6.0,352.0
2756,polls-plus,Arkansas,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,175.0,34.5,35.1,45744,2016-09-10 00:00:00,28.0,6.0,61.0
2786,polls-plus,Arkansas,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,266.0,41.4,49.8,45643,2016-08-29 00:00:00,40.0,6.0,132.0
2874,polls-plus,Arkansas,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,189.0,33.8,40.6,45442,2016-09-03 00:00:00,35.0,6.0,76.0
2944,polls-plus,Arkansas,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,243.0,42.2,47.6,45281,2016-08-22 00:00:00,47.0,6.0,115.0
3024,polls-plus,Arkansas,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,179.0,31.7,42.4,45492,2016-08-27 00:00:00,42.0,6.0,75.0
3080,polls-plus,Arkansas,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,250.0,39.5,47.6,45000,2016-08-15 00:00:00,54.0,6.0,119.0
3125,polls-plus,Arkansas,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,196.0,27.6,39.6,45543,2016-08-20 00:00:00,49.0,6.0,77.0
3212,polls-plus,Arkansas,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,290.0,39.8,44.7,44942,2016-08-08 00:00:00,61.0,6.0,129.0
3353,polls-plus,Arkansas,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,151.0,23.6,41.0,45593,2016-08-13 00:00:00,56.0,6.0,61.0
