,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
897,polls-plus,California,2016-09-09 00:00:00,2016-09-18 00:00:00,Public Policy Institute of California,1055.0,47.0,31.0,45933,2016-09-13 12:00:00,24.5,55.0,327.0
999,polls-plus,California,2016-08-23 00:00:00,2016-08-30 00:00:00,Tulchin Research,601.0,52.0,31.0,45724,2016-08-26 12:00:00,42.5,55.0,186.0
1020,polls-plus,California,2016-09-12 00:00:00,2016-09-14 00:00:00,Insights West,515.0,57.0,30.0,45921,2016-09-13 00:00:00,25.0,55.0,154.0
1141,polls-plus,California,2016-09-07 00:00:00,2016-09-13 00:00:00,YouGov,1426.0,50.0,33.0,45893,2016-09-10 00:00:00,28.0,55.0,470.0
1154,polls-plus,California,2016-08-23 00:00:00,2016-08-30 00:00:00,Tulchin Research,601.0,49.0,35.0,45723,2016-08-26 12:00:00,42.5,55.0,210.0
2042,polls-plus,California,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,974.0,61.3,27.9,46636,2016-10-03 00:00:00,5.0,55.0,271.0
2137,polls-plus,California,2016-06-08 00:00:00,2016-07-02 00:00:00,Field Research Corporation (Field Poll),495.0,50.0,26.0,44512,2016-06-20 00:00:00,110.0,55.0,128.0
2158,polls-plus,California,2016-05-29 00:00:00,2016-05-31 00:00:00,Marist College,1833.0,55.0,31.0,44173,2016-05-30 00:00:00,131.0,55.0,568.0
2255,polls-plus,California,2016-09-27 00:00:00,2016-09-28 00:00:00,SurveyUSA,723.0,59.0,33.0,46297,2016-09-27 12:00:00,10.5,55.0,238.0
2410,polls-plus,California,2016-05-26 00:00:00,2016-05-31 00:00:00,Field Research Corporation (Field Poll),1002.0,53.0,34.0,44174,2016-05-28 12:00:00,132.5,55.0,340.0
2412,polls-plus,California,2016-09-01 00:00:00,2016-09-08 00:00:00,SurveyMonkey,4212.0,49.0,29.0,45712,2016-09-04 12:00:00,33.5,55.0,1221.0
2449,polls-plus,California,2016-09-23 00:00:00,2016-09-29 00:00:00,Ipsos,787.0,63.7,23.7,46340,2016-09-26 00:00:00,12.0,55.0,186.0
2640,polls-plus,California,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,1234.0,47.5,27.4,46690,2016-10-06 12:00:00,1.5,55.0,337.0
2703,polls-plus,California,2016-09-16 00:00:00,2016-09-22 00:00:00,Ipsos,705.0,60.0,28.4,46059,2016-09-19 00:00:00,19.0,55.0,200.0
2778,polls-plus,California,2016-05-19 00:00:00,2016-05-31 00:00:00,Greenberg Quinlan Rosner/American Viewpoint,1150.0,54.0,33.0,44185,2016-05-25 00:00:00,136.0,55.0,379.0
2783,polls-plus,California,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,1463.0,46.6,28.3,46463,2016-09-30 00:00:00,8.0,55.0,414.0
2925,polls-plus,California,2016-09-09 00:00:00,2016-09-15 00:00:00,Ipsos,577.0,62.5,24.2,45835,2016-09-12 00:00:00,26.0,55.0,139.0
2953,polls-plus,California,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2574.0,49.0,28.0,45347,2016-08-20 12:00:00,48.5,55.0,720.0
