,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
553,polls-plus,Colorado,2016-09-20 00:00:00,2016-09-25 00:00:00,CNN/Opinion Research Corp.,784.0,41.0,42.0,46038,2016-09-22 12:00:00,15.5,9.0,329.0
579,polls-plus,Colorado,2016-09-29 00:00:00,2016-10-02 00:00:00,Monmouth University,400.0,49.0,38.0,46331,2016-09-30 12:00:00,7.5,9.0,152.0
715,polls-plus,Colorado,2016-09-27 00:00:00,2016-09-28 00:00:00,Public Policy Polling,694.0,46.0,40.0,46288,2016-09-27 12:00:00,10.5,9.0,277.0
754,polls-plus,Colorado,2016-09-27 00:00:00,2016-09-29 00:00:00,"Keating Research, Inc.",602.0,44.0,33.0,46336,2016-09-28 00:00:00,10.0,9.0,198.0
787,polls-plus,Colorado,2016-09-13 00:00:00,2016-09-21 00:00:00,Quinnipiac University,644.0,44.0,42.0,46000,2016-09-17 00:00:00,21.0,9.0,270.0
821,polls-plus,Colorado,2016-09-21 00:00:00,2016-09-23 00:00:00,YouGov,991.0,40.0,39.0,46027,2016-09-22 00:00:00,16.0,9.0,386.0
838,polls-plus,Colorado,2016-09-14 00:00:00,2016-09-18 00:00:00,Franklin & Marshall College,350.0,41.0,34.0,45934,2016-09-16 00:00:00,22.0,9.0,119.0
1026,polls-plus,Colorado,2016-09-09 00:00:00,2016-09-13 00:00:00,Emerson College,600.0,38.0,42.0,45813,2016-09-11 00:00:00,27.0,9.0,252.0
1115,polls-plus,Colorado,2016-10-03 00:00:00,2016-10-04 00:00:00,Gravis Marketing,1246.0,40.0,40.0,46561,2016-10-03 12:00:00,4.5,9.0,498.0
1215,polls-plus,Colorado,2016-08-04 00:00:00,2016-08-10 00:00:00,Marist College,899.0,41.0,29.0,44838,2016-08-07 00:00:00,62.0,9.0,260.0
1473,polls-plus,Colorado,2016-08-09 00:00:00,2016-08-16 00:00:00,Quinnipiac University,830.0,41.0,33.0,44882,2016-08-12 12:00:00,56.5,9.0,273.0
1532,polls-plus,Colorado,2016-08-29 00:00:00,2016-08-31 00:00:00,Magellan Strategies,500.0,41.0,36.0,45427,2016-08-30 00:00:00,39.0,9.0,180.0
1641,polls-plus,Colorado,2016-09-22 00:00:00,2016-09-23 00:00:00,Gravis Marketing,799.0,37.0,41.0,46031,2016-09-22 12:00:00,15.5,9.0,327.0
1722,polls-plus,Colorado,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,561.0,46.6,40.9,46821,2016-10-06 12:00:00,1.5,9.0,229.0
1727,polls-plus,Colorado,2016-07-09 00:00:00,2016-07-12 00:00:00,Fox News/Anderson Robbins Research/Shaw & Company Research,600.0,37.0,28.0,44578,2016-07-10 12:00:00,89.5,9.0,168.0
1797,polls-plus,Colorado,2016-07-05 00:00:00,2016-07-11 00:00:00,Marist College,794.0,39.0,33.0,44588,2016-07-08 00:00:00,92.0,9.0,262.0
