,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
768,polls-plus,Connecticut,2016-09-02 00:00:00,2016-09-05 00:00:00,Emerson College,1000.0,50.0,35.0,45414,2016-09-03 12:00:00,34.5,7.0,350.0
1825,polls-plus,Connecticut,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,505.0,53.0,36.1,46822,2016-10-03 00:00:00,5.0,7.0,182.0
1978,polls-plus,Connecticut,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,455.0,52.0,34.1,46342,2016-09-19 00:00:00,19.0,7.0,155.0
2152,polls-plus,Connecticut,2016-06-01 00:00:00,2016-06-05 00:00:00,Quinnipiac University,1330.0,41.0,36.0,44205,2016-06-03 00:00:00,127.0,7.0,478.0
2197,polls-plus,Connecticut,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,300.0,44.3,26.2,46692,2016-10-06 12:00:00,1.5,7.0,78.0
2404,polls-plus,Connecticut,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,312.0,44.5,26.6,46465,2016-09-30 00:00:00,8.0,7.0,82.0
2478,polls-plus,Connecticut,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,1053.0,44.0,33.0,45349,2016-08-20 12:00:00,48.5,7.0,347.0
2521,polls-plus,Connecticut,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,440.0,47.3,37.4,46061,2016-09-12 00:00:00,26.0,7.0,164.0
2598,polls-plus,Connecticut,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,291.0,37.5,31.5,46240,2016-09-23 12:00:00,14.5,7.0,91.0
2684,polls-plus,Connecticut,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,456.0,47.2,37.5,45837,2016-09-05 00:00:00,33.0,7.0,170.0
2747,polls-plus,Connecticut,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,307.0,39.0,31.8,45953,2016-09-17 00:00:00,21.0,7.0,97.0
2837,polls-plus,Connecticut,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,428.0,45.8,40.1,45646,2016-08-29 00:00:00,40.0,7.0,171.0
2892,polls-plus,Connecticut,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,304.0,41.8,26.4,45748,2016-09-10 00:00:00,28.0,7.0,80.0
3026,polls-plus,Connecticut,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,310.0,38.6,26.4,45446,2016-09-03 00:00:00,35.0,7.0,81.0
3030,polls-plus,Connecticut,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,358.0,47.0,39.1,45284,2016-08-22 00:00:00,47.0,7.0,140.0
3148,polls-plus,Connecticut,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,309.0,40.7,25.5,45496,2016-08-27 00:00:00,42.0,7.0,78.0
3155,polls-plus,Connecticut,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,387.0,49.9,37.4,45003,2016-08-15 00:00:00,54.0,7.0,144.0
3261,polls-plus,Connecticut,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,327.0,43.9,26.5,45547,2016-08-20 00:00:00,49.0,7.0,86.0
3263,polls-plus,Connecticut,2016-04-10 00:00:00,2016-04-11 00:00:00,Emerson College,1043.0,48.0,40.0,36738,2016-04-10 12:00:00,180.5,7.0,417.0
3327,polls-plus,Connecticut,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,358.0,49.7,36.7,44945,2016-08-08 00:00:00,61.0,7.0,131.0
3407,polls-plus,Connecticut,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,301.0,41.8,26.6,45597,2016-08-13 00:00:00,56.0,7.0,80.0
4125,polls-plus,Connecticut,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,352.0,53.5,35.2,46638,2016-09-29 12:00:00,8.5,7.0,124.0
