,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
620,polls-plus,Delaware,2016-09-16 00:00:00,2016-09-28 00:00:00,University of Delaware,762.0,51.0,30.0,46335,2016-09-22 00:00:00,16.0,3.0,228.0
1617,polls-plus,Delaware,2016-07-20 00:00:00,2016-07-24 00:00:00,Fairleigh Dickinson University (PublicMind),715.0,42.0,32.0,44696,2016-07-22 00:00:00,78.0,3.0,228.0
1751,polls-plus,Delaware,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,135.0,47.0,39.3,46823,2016-10-03 00:00:00,5.0,3.0,53.0
1799,polls-plus,Delaware,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,103.0,40.4,28.3,46694,2016-10-06 12:00:00,1.5,3.0,29.0
1976,polls-plus,Delaware,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,131.0,46.3,35.6,46639,2016-09-26 00:00:00,12.0,3.0,46.0
2149,polls-plus,Delaware,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,637.0,43.0,33.0,45350,2016-08-20 12:00:00,48.5,3.0,210.0
2177,polls-plus,Delaware,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,78.0,47.4,18.2,46467,2016-09-30 00:00:00,8.0,3.0,14.0
2216,polls-plus,Delaware,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,124.0,43.2,35.3,46343,2016-09-19 00:00:00,19.0,3.0,43.0
2301,polls-plus,Delaware,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,90.0,25.9,23.4,46242,2016-09-23 12:00:00,14.5,3.0,21.0
2402,polls-plus,Delaware,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,116.0,40.0,33.0,46062,2016-09-12 00:00:00,26.0,3.0,38.0
2484,polls-plus,Delaware,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,85.0,41.2,30.0,45955,2016-09-17 00:00:00,21.0,3.0,25.0
2537,polls-plus,Delaware,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,115.0,43.3,28.1,45838,2016-09-05 00:00:00,33.0,3.0,32.0
2572,polls-plus,Delaware,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,103.0,33.9,28.3,45750,2016-09-10 00:00:00,28.0,3.0,29.0
2688,polls-plus,Delaware,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,123.0,37.4,30.6,45447,2016-09-03 00:00:00,35.0,3.0,37.0
2723,polls-plus,Delaware,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,101.0,45.6,23.5,45647,2016-08-29 00:00:00,40.0,3.0,23.0
2772,polls-plus,Delaware,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,117.0,44.1,22.1,44946,2016-08-08 00:00:00,61.0,3.0,25.0
2887,polls-plus,Delaware,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,99.0,34.1,31.7,45497,2016-08-27 00:00:00,42.0,3.0,31.0
3021,polls-plus,Delaware,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,101.0,35.7,23.0,45548,2016-08-20 00:00:00,49.0,3.0,23.0
3204,polls-plus,Delaware,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,94.0,34.5,32.3,45598,2016-08-13 00:00:00,56.0,3.0,30.0
