,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
516,polls-plus,Florida,2016-09-27 00:00:00,2016-09-29 00:00:00,"Mason-Dixon Polling & Research, Inc.",820.0,46.0,42.0,46303,2016-09-28 00:00:00,10.0,29.0,344.0
528,polls-plus,Florida,2016-10-03 00:00:00,2016-10-05 00:00:00,Marist College,700.0,45.0,42.0,46568,2016-10-04 00:00:00,4.0,29.0,294.0
667,polls-plus,Florida,2016-09-27 00:00:00,2016-10-04 00:00:00,University of North Florida,686.0,41.0,38.0,46526,2016-09-30 12:00:00,7.5,29.0,260.0
713,polls-plus,Florida,2016-10-02 00:00:00,2016-10-04 00:00:00,Emerson College,600.0,44.0,45.0,46523,2016-10-03 00:00:00,5.0,29.0,270.0
734,polls-plus,Florida,2016-09-19 00:00:00,2016-09-21 00:00:00,Suffolk University,500.0,44.0,45.0,45945,2016-09-20 00:00:00,18.0,29.0,225.0
736,polls-plus,Florida,2016-10-02 00:00:00,2016-10-05 00:00:00,Associated Industries of Florida,1000.0,44.0,41.0,46769,2016-10-03 12:00:00,4.5,29.0,410.0
751,polls-plus,Florida,2016-09-16 00:00:00,2016-09-19 00:00:00,Monmouth University,400.0,46.0,41.0,45901,2016-09-17 12:00:00,20.5,29.0,164.0
812,polls-plus,Florida,2016-09-10 00:00:00,2016-09-14 00:00:00,Siena College,867.0,41.0,40.0,45884,2016-09-12 00:00:00,26.0,29.0,346.0
825,polls-plus,Florida,2016-10-05 00:00:00,2016-10-09 00:00:00,Florida Atlantic University,400.0,48.6,42.9,46778,2016-10-07 00:00:00,1.0,29.0,171.0
854,polls-plus,Florida,2016-09-06 00:00:00,2016-09-11 00:00:00,Global Strategy Group,800.0,46.0,43.0,45820,2016-09-08 12:00:00,29.5,29.0,344.0
874,polls-plus,Florida,2016-09-07 00:00:00,2016-09-12 00:00:00,CNN/Opinion Research Corp.,788.0,44.0,47.0,45800,2016-09-09 12:00:00,28.5,29.0,370.0
875,polls-plus,Florida,2016-09-07 00:00:00,2016-09-08 00:00:00,JMC Enterprises,781.0,42.0,46.0,45705,2016-09-07 12:00:00,30.5,29.0,359.0
876,polls-plus,Florida,2016-09-27 00:00:00,2016-09-28 00:00:00,Public Policy Polling,826.0,45.0,43.0,46289,2016-09-27 12:00:00,10.5,29.0,355.0
1007,polls-plus,Florida,2016-09-15 00:00:00,2016-09-20 00:00:00,Cherry Communications,617.0,43.0,41.0,46046,2016-09-17 12:00:00,20.5,29.0,252.0
1136,polls-plus,Florida,2016-09-07 00:00:00,2016-09-09 00:00:00,YouGov,1193.0,44.0,42.0,45699,2016-09-08 00:00:00,30.0,29.0,501.0
1150,polls-plus,Florida,2016-08-18 00:00:00,2016-08-24 00:00:00,icitizen,600.0,42.0,37.0,44992,2016-08-21 00:00:00,48.0,29.0,222.0
1187,polls-plus,Florida,2016-08-22 00:00:00,2016-08-24 00:00:00,"Mason-Dixon Polling & Research, Inc.",625.0,44.0,42.0,44990,2016-08-23 00:00:00,46.0,29.0,262.0
1286,polls-plus,Florida,2016-09-10 00:00:00,2016-09-16 00:00:00,Saint Leo University,475.0,49.4,43.6,45907,2016-09-13 00:00:00,25.0,29.0,207.0
1292,polls-plus,Florida,2016-08-12 00:00:00,2016-08-15 00:00:00,Monmouth University,402.0,48.0,39.0,44864,2016-08-13 12:00:00,55.5,29.0,156.0
1359,polls-plus,Florida,2016-08-19 00:00:00,2016-08-22 00:00:00,Florida Atlantic University,1200.0,41.0,43.0,44930,2016-08-20 12:00:00,48.5,29.0,516.0
1460,polls-plus,Florida,2016-09-04 00:00:00,2016-09-06 00:00:00,Public Policy Polling,744.0,43.0,44.0,45412,2016-09-05 00:00:00,33.0,29.0,327.0
1484,polls-plus,Florida,2016-10-04 00:00:00,2016-10-04 00:00:00,Gravis Marketing,821.0,47.0,45.0,46545,2016-10-04 00:00:00,4.0,29.0,369.0
1530,polls-plus,Florida,2016-09-28 00:00:00,2016-09-29 00:00:00,Opinion Savvy/InsiderAdvantage,619.0,46.6,46.3,46304,2016-09-28 12:00:00,9.5,29.0,286.0
1739,polls-plus,Florida,2016-07-06 00:00:00,2016-07-10 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),1100.0,45.0,40.0,44592,2016-07-08 00:00:00,92.0,29.0,440.0
