,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
748,polls-plus,Georgia,2016-09-20 00:00:00,2016-09-22 00:00:00,JMC Enterprises,600.0,38.0,44.0,46016,2016-09-21 00:00:00,17.0,16.0,264.0
761,polls-plus,Georgia,2016-09-15 00:00:00,2016-09-18 00:00:00,Monmouth University,401.0,42.0,45.0,45888,2016-09-16 12:00:00,21.5,16.0,180.0
820,polls-plus,Georgia,2016-09-13 00:00:00,2016-09-21 00:00:00,Quinnipiac University,638.0,40.0,47.0,46001,2016-09-17 00:00:00,21.0,16.0,299.0
870,polls-plus,Georgia,2016-09-06 00:00:00,2016-09-08 00:00:00,Marist College,625.0,42.0,44.0,45695,2016-09-07 00:00:00,31.0,16.0,275.0
1022,polls-plus,Georgia,2016-09-09 00:00:00,2016-09-13 00:00:00,Emerson College,600.0,39.0,45.0,45814,2016-09-11 00:00:00,27.0,16.0,270.0
1383,polls-plus,Georgia,2016-09-14 00:00:00,2016-09-14 00:00:00,Opinion Savvy/InsiderAdvantage,568.0,42.0,46.3,45811,2016-09-14 00:00:00,24.0,16.0,262.0
1512,polls-plus,Georgia,2016-09-21 00:00:00,2016-09-22 00:00:00,Landmark Communications,600.0,42.9,46.5,46018,2016-09-21 12:00:00,16.5,16.0,279.0
1569,polls-plus,Georgia,2016-08-10 00:00:00,2016-08-12 00:00:00,YouGov,988.0,41.0,45.0,44847,2016-08-11 00:00:00,58.0,16.0,444.0
1725,polls-plus,Georgia,2016-08-01 00:00:00,2016-08-04 00:00:00,Time/Abt SRBI,847.0,41.0,38.0,44773,2016-08-02 12:00:00,66.5,16.0,321.0
1740,polls-plus,Georgia,2016-07-29 00:00:00,2016-07-31 00:00:00,SurveyUSA,628.0,42.0,46.0,44740,2016-07-30 00:00:00,70.0,16.0,288.0
1906,polls-plus,Georgia,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,645.0,41.5,50.0,46825,2016-10-06 12:00:00,1.5,16.0,322.0
1952,polls-plus,Georgia,2016-06-30 00:00:00,2016-07-06 00:00:00,Lake Research Partners,600.0,41.0,40.0,44677,2016-07-03 00:00:00,97.0,16.0,240.0
2024,polls-plus,Georgia,2016-08-06 00:00:00,2016-08-07 00:00:00,JMC Enterprises,615.0,44.0,37.0,44789,2016-08-06 12:00:00,62.5,16.0,227.0
2110,polls-plus,Georgia,2016-08-04 00:00:00,2016-08-08 00:00:00,Gravis Marketing,1604.0,39.0,43.0,44820,2016-08-06 00:00:00,63.0,16.0,689.0
2194,polls-plus,Georgia,2016-08-17 00:00:00,2016-08-17 00:00:00,Opinion Savvy/InsiderAdvantage,730.0,42.8,43.0,44889,2016-08-17 00:00:00,52.0,16.0,313.0
2289,polls-plus,Georgia,2016-09-23 00:00:00,2016-09-29 00:00:00,Ipsos,317.0,38.1,51.0,46345,2016-09-26 00:00:00,12.0,16.0,161.0
2343,polls-plus,Georgia,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,613.0,42.7,46.0,46064,2016-09-15 12:00:00,22.5,16.0,282.0
2366,polls-plus,Georgia,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,456.0,30.8,42.7,46696,2016-10-06 12:00:00,1.5,16.0,194.0
