,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
1813,polls-plus,Hawaii,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,67.0,49.4,29.2,46697,2016-10-06 12:00:00,1.5,4.0,19.0
2106,polls-plus,Hawaii,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,59.0,62.1,17.0,46470,2016-09-30 00:00:00,8.0,4.0,10.0
2155,polls-plus,Hawaii,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,82.0,42.4,21.7,46245,2016-09-23 12:00:00,14.5,4.0,17.0
2231,polls-plus,Hawaii,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,546.0,51.0,25.0,45353,2016-08-20 12:00:00,48.5,4.0,136.0
2465,polls-plus,Hawaii,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,90.0,40.2,21.2,45753,2016-09-10 00:00:00,28.0,4.0,19.0
2569,polls-plus,Hawaii,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,42.0,43.2,31.6,45959,2016-09-17 00:00:00,21.0,4.0,13.0
2633,polls-plus,Hawaii,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,90.0,47.3,27.7,45450,2016-09-03 00:00:00,35.0,4.0,24.0
2798,polls-plus,Hawaii,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,85.0,41.4,23.6,45500,2016-08-27 00:00:00,42.0,4.0,20.0
2932,polls-plus,Hawaii,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,87.0,43.0,22.5,45551,2016-08-20 00:00:00,49.0,4.0,19.0
3135,polls-plus,Hawaii,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,76.0,53.3,22.9,45601,2016-08-13 00:00:00,56.0,4.0,17.0
