,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
556,polls-plus,Idaho,2016-09-28 00:00:00,2016-10-09 00:00:00,Dan Jones & Associates,608.0,30.0,40.0,47056,2016-10-03 12:00:00,4.5,4.0,243.0
1309,polls-plus,Idaho,2016-08-18 00:00:00,2016-08-31 00:00:00,Dan Jones & Associates,602.0,23.0,44.0,45398,2016-08-24 12:00:00,44.5,4.0,264.0
1768,polls-plus,Idaho,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,199.0,31.3,54.2,46826,2016-10-03 00:00:00,5.0,4.0,107.0
1975,polls-plus,Idaho,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,150.0,24.8,32.9,46699,2016-10-06 12:00:00,1.5,4.0,49.0
2003,polls-plus,Idaho,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,197.0,31.0,55.2,46642,2016-09-26 00:00:00,12.0,4.0,108.0
2218,polls-plus,Idaho,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,158.0,27.2,42.7,46472,2016-09-30 00:00:00,8.0,4.0,67.0
2234,polls-plus,Idaho,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,716.0,25.0,44.0,45354,2016-08-20 12:00:00,48.5,4.0,315.0
2256,polls-plus,Idaho,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,175.0,27.4,59.6,46346,2016-09-19 00:00:00,19.0,4.0,104.0
2429,polls-plus,Idaho,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,178.0,32.2,54.9,46065,2016-09-12 00:00:00,26.0,4.0,97.0
2437,polls-plus,Idaho,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,144.0,22.6,46.5,46247,2016-09-23 12:00:00,14.5,4.0,66.0
2446,polls-plus,Idaho,2016-07-05 00:00:00,2016-07-16 00:00:00,Dan Jones & Associates,601.0,23.0,44.0,44617,2016-07-10 12:00:00,89.5,4.0,264.0
2565,polls-plus,Idaho,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,176.0,31.9,56.1,45841,2016-09-05 00:00:00,33.0,4.0,98.0
2597,polls-plus,Idaho,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,144.0,18.7,43.5,45961,2016-09-17 00:00:00,21.0,4.0,62.0
2714,polls-plus,Idaho,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,165.0,11.8,42.4,45755,2016-09-10 00:00:00,28.0,4.0,69.0
2730,polls-plus,Idaho,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,167.0,30.1,55.9,45650,2016-08-29 00:00:00,40.0,4.0,93.0
2824,polls-plus,Idaho,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,187.0,24.7,35.7,45452,2016-09-03 00:00:00,35.0,4.0,66.0
2941,polls-plus,Idaho,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,126.0,27.9,58.1,45287,2016-08-22 00:00:00,47.0,4.0,73.0
2985,polls-plus,Idaho,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,168.0,25.2,35.9,45502,2016-08-27 00:00:00,42.0,4.0,60.0
3051,polls-plus,Idaho,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,144.0,29.2,49.2,45006,2016-08-15 00:00:00,54.0,4.0,70.0
3120,polls-plus,Idaho,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,164.0,25.9,36.1,45553,2016-08-20 00:00:00,49.0,4.0,59.0
3136,polls-plus,Idaho,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,186.0,30.4,44.2,44949,2016-08-08 00:00:00,61.0,4.0,82.0
3279,polls-plus,Idaho,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,166.0,24.1,40.4,45603,2016-08-13 00:00:00,56.0,4.0,67.0
3295,polls-plus,Idaho,2016-05-18 00:00:00,2016-06-04 00:00:00,Dan Jones & Associates,603.0,32.0,49.0,44359,2016-05-26 12:00:00,134.5,4.0,295.0
3588,polls-plus,Idaho,2016-04-08 00:00:00,2016-04-19 00:00:00,Dan Jones & Associates,603.0,32.0,49.0,44175,2016-04-13 12:00:00,177.5,4.0,295.0
