,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
445,polls-plus,Illinois,2016-09-27 00:00:00,2016-10-02 00:00:00,Southern Illinois University,865.0,53.2,28.4,46447,2016-09-29 12:00:00,8.5,20.0,245.0
548,polls-plus,Illinois,2016-10-04 00:00:00,2016-10-05 00:00:00,Global Strategy Group,600.0,50.0,33.0,46546,2016-10-04 12:00:00,3.5,20.0,198.0
809,polls-plus,Illinois,2016-09-12 00:00:00,2016-09-12 00:00:00,We Ask America,955.0,51.2,32.7,45732,2016-09-12 00:00:00,26.0,20.0,312.0
815,polls-plus,Illinois,2016-09-19 00:00:00,2016-09-21 00:00:00,Emerson College,700.0,44.5,38.7,45937,2016-09-20 00:00:00,18.0,20.0,270.0
848,polls-plus,Illinois,2016-09-21 00:00:00,2016-09-24 00:00:00,Victory Research,1200.0,48.6,35.1,46320,2016-09-22 12:00:00,15.5,20.0,421.0
968,polls-plus,Illinois,2016-09-13 00:00:00,2016-09-16 00:00:00,Loras College,600.0,43.0,30.0,45887,2016-09-14 12:00:00,23.5,20.0,180.0
1520,polls-plus,Illinois,2016-08-01 00:00:00,2016-08-04 00:00:00,"Normington, Petts & Associates",800.0,51.0,32.0,44794,2016-08-02 12:00:00,66.5,20.0,256.0
1916,polls-plus,Illinois,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,601.0,57.5,31.3,46643,2016-10-03 00:00:00,5.0,20.0,188.0
2131,polls-plus,Illinois,2016-07-26 00:00:00,2016-07-26 00:00:00,Illinois Public Opinion Strategies,824.0,49.2,35.6,47099,2016-07-26 00:00:00,74.0,20.0,293.0
2184,polls-plus,Illinois,2016-07-11 00:00:00,2016-07-14 00:00:00,"Normington, Petts & Associates",800.0,51.0,32.0,44796,2016-07-12 12:00:00,87.5,20.0,256.0
2290,polls-plus,Illinois,2016-07-14 00:00:00,2016-07-16 00:00:00,Victory Research,1200.0,51.0,34.0,44612,2016-07-15 00:00:00,85.0,20.0,408.0
2356,polls-plus,Illinois,2016-06-07 00:00:00,2016-06-07 00:00:00,"Political Callers, Inc.",732.0,48.3,29.5,44393,2016-06-07 00:00:00,123.0,20.0,215.0
2370,polls-plus,Illinois,2016-09-23 00:00:00,2016-09-29 00:00:00,Ipsos,422.0,52.7,33.4,46347,2016-09-26 00:00:00,12.0,20.0,140.0
2430,polls-plus,Illinois,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2599.0,45.0,31.0,45355,2016-08-20 12:00:00,48.5,20.0,805.0
2550,polls-plus,Illinois,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,1025.0,39.1,29.5,46700,2016-10-06 12:00:00,1.5,20.0,302.0
2561,polls-plus,Illinois,2016-09-16 00:00:00,2016-09-22 00:00:00,Ipsos,426.0,53.4,30.8,46066,2016-09-19 00:00:00,19.0,20.0,131.0
2732,polls-plus,Illinois,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,1116.0,42.4,25.4,46473,2016-09-30 00:00:00,8.0,20.0,282.0
2742,polls-plus,Illinois,2016-09-09 00:00:00,2016-09-15 00:00:00,Ipsos,432.0,51.5,36.2,45842,2016-09-12 00:00:00,26.0,20.0,156.0
2766,polls-plus,Illinois,2016-06-05 00:00:00,2016-06-06 00:00:00,We Ask America,1231.0,47.0,35.0,44219,2016-06-05 12:00:00,124.5,20.0,430.0
2871,polls-plus,Illinois,2016-09-02 00:00:00,2016-09-08 00:00:00,Ipsos,460.0,51.6,33.9,45651,2016-09-05 00:00:00,33.0,20.0,155.0
2937,polls-plus,Illinois,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,933.0,36.8,30.3,46248,2016-09-23 12:00:00,14.5,20.0,282.0
3057,polls-plus,Illinois,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,1027.0,39.0,29.4,45962,2016-09-17 00:00:00,21.0,20.0,301.0
3077,polls-plus,Illinois,2016-08-26 00:00:00,2016-09-01 00:00:00,Ipsos,359.0,50.0,36.7,45288,2016-08-29 00:00:00,40.0,20.0,131.0
3145,polls-plus,Illinois,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,1226.0,37.8,29.4,45756,2016-09-10 00:00:00,28.0,20.0,360.0
3170,polls-plus,Illinois,2016-08-12 00:00:00,2016-08-18 00:00:00,Ipsos,788.0,56.2,29.6,44950,2016-08-15 00:00:00,54.0,20.0,233.0
3198,polls-plus,Illinois,2016-08-19 00:00:00,2016-08-25 00:00:00,Ipsos,366.0,52.6,26.2,45007,2016-08-22 00:00:00,47.0,20.0,96.0
3226,polls-plus,Illinois,2016-03-04 00:00:00,2016-03-10 00:00:00,Marist College,1968.0,57.0,32.0,36597,2016-03-07 00:00:00,215.0,20.0,629.0
3286,polls-plus,Illinois,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,1185.0,34.9,29.3,45453,2016-09-03 00:00:00,35.0,20.0,346.0
3409,polls-plus,Illinois,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,1040.0,34.6,28.6,45503,2016-08-27 00:00:00,42.0,20.0,297.0
3488,polls-plus,Illinois,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,1047.0,35.4,28.8,45554,2016-08-20 00:00:00,49.0,20.0,301.0
3557,polls-plus,Illinois,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,1007.0,37.0,26.6,45604,2016-08-13 00:00:00,56.0,20.0,268.0
3707,polls-plus,Illinois,2016-01-09 00:00:00,2016-01-09 00:00:00,Ogden & Fry,502.0,36.5,27.5,44361,2016-01-09 00:00:00,273.0,20.0,138.0
