,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
679,polls-plus,Indiana,2016-10-03 00:00:00,2016-10-05 00:00:00,Public Opinion Strategies,600.0,38.0,43.0,46535,2016-10-04 00:00:00,4.0,11.0,258.0
1119,polls-plus,Indiana,2016-09-06 00:00:00,2016-09-08 00:00:00,Public Opinion Strategies,600.0,36.0,43.0,45439,2016-09-07 00:00:00,31.0,11.0,258.0
1198,polls-plus,Indiana,2016-08-13 00:00:00,2016-08-16 00:00:00,Monmouth University,403.0,36.0,47.0,44881,2016-08-14 12:00:00,54.5,11.0,189.0
1556,polls-plus,Indiana,2016-08-01 00:00:00,2016-08-03 00:00:00,Expedition Strategies,600.0,44.0,44.0,44857,2016-08-02 00:00:00,67.0,11.0,264.0
1747,polls-plus,Indiana,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,434.0,38.3,47.1,46828,2016-10-06 12:00:00,1.5,11.0,204.0
1818,polls-plus,Indiana,2016-07-20 00:00:00,2016-07-21 00:00:00,Tarrance Group,503.0,36.0,50.0,44693,2016-07-20 12:00:00,79.5,11.0,251.0
2038,polls-plus,Indiana,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,430.0,37.2,50.3,46644,2016-09-29 12:00:00,8.5,11.0,216.0
2357,polls-plus,Indiana,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2294.0,30.0,46.0,45356,2016-08-20 12:00:00,48.5,11.0,1055.0
2361,polls-plus,Indiana,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,340.0,35.9,53.2,46348,2016-09-22 12:00:00,15.5,11.0,180.0
2425,polls-plus,Indiana,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,653.0,36.0,35.1,46701,2016-10-06 12:00:00,1.5,11.0,229.0
2504,polls-plus,Indiana,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,367.0,34.9,53.5,46067,2016-09-15 12:00:00,22.5,11.0,196.0
2603,polls-plus,Indiana,2016-04-26 00:00:00,2016-04-28 00:00:00,Marist College,2149.0,41.0,48.0,44008,2016-04-27 00:00:00,164.0,11.0,1031.0
2646,polls-plus,Indiana,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,616.0,35.1,32.5,46474,2016-09-30 00:00:00,8.0,11.0,200.0
2672,polls-plus,Indiana,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,372.0,33.3,53.1,45843,2016-09-08 12:00:00,29.5,11.0,197.0
2794,polls-plus,Indiana,2016-05-11 00:00:00,2016-05-15 00:00:00,Bellwether Research & Consulting,600.0,31.0,40.0,44165,2016-05-13 00:00:00,148.0,11.0,240.0
2826,polls-plus,Indiana,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,568.0,36.1,33.3,46249,2016-09-23 12:00:00,14.5,11.0,189.0
2830,polls-plus,Indiana,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,351.0,32.1,55.9,45652,2016-09-01 12:00:00,36.5,11.0,196.0
2947,polls-plus,Indiana,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,607.0,31.9,32.2,45963,2016-09-17 00:00:00,21.0,11.0,195.0
2999,polls-plus,Indiana,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,303.0,32.1,55.7,45289,2016-08-25 12:00:00,43.5,11.0,168.0
3064,polls-plus,Indiana,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,667.0,30.9,31.5,45757,2016-09-10 00:00:00,28.0,11.0,210.0
3153,polls-plus,Indiana,2016-08-12 00:00:00,2016-08-25 00:00:00,Ipsos,283.0,34.1,55.4,45008,2016-08-18 12:00:00,50.5,11.0,156.0
3179,polls-plus,Indiana,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,715.0,29.2,35.6,45454,2016-09-03 00:00:00,35.0,11.0,254.0
3262,polls-plus,Indiana,2016-08-05 00:00:00,2016-08-18 00:00:00,Ipsos,335.0,36.3,54.1,44951,2016-08-11 12:00:00,57.5,11.0,181.0
3337,polls-plus,Indiana,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,598.0,34.6,30.4,45504,2016-08-27 00:00:00,42.0,11.0,182.0
3390,polls-plus,Indiana,2016-04-18 00:00:00,2016-04-21 00:00:00,Public Opinion Strategies,500.0,39.0,47.0,42717,2016-04-19 12:00:00,171.5,11.0,235.0
3415,polls-plus,Indiana,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,631.0,31.8,36.0,45555,2016-08-20 00:00:00,49.0,11.0,227.0
3512,polls-plus,Indiana,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,617.0,31.6,35.7,45605,2016-08-13 00:00:00,56.0,11.0,220.0
