,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
540,polls-plus,Iowa,2016-10-03 00:00:00,2016-10-06 00:00:00,Selzer & Company,642.0,39.0,43.0,46562,2016-10-04 12:00:00,3.5,6.0,276.0
767,polls-plus,Iowa,2016-09-12 00:00:00,2016-09-14 00:00:00,Monmouth University,404.0,37.0,45.0,45810,2016-09-13 00:00:00,25.0,6.0,181.0
808,polls-plus,Iowa,2016-09-13 00:00:00,2016-09-21 00:00:00,Quinnipiac University,612.0,37.0,44.0,46002,2016-09-17 00:00:00,21.0,6.0,269.0
827,polls-plus,Iowa,2016-08-30 00:00:00,2016-08-31 00:00:00,Public Policy Polling,827.0,45.0,43.0,45408,2016-08-30 12:00:00,38.5,6.0,355.0
919,polls-plus,Iowa,2016-09-20 00:00:00,2016-09-22 00:00:00,Loras College,491.0,37.7,38.3,46044,2016-09-21 00:00:00,17.0,6.0,188.0
980,polls-plus,Iowa,2016-08-17 00:00:00,2016-08-19 00:00:00,YouGov,987.0,40.0,40.0,44902,2016-08-18 00:00:00,51.0,6.0,394.0
1105,polls-plus,Iowa,2016-08-31 00:00:00,2016-09-01 00:00:00,Emerson College,600.0,39.0,44.0,45273,2016-08-31 12:00:00,37.5,6.0,264.0
1126,polls-plus,Iowa,2016-09-06 00:00:00,2016-09-08 00:00:00,RABA Research,1054.0,39.0,40.0,45704,2016-09-07 00:00:00,31.0,6.0,421.0
1238,polls-plus,Iowa,2016-08-03 00:00:00,2016-08-07 00:00:00,Marist College,899.0,35.0,35.0,44810,2016-08-05 00:00:00,64.0,6.0,314.0
1329,polls-plus,Iowa,2016-08-08 00:00:00,2016-08-10 00:00:00,Suffolk University,500.0,36.0,37.0,44826,2016-08-09 00:00:00,60.0,6.0,185.0
1486,polls-plus,Iowa,2016-08-09 00:00:00,2016-08-16 00:00:00,Quinnipiac University,846.0,41.0,39.0,44883,2016-08-12 12:00:00,56.5,6.0,329.0
1703,polls-plus,Iowa,2016-07-05 00:00:00,2016-07-10 00:00:00,Marist College,822.0,37.0,37.0,44572,2016-07-07 12:00:00,92.5,6.0,304.0
1737,polls-plus,Iowa,2016-07-07 00:00:00,2016-07-08 00:00:00,Gravis Marketing,1318.0,39.0,37.0,44577,2016-07-07 12:00:00,92.5,6.0,487.0
1773,polls-plus,Iowa,2016-07-08 00:00:00,2016-07-11 00:00:00,Monmouth University,401.0,42.0,44.0,44558,2016-07-09 12:00:00,90.5,6.0,176.0
1840,polls-plus,Iowa,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,382.0,44.7,44.5,46829,2016-10-03 00:00:00,5.0,6.0,169.0
1880,polls-plus,Iowa,2016-07-13 00:00:00,2016-07-15 00:00:00,YouGov,998.0,39.0,40.0,44609,2016-07-14 00:00:00,86.0,6.0,399.0
2112,polls-plus,Iowa,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,359.0,44.4,46.2,46645,2016-09-26 00:00:00,12.0,6.0,165.0
2207,polls-plus,Iowa,2016-06-10 00:00:00,2016-06-22 00:00:00,Evolving Strategies,601.0,38.0,36.0,44448,2016-06-16 00:00:00,114.0,6.0,216.0
2229,polls-plus,Iowa,2016-06-22 00:00:00,2016-06-23 00:00:00,Public Policy Polling,897.0,41.0,39.0,44433,2016-06-22 12:00:00,107.5,6.0,349.0
2238,polls-plus,Iowa,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,360.0,36.6,27.2,46698,2016-10-06 12:00:00,1.5,6.0,97.0
2334,polls-plus,Iowa,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,343.0,42.1,48.8,46349,2016-09-19 00:00:00,19.0,6.0,167.0
2422,polls-plus,Iowa,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,411.0,38.1,29.3,46471,2016-09-30 00:00:00,8.0,6.0,120.0
2496,polls-plus,Iowa,2016-06-24 00:00:00,2016-06-28 00:00:00,Loras College,600.0,44.0,31.0,44484,2016-06-26 00:00:00,104.0,6.0,186.0
2497,polls-plus,Iowa,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,344.0,40.5,50.7,46068,2016-09-12 00:00:00,26.0,6.0,174.0
2644,polls-plus,Iowa,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,362.0,36.2,29.8,46246,2016-09-23 12:00:00,14.5,6.0,107.0
2645,polls-plus,Iowa,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,1875.0,36.0,40.0,45357,2016-08-20 12:00:00,48.5,6.0,750.0
2665,polls-plus,Iowa,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,347.0,40.5,49.5,45844,2016-09-05 00:00:00,33.0,6.0,171.0
2721,polls-plus,Iowa,2016-06-09 00:00:00,2016-06-10 00:00:00,Public Policy Polling,630.0,44.0,41.0,44347,2016-06-09 12:00:00,120.5,6.0,258.0
2784,polls-plus,Iowa,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,387.0,30.0,30.9,45960,2016-09-17 00:00:00,21.0,6.0,119.0
2819,polls-plus,Iowa,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,327.0,41.4,43.9,45653,2016-08-29 00:00:00,40.0,6.0,143.0
2920,polls-plus,Iowa,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,411.0,30.4,35.3,45754,2016-09-10 00:00:00,28.0,6.0,144.0
2992,polls-plus,Iowa,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,282.0,41.2,44.2,45290,2016-08-22 00:00:00,47.0,6.0,124.0
3063,polls-plus,Iowa,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,402.0,36.3,30.3,45451,2016-09-03 00:00:00,35.0,6.0,121.0
3124,polls-plus,Iowa,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,288.0,43.0,39.5,45009,2016-08-15 00:00:00,54.0,6.0,113.0
3230,polls-plus,Iowa,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,369.0,41.2,41.5,44952,2016-08-08 00:00:00,61.0,6.0,152.0
3242,polls-plus,Iowa,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,325.0,33.6,32.8,45501,2016-08-27 00:00:00,42.0,6.0,106.0
3358,polls-plus,Iowa,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,308.0,40.4,33.0,45552,2016-08-20 00:00:00,49.0,6.0,101.0
3448,polls-plus,Iowa,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,323.0,37.8,28.2,45602,2016-08-13 00:00:00,56.0,6.0,90.0
3772,polls-plus,Iowa,2016-01-08 00:00:00,2016-01-10 00:00:00,Public Policy Polling,1901.0,42.0,42.0,35857,2016-01-09 00:00:00,273.0,6.0,798.0
3846,polls-plus,Iowa,2015-11-10 00:00:00,2015-11-16 00:00:00,Morning Consult,641.0,41.0,40.0,35392,2015-11-13 00:00:00,330.0,6.0,256.0
4060,polls-plus,Iowa,2015-12-10 00:00:00,2015-12-13 00:00:00,Public Policy Polling,1426.0,45.0,43.0,35445,2015-12-11 12:00:00,301.5,6.0,613.0
4085,polls-plus,Iowa,2016-01-02 00:00:00,2016-01-07 00:00:00,Marist College,1470.0,48.0,40.0,35805,2016-01-04 12:00:00,277.5,6.0,588.0
