,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
831,polls-plus,Kansas,2016-08-22 00:00:00,2016-08-23 00:00:00,Remington,7769.0,37.0,44.0,45271,2016-08-22 12:00:00,46.5,6.0,3418.0
894,polls-plus,Kansas,2016-09-01 00:00:00,2016-10-13 00:00:00,Fort Hays State University,829.0,39.0,47.0,47765,2016-09-22 00:00:00,16.0,6.0,389.0
1055,polls-plus,Kansas,2016-09-06 00:00:00,2016-09-11 00:00:00,SurveyUSA,595.0,36.0,48.0,45731,2016-09-08 12:00:00,29.5,6.0,285.0
1748,polls-plus,Kansas,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,382.0,37.9,50.3,46830,2016-10-03 00:00:00,5.0,6.0,192.0
2018,polls-plus,Kansas,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,374.0,34.9,55.3,46646,2016-09-26 00:00:00,12.0,6.0,206.0
2171,polls-plus,Kansas,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,250.0,40.4,30.7,46702,2016-10-06 12:00:00,1.5,6.0,76.0
2299,polls-plus,Kansas,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,336.0,34.4,53.6,46350,2016-09-19 00:00:00,19.0,6.0,179.0
2338,polls-plus,Kansas,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,294.0,36.4,28.6,46475,2016-09-30 00:00:00,8.0,6.0,84.0
2487,polls-plus,Kansas,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,314.0,35.9,50.8,46069,2016-09-12 00:00:00,26.0,6.0,159.0
2563,polls-plus,Kansas,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,252.0,43.0,30.9,46250,2016-09-23 12:00:00,14.5,6.0,77.0
2573,polls-plus,Kansas,2016-06-04 00:00:00,2016-06-06 00:00:00,Zogby Interactive/JZ Analytics,433.0,43.0,36.0,44243,2016-06-05 00:00:00,125.0,6.0,155.0
2575,polls-plus,Kansas,2016-07-11 00:00:00,2016-07-21 00:00:00,Fort Hays State University,542.0,27.0,44.0,44672,2016-07-16 00:00:00,84.0,6.0,238.0
2652,polls-plus,Kansas,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,309.0,38.9,49.4,45845,2016-09-05 00:00:00,33.0,6.0,152.0
2737,polls-plus,Kansas,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,741.0,30.0,43.0,45358,2016-08-20 12:00:00,48.5,6.0,318.0
2746,polls-plus,Kansas,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,246.0,41.3,29.6,45964,2016-09-17 00:00:00,21.0,6.0,72.0
2809,polls-plus,Kansas,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,294.0,38.3,51.6,45654,2016-08-29 00:00:00,40.0,6.0,151.0
2847,polls-plus,Kansas,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,283.0,37.3,28.6,45758,2016-09-10 00:00:00,28.0,6.0,80.0
2971,polls-plus,Kansas,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,297.0,36.4,33.9,45455,2016-09-03 00:00:00,35.0,6.0,100.0
2982,polls-plus,Kansas,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,254.0,37.0,52.5,45291,2016-08-22 00:00:00,47.0,6.0,133.0
3103,polls-plus,Kansas,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,274.0,37.4,48.0,45010,2016-08-15 00:00:00,54.0,6.0,131.0
3182,polls-plus,Kansas,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,217.0,43.8,26.6,45505,2016-08-27 00:00:00,42.0,6.0,57.0
3216,polls-plus,Kansas,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,333.0,37.0,47.5,44953,2016-08-08 00:00:00,61.0,6.0,158.0
3245,polls-plus,Kansas,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,275.0,40.0,26.9,45556,2016-08-20 00:00:00,49.0,6.0,73.0
3397,polls-plus,Kansas,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,244.0,35.0,30.1,45606,2016-08-13 00:00:00,56.0,6.0,73.0
3791,polls-plus,Kansas,2016-02-19 00:00:00,2016-02-26 00:00:00,Fort Hays State University,440.0,36.0,46.0,36533,2016-02-22 12:00:00,228.5,6.0,202.0
4075,polls-plus,Kansas,2016-08-03 00:00:00,2016-08-07 00:00:00,SurveyUSA,566.0,39.0,44.0,44813,2016-08-05 00:00:00,64.0,6.0,249.0
4113,polls-plus,Kansas,2016-07-08 00:00:00,2016-07-11 00:00:00,SurveyUSA,559.0,36.0,47.0,44587,2016-07-09 12:00:00,90.5,6.0,262.0
