,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
1039,polls-plus,Kentucky,2016-09-14 00:00:00,2016-09-16 00:00:00,Google Consumer Surveys,815.0,23.9,35.4,47048,2016-09-15 00:00:00,23.0,8.0,288.0
1743,polls-plus,Kentucky,2016-07-31 00:00:00,2016-08-01 00:00:00,Harper Polling,500.0,36.0,49.0,44767,2016-07-31 12:00:00,68.5,8.0,245.0
1913,polls-plus,Kentucky,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,370.0,37.3,57.1,46647,2016-09-29 12:00:00,8.5,8.0,211.0
2195,polls-plus,Kentucky,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,361.0,37.8,56.4,46351,2016-09-22 12:00:00,15.5,8.0,203.0
2352,polls-plus,Kentucky,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,384.0,36.4,36.6,46476,2016-09-30 00:00:00,8.0,8.0,140.0
2379,polls-plus,Kentucky,2016-08-02 00:00:00,2016-08-04 00:00:00,Google Consumer Surveys,508.0,25.0,41.0,44791,2016-08-03 00:00:00,66.0,8.0,208.0
2416,polls-plus,Kentucky,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,196.0,35.4,34.0,46703,2016-10-06 12:00:00,1.5,8.0,66.0
2445,polls-plus,Kentucky,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,322.0,37.3,53.6,46070,2016-09-15 12:00:00,22.5,8.0,172.0
2476,polls-plus,Kentucky,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,437.0,35.3,54.0,45846,2016-09-05 00:00:00,33.0,8.0,235.0
2498,polls-plus,Kentucky,2016-07-05 00:00:00,2016-07-07 00:00:00,Google Consumer Surveys,776.0,28.3,33.6,44532,2016-07-06 00:00:00,94.0,8.0,260.0
2528,polls-plus,Kentucky,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,732.0,29.0,52.0,45359,2016-08-20 12:00:00,48.5,8.0,380.0
2607,polls-plus,Kentucky,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,320.0,32.6,35.2,46251,2016-09-23 12:00:00,14.5,8.0,112.0
2734,polls-plus,Kentucky,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,366.0,29.6,40.7,45965,2016-09-17 00:00:00,21.0,8.0,148.0
2882,polls-plus,Kentucky,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,368.0,32.2,43.8,45759,2016-09-10 00:00:00,28.0,8.0,161.0
2889,polls-plus,Kentucky,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,409.0,37.0,53.3,45655,2016-08-29 00:00:00,40.0,8.0,217.0
3001,polls-plus,Kentucky,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,405.0,29.5,40.0,45456,2016-09-03 00:00:00,35.0,8.0,162.0
3034,polls-plus,Kentucky,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,404.0,41.8,46.3,45292,2016-08-22 00:00:00,47.0,8.0,187.0
3147,polls-plus,Kentucky,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,380.0,36.7,32.5,45506,2016-08-27 00:00:00,42.0,8.0,123.0
3176,polls-plus,Kentucky,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,413.0,43.0,45.3,45011,2016-08-15 00:00:00,54.0,8.0,187.0
3276,polls-plus,Kentucky,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,383.0,34.9,39.7,45557,2016-08-20 00:00:00,49.0,8.0,152.0
3351,polls-plus,Kentucky,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,375.0,41.0,47.0,44954,2016-08-08 00:00:00,61.0,8.0,176.0
3394,polls-plus,Kentucky,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,407.0,33.4,34.9,45607,2016-08-13 00:00:00,56.0,8.0,141.0
4196,polls-plus,Kentucky,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,336.0,39.4,53.1,46831,2016-10-06 12:00:00,1.5,8.0,178.0
