,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
543,polls-plus,Louisiana,2016-09-27 00:00:00,2016-09-30 00:00:00,Market Research Insight,600.0,35.0,52.0,46945,2016-09-28 12:00:00,9.5,8.0,312.0
903,polls-plus,Louisiana,2016-09-22 00:00:00,2016-09-24 00:00:00,JMC Enterprises,905.0,35.0,45.0,46053,2016-09-23 00:00:00,15.0,8.0,407.0
944,polls-plus,Louisiana,2016-09-15 00:00:00,2016-09-17 00:00:00,Southern Media & Opinion Research,500.0,32.6,48.9,45911,2016-09-16 00:00:00,22.0,8.0,244.0
966,polls-plus,Louisiana,2016-08-29 00:00:00,2016-09-01 00:00:00,Anzalone Liszt Grove Research,605.0,40.0,46.0,45438,2016-08-30 12:00:00,38.5,8.0,278.0
1837,polls-plus,Louisiana,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,473.0,36.0,49.2,46832,2016-10-03 00:00:00,5.0,8.0,232.0
2104,polls-plus,Louisiana,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,463.0,35.5,50.9,46648,2016-09-26 00:00:00,12.0,8.0,235.0
2198,polls-plus,Louisiana,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,223.0,22.8,49.2,46704,2016-10-06 12:00:00,1.5,8.0,109.0
2345,polls-plus,Louisiana,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,871.0,33.0,49.0,45360,2016-08-20 12:00:00,48.5,8.0,426.0
2348,polls-plus,Louisiana,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,259.0,31.2,45.7,46477,2016-09-30 00:00:00,8.0,8.0,118.0
2349,polls-plus,Louisiana,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,427.0,37.5,49.6,46352,2016-09-19 00:00:00,19.0,8.0,211.0
2562,polls-plus,Louisiana,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,369.0,35.8,51.9,46071,2016-09-12 00:00:00,26.0,8.0,191.0
2568,polls-plus,Louisiana,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,221.0,30.6,45.7,46252,2016-09-23 12:00:00,14.5,8.0,101.0
2698,polls-plus,Louisiana,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,259.0,25.3,53.5,45966,2016-09-17 00:00:00,21.0,8.0,138.0
2720,polls-plus,Louisiana,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,374.0,34.2,54.2,45847,2016-09-05 00:00:00,33.0,8.0,202.0
2843,polls-plus,Louisiana,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,258.0,26.4,45.4,45760,2016-09-10 00:00:00,28.0,8.0,117.0
2868,polls-plus,Louisiana,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,342.0,33.2,59.9,45656,2016-08-29 00:00:00,40.0,8.0,204.0
2963,polls-plus,Louisiana,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,273.0,23.9,50.1,45457,2016-09-03 00:00:00,35.0,8.0,136.0
3015,polls-plus,Louisiana,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,333.0,36.9,56.7,45293,2016-08-22 00:00:00,47.0,8.0,188.0
3074,polls-plus,Louisiana,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,294.0,23.5,49.6,45507,2016-08-27 00:00:00,42.0,8.0,145.0
3167,polls-plus,Louisiana,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,326.0,39.4,50.4,45012,2016-08-15 00:00:00,54.0,8.0,164.0
3214,polls-plus,Louisiana,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,286.0,21.0,51.8,45558,2016-08-20 00:00:00,49.0,8.0,148.0
3257,polls-plus,Louisiana,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,424.0,38.1,48.2,44955,2016-08-08 00:00:00,61.0,8.0,204.0
3352,polls-plus,Louisiana,2016-05-05 00:00:00,2016-05-06 00:00:00,JMC Enterprises,624.0,36.0,52.0,44043,2016-05-05 12:00:00,155.5,8.0,324.0
3370,polls-plus,Louisiana,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,280.0,27.0,46.2,45608,2016-08-13 00:00:00,56.0,8.0,129.0
