,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
695,polls-plus,Maine,2016-09-04 00:00:00,2016-09-10 00:00:00,SurveyUSA,779.0,42.0,39.0,45730,2016-09-07 00:00:00,31.0,4.0,303.0
841,polls-plus,Maine,2016-09-15 00:00:00,2016-09-20 00:00:00,University of New Hampshire,513.0,40.0,36.0,46026,2016-09-17 12:00:00,20.5,4.0,184.0
1027,polls-plus,Maine,2016-09-02 00:00:00,2016-09-05 00:00:00,Emerson College,800.0,44.0,35.0,45418,2016-09-03 12:00:00,34.5,4.0,280.0
1208,polls-plus,Maine,2016-08-04 00:00:00,2016-08-08 00:00:00,Gravis Marketing,2046.0,43.0,33.0,44823,2016-08-06 00:00:00,63.0,4.0,675.0
1600,polls-plus,Maine,2016-09-15 00:00:00,2016-09-17 00:00:00,Maine People's Resource Center,835.0,37.0,36.7,45898,2016-09-16 00:00:00,22.0,4.0,306.0
1792,polls-plus,Maine,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,244.0,48.2,34.8,46833,2016-10-03 00:00:00,5.0,4.0,84.0
1982,polls-plus,Maine,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,266.0,45.9,33.1,46649,2016-09-26 00:00:00,12.0,4.0,87.0
2123,polls-plus,Maine,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,74.0,49.9,22.5,46480,2016-09-30 00:00:00,8.0,4.0,16.0
2203,polls-plus,Maine,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,276.0,45.0,33.6,46353,2016-09-19 00:00:00,19.0,4.0,92.0
2236,polls-plus,Maine,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,37.0,42.8,41.5,46707,2016-10-06 12:00:00,1.5,4.0,15.0
2300,polls-plus,Maine,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,75.0,36.3,28.6,46255,2016-09-23 12:00:00,14.5,4.0,21.0
2315,polls-plus,Maine,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,715.0,37.0,34.0,45361,2016-08-20 12:00:00,48.5,4.0,243.0
2365,polls-plus,Maine,2016-08-17 00:00:00,2016-08-20 00:00:00,Maine People's Resource Center,841.0,42.0,32.0,45739,2016-08-18 12:00:00,50.5,4.0,269.0
2432,polls-plus,Maine,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,247.0,39.7,38.2,46072,2016-09-12 00:00:00,26.0,4.0,94.0
2491,polls-plus,Maine,2016-06-15 00:00:00,2016-06-21 00:00:00,University of New Hampshire,475.0,42.0,35.0,44414,2016-06-18 00:00:00,112.0,4.0,166.0
2538,polls-plus,Maine,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,59.0,33.3,35.1,45969,2016-09-17 00:00:00,21.0,4.0,20.0
2553,polls-plus,Maine,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,88.0,33.3,27.8,45763,2016-09-10 00:00:00,28.0,4.0,24.0
2632,polls-plus,Maine,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,213.0,41.0,39.7,45848,2016-09-05 00:00:00,33.0,4.0,84.0
2634,polls-plus,Maine,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,114.0,37.6,28.4,45460,2016-09-03 00:00:00,35.0,4.0,32.0
2803,polls-plus,Maine,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,189.0,52.1,32.9,45657,2016-08-29 00:00:00,40.0,4.0,62.0
2817,polls-plus,Maine,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,104.0,47.0,17.3,45510,2016-08-27 00:00:00,42.0,4.0,17.0
2952,polls-plus,Maine,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,105.0,36.0,32.2,45561,2016-08-20 00:00:00,49.0,4.0,33.0
2974,polls-plus,Maine,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,160.0,42.2,41.6,45294,2016-08-22 00:00:00,47.0,4.0,66.0
3085,polls-plus,Maine,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,176.0,38.8,39.8,45013,2016-08-15 00:00:00,54.0,4.0,70.0
3089,polls-plus,Maine,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,121.0,45.2,17.6,45611,2016-08-13 00:00:00,56.0,4.0,21.0
3202,polls-plus,Maine,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,210.0,32.9,37.2,44956,2016-08-08 00:00:00,61.0,4.0,78.0
3466,polls-plus,Maine,2016-03-04 00:00:00,2016-03-10 00:00:00,Critical Insights,610.0,43.0,34.0,44176,2016-03-07 00:00:00,215.0,4.0,207.0
