,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
441,polls-plus,Maryland,2016-09-27 00:00:00,2016-09-30 00:00:00,ABC News/Washington Post,706.0,63.0,27.0,46527,2016-09-28 12:00:00,9.5,10.0,190.0
696,polls-plus,Maryland,2016-09-17 00:00:00,2016-09-20 00:00:00,Goucher College,514.0,58.0,25.0,45999,2016-09-18 12:00:00,19.5,10.0,128.0
964,polls-plus,Maryland,2016-08-18 00:00:00,2016-08-30 00:00:00,OpinionWorks,754.0,54.0,25.0,45341,2016-08-24 00:00:00,45.0,10.0,188.0
1660,polls-plus,Maryland,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,487.0,53.7,31.6,46834,2016-10-06 12:00:00,1.5,10.0,153.0
1951,polls-plus,Maryland,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,508.0,53.1,31.7,46650,2016-09-29 12:00:00,8.5,10.0,161.0
2258,polls-plus,Maryland,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,466.0,51.8,32.7,46354,2016-09-22 12:00:00,15.5,10.0,152.0
2284,polls-plus,Maryland,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,368.0,48.1,25.9,46706,2016-10-06 12:00:00,1.5,10.0,95.0
2426,polls-plus,Maryland,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,461.0,48.8,23.1,46479,2016-09-30 00:00:00,8.0,10.0,106.0
2453,polls-plus,Maryland,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,1199.0,54.0,27.0,45362,2016-08-20 12:00:00,48.5,10.0,323.0
2482,polls-plus,Maryland,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,435.0,50.3,33.9,46073,2016-09-15 12:00:00,22.5,10.0,147.0
2700,polls-plus,Maryland,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,349.0,40.6,28.6,46254,2016-09-23 12:00:00,14.5,10.0,99.0
2719,polls-plus,Maryland,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,361.0,53.1,29.0,45849,2016-09-08 12:00:00,29.5,10.0,104.0
2836,polls-plus,Maryland,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,355.0,43.5,26.9,45968,2016-09-17 00:00:00,21.0,10.0,95.0
2849,polls-plus,Maryland,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,364.0,53.9,29.6,45658,2016-09-01 12:00:00,36.5,10.0,107.0
2862,polls-plus,Maryland,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,526.0,52.2,32.1,45295,2016-08-22 00:00:00,47.0,10.0,168.0
2865,polls-plus,Maryland,2016-04-05 00:00:00,2016-04-09 00:00:00,Marist College,2563.0,63.0,27.0,36787,2016-04-07 00:00:00,184.0,10.0,692.0
2911,polls-plus,Maryland,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,454.0,43.8,26.0,45762,2016-09-10 00:00:00,28.0,10.0,117.0
2958,polls-plus,Maryland,2016-04-15 00:00:00,2016-04-17 00:00:00,Public Policy Polling,879.0,61.0,28.0,42190,2016-04-16 00:00:00,175.0,10.0,246.0
3060,polls-plus,Maryland,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,447.0,47.0,23.6,45459,2016-09-03 00:00:00,35.0,10.0,105.0
3171,polls-plus,Maryland,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,483.0,45.8,24.3,45509,2016-08-27 00:00:00,42.0,10.0,117.0
3193,polls-plus,Maryland,2016-03-30 00:00:00,2016-04-03 00:00:00,ABC News/Washington Post,752.0,63.0,28.0,36701,2016-04-01 00:00:00,190.0,10.0,210.0
3231,polls-plus,Maryland,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,525.0,53.0,30.5,45014,2016-08-15 00:00:00,54.0,10.0,159.0
3322,polls-plus,Maryland,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,439.0,44.1,25.9,45560,2016-08-20 00:00:00,49.0,10.0,113.0
3383,polls-plus,Maryland,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,475.0,52.9,29.4,44957,2016-08-08 00:00:00,61.0,10.0,139.0
3436,polls-plus,Maryland,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,437.0,48.9,21.3,45610,2016-08-13 00:00:00,56.0,10.0,93.0
