,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
656,polls-plus,Massachusetts,2016-09-15 00:00:00,2016-09-20 00:00:00,YouGov,700.0,47.0,34.0,46158,2016-09-17 12:00:00,20.5,11.0,238.0
712,polls-plus,Massachusetts,2016-09-24 00:00:00,2016-10-03 00:00:00,Western New England University,403.0,58.0,26.0,46539,2016-09-28 12:00:00,9.5,11.0,104.0
905,polls-plus,Massachusetts,2016-09-03 00:00:00,2016-09-05 00:00:00,Emerson College,500.0,50.0,33.0,45416,2016-09-04 00:00:00,34.0,11.0,165.0
910,polls-plus,Massachusetts,2016-09-07 00:00:00,2016-09-10 00:00:00,MassINC Polling Group,506.0,54.0,28.0,45736,2016-09-08 12:00:00,29.5,11.0,141.0
1832,polls-plus,Massachusetts,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,598.0,54.1,28.6,46835,2016-10-06 12:00:00,1.5,11.0,170.0
2075,polls-plus,Massachusetts,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,671.0,49.0,29.9,46651,2016-09-29 12:00:00,8.5,11.0,200.0
2139,polls-plus,Massachusetts,2016-06-26 00:00:00,2016-06-29 00:00:00,Hickman Analytics,500.0,49.0,31.0,44703,2016-06-27 12:00:00,102.5,11.0,155.0
2305,polls-plus,Massachusetts,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,407.0,52.8,19.8,46705,2016-10-06 12:00:00,1.5,11.0,80.0
2368,polls-plus,Massachusetts,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,588.0,50.1,28.4,46355,2016-09-22 12:00:00,15.5,11.0,166.0
2467,polls-plus,Massachusetts,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,465.0,50.2,22.8,46478,2016-09-30 00:00:00,8.0,11.0,106.0
2489,polls-plus,Massachusetts,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,1167.0,48.0,29.0,45363,2016-08-20 12:00:00,48.5,11.0,338.0
2611,polls-plus,Massachusetts,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,509.0,53.5,30.3,46074,2016-09-15 12:00:00,22.5,11.0,154.0
2705,polls-plus,Massachusetts,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,399.0,49.7,22.9,46253,2016-09-23 12:00:00,14.5,11.0,91.0
2768,polls-plus,Massachusetts,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,488.0,53.1,31.1,45850,2016-09-08 12:00:00,29.5,11.0,151.0
2828,polls-plus,Massachusetts,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,435.0,50.0,23.6,45967,2016-09-17 00:00:00,21.0,11.0,102.0
2913,polls-plus,Massachusetts,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,485.0,53.5,29.9,45659,2016-09-01 12:00:00,36.5,11.0,144.0
2942,polls-plus,Massachusetts,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,481.0,42.9,28.1,45761,2016-09-10 00:00:00,28.0,11.0,135.0
2988,polls-plus,Massachusetts,2016-05-02 00:00:00,2016-05-05 00:00:00,Suffolk University,500.0,55.0,31.0,44038,2016-05-03 12:00:00,157.5,11.0,155.0
3084,polls-plus,Massachusetts,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,401.0,47.9,31.9,45296,2016-08-25 12:00:00,43.5,11.0,127.0
3098,polls-plus,Massachusetts,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,444.0,43.8,24.2,45458,2016-09-03 00:00:00,35.0,11.0,107.0
3206,polls-plus,Massachusetts,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,485.0,48.6,23.5,45508,2016-08-27 00:00:00,42.0,11.0,113.0
3218,polls-plus,Massachusetts,2016-08-12 00:00:00,2016-08-25 00:00:00,Ipsos,399.0,46.3,32.5,45015,2016-08-18 12:00:00,50.5,11.0,129.0
3319,polls-plus,Massachusetts,2016-08-05 00:00:00,2016-08-18 00:00:00,Ipsos,495.0,52.5,29.6,44958,2016-08-11 12:00:00,57.5,11.0,146.0
3321,polls-plus,Massachusetts,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,509.0,50.7,22.0,45559,2016-08-20 00:00:00,49.0,11.0,111.0
3349,polls-plus,Massachusetts,2016-04-01 00:00:00,2016-04-10 00:00:00,Western New England University,497.0,62.0,26.0,44030,2016-04-05 12:00:00,185.5,11.0,129.0
3458,polls-plus,Massachusetts,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,444.0,50.3,21.5,45609,2016-08-13 00:00:00,56.0,11.0,95.0
