,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
494,polls-plus,Michigan,2016-09-01 00:00:00,2016-10-30 00:00:00,Michigan State University,746.0,47.0,28.0,48083,2016-09-30 12:00:00,7.5,16.0,208.0
746,polls-plus,Michigan,2016-10-01 00:00:00,2016-10-03 00:00:00,EPIC-MRA,600.0,43.0,32.0,46529,2016-10-02 00:00:00,6.0,16.0,192.0
777,polls-plus,Michigan,2016-09-18 00:00:00,2016-09-24 00:00:00,Target Insyght,600.0,46.0,41.0,46321,2016-09-21 00:00:00,17.0,16.0,246.0
788,polls-plus,Michigan,2016-09-27 00:00:00,2016-09-28 00:00:00,"Glengariff Group, Inc.",600.0,42.0,35.0,46301,2016-09-27 12:00:00,10.5,16.0,210.0
1061,polls-plus,Michigan,2016-08-22 00:00:00,2016-08-24 00:00:00,Suffolk University,500.0,43.6,37.2,44988,2016-08-23 00:00:00,46.0,16.0,186.0
1106,polls-plus,Michigan,2016-08-25 00:00:00,2016-08-28 00:00:00,Emerson College,800.0,44.9,39.5,45047,2016-08-26 12:00:00,42.5,16.0,316.0
1186,polls-plus,Michigan,2016-09-10 00:00:00,2016-09-13 00:00:00,EPIC-MRA,600.0,38.0,35.0,45817,2016-09-11 12:00:00,26.5,16.0,210.0
1536,polls-plus,Michigan,2016-07-13 00:00:00,2016-07-15 00:00:00,YouGov,1201.0,42.0,39.0,44611,2016-07-14 00:00:00,86.0,16.0,468.0
2150,polls-plus,Michigan,2016-07-11 00:00:00,2016-07-15 00:00:00,Marketing Resource Group (MRG),800.0,34.0,29.0,44619,2016-07-13 00:00:00,87.0,16.0,232.0
2260,polls-plus,Michigan,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,418.0,44.8,38.2,46652,2016-10-03 00:00:00,5.0,16.0,159.0
2281,polls-plus,Michigan,2016-07-30 00:00:00,2016-08-01 00:00:00,"Glengariff Group, Inc.",600.0,41.0,31.6,44764,2016-07-31 00:00:00,69.0,16.0,189.0
2337,polls-plus,Michigan,2016-07-07 00:00:00,2016-07-08 00:00:00,Gravis Marketing,1562.0,37.0,34.0,44582,2016-07-07 12:00:00,92.5,16.0,531.0
2353,polls-plus,Michigan,2016-06-10 00:00:00,2016-06-22 00:00:00,Evolving Strategies,612.0,47.0,30.0,44449,2016-06-16 00:00:00,114.0,16.0,183.0
2439,polls-plus,Michigan,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,587.0,39.8,29.0,46708,2016-10-06 12:00:00,1.5,16.0,170.0
2510,polls-plus,Michigan,2016-09-23 00:00:00,2016-09-29 00:00:00,Ipsos,375.0,39.4,39.0,46356,2016-09-26 00:00:00,12.0,16.0,146.0
2533,polls-plus,Michigan,2016-09-27 00:00:00,2016-09-27 00:00:00,Mitchell Research & Communications,1956.0,46.0,41.0,46285,2016-09-27 00:00:00,11.0,16.0,801.0
2540,polls-plus,Michigan,2016-06-11 00:00:00,2016-06-20 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),300.0,48.0,33.0,44476,2016-06-15 12:00:00,114.5,16.0,99.0
2583,polls-plus,Michigan,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,632.0,43.0,41.7,46075,2016-09-15 12:00:00,22.5,16.0,263.0
2608,polls-plus,Michigan,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,657.0,37.6,30.9,46481,2016-09-30 00:00:00,8.0,16.0,202.0
2851,polls-plus,Michigan,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,516.0,37.3,29.9,46256,2016-09-23 12:00:00,14.5,16.0,154.0
2891,polls-plus,Michigan,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2428.0,39.0,38.0,45364,2016-08-20 12:00:00,48.5,16.0,922.0
2950,polls-plus,Michigan,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,613.0,34.9,33.6,45970,2016-09-17 00:00:00,21.0,16.0,205.0
2970,polls-plus,Michigan,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,644.0,43.6,43.8,45851,2016-09-08 12:00:00,29.5,16.0,282.0
3071,polls-plus,Michigan,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,681.0,34.6,31.1,45764,2016-09-10 00:00:00,28.0,16.0,211.0
3102,polls-plus,Michigan,2016-09-06 00:00:00,2016-09-07 00:00:00,Mitchell Research & Communications,940.0,45.0,39.0,45711,2016-09-06 12:00:00,31.5,16.0,366.0
3104,polls-plus,Michigan,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,613.0,42.7,41.3,45660,2016-09-01 12:00:00,36.5,16.0,253.0
3131,polls-plus,Michigan,2016-05-24 00:00:00,2016-05-26 00:00:00,"Glengariff Group, Inc.",600.0,36.8,32.7,44170,2016-05-25 00:00:00,136.0,16.0,196.0
3239,polls-plus,Michigan,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,615.0,35.2,29.2,45461,2016-09-03 00:00:00,35.0,16.0,179.0
3277,polls-plus,Michigan,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,494.0,41.5,42.5,45297,2016-08-25 12:00:00,43.5,16.0,209.0
3300,polls-plus,Michigan,2016-03-23 00:00:00,2016-03-24 00:00:00,SurveyUSA,904.0,49.0,38.0,36658,2016-03-23 12:00:00,198.5,16.0,343.0
3361,polls-plus,Michigan,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,578.0,34.7,30.1,45511,2016-08-27 00:00:00,42.0,16.0,173.0
3372,polls-plus,Michigan,2016-08-12 00:00:00,2016-08-25 00:00:00,Ipsos,542.0,43.2,43.8,45016,2016-08-18 12:00:00,50.5,16.0,237.0
3413,polls-plus,Michigan,2016-03-01 00:00:00,2016-03-03 00:00:00,Marist College,2229.0,52.0,36.0,36543,2016-03-02 00:00:00,220.0,16.0,802.0
3427,polls-plus,Michigan,2016-08-09 00:00:00,2016-08-10 00:00:00,Mitchell Research & Communications,1314.0,44.0,33.0,44876,2016-08-09 12:00:00,59.5,16.0,433.0
3443,polls-plus,Michigan,2016-08-05 00:00:00,2016-08-18 00:00:00,Ipsos,630.0,44.0,42.9,44959,2016-08-11 12:00:00,57.5,16.0,270.0
3451,polls-plus,Michigan,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,542.0,33.3,33.0,45562,2016-08-20 00:00:00,49.0,16.0,178.0
3516,polls-plus,Michigan,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,682.0,37.1,29.0,45612,2016-08-13 00:00:00,56.0,16.0,197.0
