,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
605,polls-plus,Minnesota,2016-09-23 00:00:00,2016-09-23 00:00:00,Gravis Marketing,906.0,43.0,43.0,46156,2016-09-23 00:00:00,15.0,10.0,389.0
698,polls-plus,Minnesota,2016-09-16 00:00:00,2016-09-20 00:00:00,SurveyUSA,625.0,46.0,39.0,46036,2016-09-18 00:00:00,20.0,10.0,243.0
904,polls-plus,Minnesota,2016-09-12 00:00:00,2016-09-14 00:00:00,"Mason-Dixon Polling & Research, Inc.",625.0,44.0,38.0,45881,2016-09-13 00:00:00,25.0,10.0,237.0
1794,polls-plus,Minnesota,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,611.0,42.7,35.8,46837,2016-10-06 12:00:00,1.5,10.0,218.0
2077,polls-plus,Minnesota,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,645.0,42.0,37.6,46653,2016-09-29 12:00:00,8.5,10.0,242.0
2313,polls-plus,Minnesota,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2054.0,41.0,34.0,45365,2016-08-20 12:00:00,48.5,10.0,698.0
2373,polls-plus,Minnesota,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,580.0,39.0,25.4,46709,2016-10-06 12:00:00,1.5,10.0,147.0
2378,polls-plus,Minnesota,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,551.0,42.8,34.6,46357,2016-09-22 12:00:00,15.5,10.0,190.0
2581,polls-plus,Minnesota,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,578.0,37.9,28.4,46482,2016-09-30 00:00:00,8.0,10.0,164.0
2588,polls-plus,Minnesota,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,510.0,42.9,35.9,46076,2016-09-15 12:00:00,22.5,10.0,183.0
2736,polls-plus,Minnesota,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,537.0,43.9,33.8,45852,2016-09-08 12:00:00,29.5,10.0,181.0
2765,polls-plus,Minnesota,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,547.0,37.5,28.2,46257,2016-09-23 12:00:00,14.5,10.0,154.0
2885,polls-plus,Minnesota,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,517.0,41.6,31.3,45661,2016-09-01 12:00:00,36.5,10.0,161.0
2904,polls-plus,Minnesota,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,579.0,37.2,26.9,45971,2016-09-17 00:00:00,21.0,10.0,155.0
3052,polls-plus,Minnesota,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,457.0,42.0,33.0,45298,2016-08-25 12:00:00,43.5,10.0,150.0
3099,polls-plus,Minnesota,2016-04-25 00:00:00,2016-04-27 00:00:00,"Mason-Dixon Polling & Research, Inc.",800.0,48.0,35.0,44177,2016-04-26 00:00:00,165.0,10.0,280.0
3119,polls-plus,Minnesota,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,426.0,34.5,25.5,45765,2016-09-10 00:00:00,28.0,10.0,108.0
3138,polls-plus,Minnesota,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,632.0,34.6,26.9,45462,2016-09-03 00:00:00,35.0,10.0,169.0
3158,polls-plus,Minnesota,2016-08-12 00:00:00,2016-08-25 00:00:00,Ipsos,523.0,43.5,34.6,45017,2016-08-18 12:00:00,50.5,10.0,181.0
3305,polls-plus,Minnesota,2016-08-05 00:00:00,2016-08-18 00:00:00,Ipsos,541.0,42.1,34.0,44960,2016-08-11 12:00:00,57.5,10.0,183.0
3311,polls-plus,Minnesota,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,524.0,38.3,24.8,45512,2016-08-27 00:00:00,42.0,10.0,129.0
3401,polls-plus,Minnesota,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,524.0,36.9,25.0,45563,2016-08-20 00:00:00,49.0,10.0,130.0
3491,polls-plus,Minnesota,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,555.0,40.7,25.7,45613,2016-08-13 00:00:00,56.0,10.0,142.0
3729,polls-plus,Minnesota,2016-01-18 00:00:00,2016-01-20 00:00:00,"Mason-Dixon Polling & Research, Inc.",800.0,43.0,38.0,35961,2016-01-19 00:00:00,263.0,10.0,304.0
