,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
1185,polls-plus,Mississippi,2016-08-11 00:00:00,2016-08-11 00:00:00,Magellan Strategies,1084.0,39.0,52.0,44875,2016-08-11 00:00:00,58.0,6.0,563.0
1783,polls-plus,Mississippi,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,196.0,41.2,48.6,46838,2016-10-03 00:00:00,5.0,6.0,95.0
2005,polls-plus,Mississippi,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,198.0,40.0,51.1,46654,2016-09-26 00:00:00,12.0,6.0,101.0
2116,polls-plus,Mississippi,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,186.0,23.9,50.7,46711,2016-10-06 12:00:00,1.5,6.0,94.0
2219,polls-plus,Mississippi,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,202.0,38.2,49.2,46358,2016-09-19 00:00:00,19.0,6.0,99.0
2308,polls-plus,Mississippi,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,205.0,24.3,46.0,46484,2016-09-30 00:00:00,8.0,6.0,94.0
2358,polls-plus,Mississippi,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,823.0,43.0,46.0,45366,2016-08-20 12:00:00,48.5,6.0,378.0
2427,polls-plus,Mississippi,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,185.0,37.6,49.9,46077,2016-09-12 00:00:00,26.0,6.0,92.0
2527,polls-plus,Mississippi,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,172.0,25.5,52.3,46259,2016-09-23 12:00:00,14.5,6.0,89.0
2579,polls-plus,Mississippi,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,246.0,17.1,54.8,45973,2016-09-17 00:00:00,21.0,6.0,134.0
2589,polls-plus,Mississippi,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,173.0,37.2,51.1,45853,2016-09-05 00:00:00,33.0,6.0,88.0
2757,polls-plus,Mississippi,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,155.0,35.3,58.2,45662,2016-08-29 00:00:00,40.0,6.0,90.0
2779,polls-plus,Mississippi,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,224.0,20.3,56.6,45767,2016-09-10 00:00:00,28.0,6.0,126.0
2899,polls-plus,Mississippi,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,150.0,30.3,58.5,45299,2016-08-22 00:00:00,47.0,6.0,87.0
2959,polls-plus,Mississippi,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,194.0,27.0,53.1,45464,2016-09-03 00:00:00,35.0,6.0,103.0
3016,polls-plus,Mississippi,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,253.0,25.2,48.0,45515,2016-08-27 00:00:00,42.0,6.0,121.0
3031,polls-plus,Mississippi,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,161.0,36.5,53.5,45018,2016-08-15 00:00:00,54.0,6.0,86.0
3110,polls-plus,Mississippi,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,214.0,38.3,51.9,44961,2016-08-08 00:00:00,61.0,6.0,110.0
3127,polls-plus,Mississippi,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,277.0,23.1,53.5,45565,2016-08-20 00:00:00,49.0,6.0,148.0
3246,polls-plus,Mississippi,2016-03-28 00:00:00,2016-03-30 00:00:00,"Mason-Dixon Polling & Research, Inc.",625.0,43.0,46.0,36696,2016-03-29 00:00:00,193.0,6.0,287.0
3308,polls-plus,Mississippi,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,268.0,17.5,53.0,45615,2016-08-13 00:00:00,56.0,6.0,142.0
