,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
599,polls-plus,Montana,2016-10-03 00:00:00,2016-10-10 00:00:00,Montana State University Billings,590.0,27.0,43.0,47466,2016-10-06 12:00:00,1.5,3.0,253.0
1667,polls-plus,Montana,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,139.0,33.9,54.1,46840,2016-10-03 00:00:00,5.0,3.0,75.0
1865,polls-plus,Montana,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,149.0,34.3,58.0,46656,2016-09-26 00:00:00,12.0,3.0,86.0
1896,polls-plus,Montana,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,158.0,32.1,40.8,46712,2016-10-06 12:00:00,1.5,3.0,64.0
1996,polls-plus,Montana,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,999.0,31.0,44.0,45368,2016-08-20 12:00:00,48.5,3.0,439.0
2105,polls-plus,Montana,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,144.0,39.8,53.5,46360,2016-09-19 00:00:00,19.0,3.0,76.0
2132,polls-plus,Montana,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,173.0,31.1,38.0,46485,2016-09-30 00:00:00,8.0,3.0,65.0
2331,polls-plus,Montana,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,130.0,36.3,53.6,46079,2016-09-12 00:00:00,26.0,3.0,69.0
2395,polls-plus,Montana,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,147.0,32.1,36.3,46260,2016-09-23 12:00:00,14.5,3.0,53.0
2520,polls-plus,Montana,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,113.0,39.0,52.3,45855,2016-09-05 00:00:00,33.0,3.0,59.0
2539,polls-plus,Montana,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,159.0,32.8,28.9,45974,2016-09-17 00:00:00,21.0,3.0,46.0
2669,polls-plus,Montana,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,114.0,29.8,60.2,45664,2016-08-29 00:00:00,40.0,3.0,68.0
2685,polls-plus,Montana,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,175.0,27.8,34.9,45768,2016-09-10 00:00:00,28.0,3.0,61.0
2812,polls-plus,Montana,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,100.0,39.9,46.9,44963,2016-08-08 00:00:00,61.0,3.0,46.0
2856,polls-plus,Montana,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,157.0,29.9,32.2,45465,2016-09-03 00:00:00,35.0,3.0,50.0
3043,polls-plus,Montana,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,128.0,32.4,33.3,45516,2016-08-27 00:00:00,42.0,3.0,42.0
3188,polls-plus,Montana,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,118.0,35.9,28.1,45566,2016-08-20 00:00:00,49.0,3.0,33.0
3354,polls-plus,Montana,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,107.0,30.3,33.2,45616,2016-08-13 00:00:00,56.0,3.0,35.0
3858,polls-plus,Montana,2015-11-16 00:00:00,2015-11-23 00:00:00,Montana State University Billings,435.0,30.0,51.4,35823,2015-11-19 12:00:00,323.5,3.0,223.0
