,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
581,polls-plus,Nebraska,2016-09-25 00:00:00,2016-09-26 00:00:00,Emerson College,700.0,29.3,55.7,46229,2016-09-25 12:00:00,12.5,5.0,389.0
1803,polls-plus,Nebraska,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,241.0,33.3,48.5,46841,2016-10-03 00:00:00,5.0,5.0,117.0
1986,polls-plus,Nebraska,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,233.0,26.9,39.1,46715,2016-10-06 12:00:00,1.5,5.0,91.0
2081,polls-plus,Nebraska,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,221.0,31.8,47.6,46657,2016-09-26 00:00:00,12.0,5.0,105.0
2246,polls-plus,Nebraska,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,238.0,31.9,36.6,46488,2016-09-30 00:00:00,8.0,5.0,87.0
2320,polls-plus,Nebraska,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,197.0,32.7,51.2,46361,2016-09-19 00:00:00,19.0,5.0,100.0
2330,polls-plus,Nebraska,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,983.0,32.0,42.0,45369,2016-08-20 12:00:00,48.5,5.0,412.0
2485,polls-plus,Nebraska,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,207.0,29.0,38.0,46263,2016-09-23 12:00:00,14.5,5.0,78.0
2515,polls-plus,Nebraska,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,169.0,30.9,54.5,46080,2016-09-12 00:00:00,26.0,5.0,92.0
2661,polls-plus,Nebraska,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,175.0,31.7,51.2,45856,2016-09-05 00:00:00,33.0,5.0,89.0
2671,polls-plus,Nebraska,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,202.0,29.1,41.6,45977,2016-09-17 00:00:00,21.0,5.0,84.0
2792,polls-plus,Nebraska,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,171.0,27.8,55.6,45665,2016-08-29 00:00:00,40.0,5.0,95.0
2800,polls-plus,Nebraska,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,217.0,23.7,45.8,45771,2016-09-10 00:00:00,28.0,5.0,99.0
2894,polls-plus,Nebraska,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,248.0,27.4,40.9,45468,2016-09-03 00:00:00,35.0,5.0,101.0
3004,polls-plus,Nebraska,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,127.0,37.8,44.6,45301,2016-08-22 00:00:00,47.0,5.0,56.0
3095,polls-plus,Nebraska,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,193.0,28.7,34.4,45519,2016-08-27 00:00:00,42.0,5.0,66.0
3115,polls-plus,Nebraska,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,136.0,45.0,41.5,45020,2016-08-15 00:00:00,54.0,5.0,56.0
3191,polls-plus,Nebraska,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,185.0,34.7,49.4,44964,2016-08-08 00:00:00,61.0,5.0,91.0
3251,polls-plus,Nebraska,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,174.0,24.5,38.2,45569,2016-08-20 00:00:00,49.0,5.0,66.0
3375,polls-plus,Nebraska,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,180.0,32.7,30.2,45619,2016-08-13 00:00:00,56.0,5.0,54.0
