,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
496,polls-plus,Nevada,2016-09-27 00:00:00,2016-10-02 00:00:00,Garin-Hart-Yang Research Group,700.0,44.0,41.0,46441,2016-09-29 12:00:00,8.5,6.0,287.0
616,polls-plus,Nevada,2016-09-18 00:00:00,2016-09-20 00:00:00,Fox News/Anderson Robbins Research/Shaw & Company Research,704.0,40.0,43.0,45929,2016-09-19 00:00:00,19.0,6.0,302.0
621,polls-plus,Nevada,2016-09-27 00:00:00,2016-09-29 00:00:00,Suffolk University,500.0,44.2,38.2,46305,2016-09-28 00:00:00,10.0,6.0,191.0
791,polls-plus,Nevada,2016-09-27 00:00:00,2016-09-29 00:00:00,Bendixen & Amandi International,800.0,45.0,44.0,46316,2016-09-28 00:00:00,10.0,6.0,352.0
832,polls-plus,Nevada,2016-09-11 00:00:00,2016-09-13 00:00:00,Monmouth University,406.0,42.0,44.0,45793,2016-09-12 00:00:00,26.0,6.0,178.0
833,polls-plus,Nevada,2016-10-02 00:00:00,2016-10-04 00:00:00,Emerson College,700.0,43.0,43.0,46522,2016-10-03 00:00:00,5.0,6.0,301.0
845,polls-plus,Nevada,2016-09-10 00:00:00,2016-09-19 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),400.0,42.0,42.0,46012,2016-09-14 12:00:00,23.5,6.0,168.0
847,polls-plus,Nevada,2016-09-06 00:00:00,2016-09-08 00:00:00,Marist College,627.0,41.0,42.0,45696,2016-09-07 00:00:00,31.0,6.0,263.0
1051,polls-plus,Nevada,2016-09-12 00:00:00,2016-09-14 00:00:00,Insights West,398.0,40.0,42.0,45922,2016-09-13 00:00:00,25.0,6.0,167.0
1097,polls-plus,Nevada,2016-09-06 00:00:00,2016-09-07 00:00:00,Public Policy Polling,815.0,45.0,42.0,45716,2016-09-06 12:00:00,31.5,6.0,342.0
1407,polls-plus,Nevada,2016-08-15 00:00:00,2016-08-17 00:00:00,Suffolk University,500.0,43.8,41.6,44888,2016-08-16 00:00:00,53.0,6.0,208.0
1528,polls-plus,Nevada,2016-09-16 00:00:00,2016-09-18 00:00:00,Rasmussen Reports/Pulse Opinion Research,800.0,39.0,42.0,45896,2016-09-17 00:00:00,21.0,6.0,336.0
1754,polls-plus,Nevada,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,347.0,40.8,38.7,46842,2016-10-03 00:00:00,5.0,6.0,134.0
1811,polls-plus,Nevada,2016-08-02 00:00:00,2016-08-05 00:00:00,YouGov,993.0,43.0,41.0,44785,2016-08-03 12:00:00,65.5,6.0,407.0
1905,polls-plus,Nevada,2016-07-07 00:00:00,2016-07-10 00:00:00,Monmouth University,408.0,45.0,41.0,44538,2016-07-08 12:00:00,91.5,6.0,167.0
2027,polls-plus,Nevada,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,342.0,46.2,42.3,46658,2016-09-26 00:00:00,12.0,6.0,144.0
2156,polls-plus,Nevada,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,186.0,43.8,30.4,46719,2016-10-06 12:00:00,1.5,6.0,56.0
2270,polls-plus,Nevada,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,333.0,42.4,43.7,46362,2016-09-19 00:00:00,19.0,6.0,145.0
2420,polls-plus,Nevada,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2776.0,40.0,37.0,45370,2016-08-20 12:00:00,48.5,6.0,1027.0
2490,polls-plus,Nevada,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,294.0,45.0,45.0,46081,2016-09-12 00:00:00,26.0,6.0,132.0
2507,polls-plus,Nevada,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,120.0,35.2,33.1,46492,2016-09-30 00:00:00,8.0,6.0,39.0
2524,polls-plus,Nevada,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,173.0,34.0,34.4,46267,2016-09-23 12:00:00,14.5,6.0,59.0
2602,polls-plus,Nevada,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,236.0,32.2,33.5,45981,2016-09-17 00:00:00,21.0,6.0,79.0
2629,polls-plus,Nevada,2016-06-14 00:00:00,2016-06-18 00:00:00,TargetPoint,200.0,45.0,46.0,44535,2016-06-16 00:00:00,114.0,6.0,92.0
2658,polls-plus,Nevada,2016-06-11 00:00:00,2016-06-20 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),300.0,44.0,44.0,44479,2016-06-15 12:00:00,114.5,6.0,132.0
