,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
612,polls-plus,New Hampshire,2016-09-29 00:00:00,2016-10-02 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),500.0,46.0,38.0,46746,2016-09-30 12:00:00,7.5,4.0,190.0
618,polls-plus,New Hampshire,2016-09-25 00:00:00,2016-09-27 00:00:00,GBA Strategies,600.0,43.0,37.0,46298,2016-09-26 00:00:00,12.0,4.0,222.0
678,polls-plus,New Hampshire,2016-10-03 00:00:00,2016-10-05 00:00:00,Suffolk University,500.0,44.0,42.0,46534,2016-10-04 00:00:00,4.0,4.0,210.0
745,polls-plus,New Hampshire,2016-09-17 00:00:00,2016-09-20 00:00:00,Monmouth University,400.0,47.0,38.0,45915,2016-09-18 12:00:00,19.5,4.0,152.0
780,polls-plus,New Hampshire,2016-09-27 00:00:00,2016-09-29 00:00:00,MassINC Polling Group,502.0,42.0,35.0,46300,2016-09-28 00:00:00,10.0,4.0,175.0
839,polls-plus,New Hampshire,2016-09-06 00:00:00,2016-09-08 00:00:00,Marist College,737.0,39.0,37.0,45697,2016-09-07 00:00:00,31.0,4.0,272.0
1001,polls-plus,New Hampshire,2016-09-20 00:00:00,2016-09-25 00:00:00,American Research Group,522.0,46.0,42.0,46153,2016-09-22 12:00:00,15.5,4.0,219.0
1214,polls-plus,New Hampshire,2016-08-30 00:00:00,2016-08-31 00:00:00,Public Policy Polling,585.0,46.0,41.0,45409,2016-08-30 12:00:00,38.5,4.0,239.0
1248,polls-plus,New Hampshire,2016-08-26 00:00:00,2016-08-28 00:00:00,Public Policy Polling,977.0,46.0,40.0,45260,2016-08-27 00:00:00,42.0,4.0,390.0
1348,polls-plus,New Hampshire,2016-08-07 00:00:00,2016-08-08 00:00:00,Vox Populi Communications,820.0,41.0,31.0,44819,2016-08-07 12:00:00,61.5,4.0,254.0
1418,polls-plus,New Hampshire,2016-08-10 00:00:00,2016-08-12 00:00:00,YouGov,990.0,45.0,36.0,44846,2016-08-11 00:00:00,58.0,4.0,356.0
1560,polls-plus,New Hampshire,2016-09-03 00:00:00,2016-09-05 00:00:00,Emerson College,600.0,42.0,37.0,45413,2016-09-04 00:00:00,34.0,4.0,222.0
1776,polls-plus,New Hampshire,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,76.0,56.6,17.4,46716,2016-10-06 12:00:00,1.5,4.0,13.0
1830,polls-plus,New Hampshire,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,184.0,46.2,41.6,46843,2016-10-03 00:00:00,5.0,4.0,76.0
1945,polls-plus,New Hampshire,2016-07-19 00:00:00,2016-07-21 00:00:00,Praecones Analytica,1166.0,38.5,47.9,44685,2016-07-20 00:00:00,80.0,4.0,558.0
2049,polls-plus,New Hampshire,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,74.0,46.2,21.2,46489,2016-09-30 00:00:00,8.0,4.0,15.0
2053,polls-plus,New Hampshire,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,186.0,49.5,39.5,46659,2016-09-26 00:00:00,12.0,4.0,73.0
2068,polls-plus,New Hampshire,2016-07-29 00:00:00,2016-08-01 00:00:00,MassINC Polling Group,609.0,47.0,32.0,44765,2016-07-30 12:00:00,69.5,4.0,194.0
2292,polls-plus,New Hampshire,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,170.0,47.2,41.2,46363,2016-09-19 00:00:00,19.0,4.0,70.0
2350,polls-plus,New Hampshire,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,85.0,28.4,37.6,45978,2016-09-17 00:00:00,21.0,4.0,31.0
2390,polls-plus,New Hampshire,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,1218.0,40.0,34.0,45371,2016-08-20 12:00:00,48.5,4.0,414.0
2440,polls-plus,New Hampshire,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,179.0,51.2,36.3,46082,2016-09-12 00:00:00,26.0,4.0,64.0
2475,polls-plus,New Hampshire,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,39.0,40.4,38.6,46264,2016-09-23 12:00:00,14.5,4.0,15.0
2560,polls-plus,New Hampshire,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,75.0,34.7,34.4,45772,2016-09-10 00:00:00,28.0,4.0,25.0
2585,polls-plus,New Hampshire,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,176.0,48.5,38.7,45858,2016-09-05 00:00:00,33.0,4.0,68.0
2630,polls-plus,New Hampshire,2016-06-14 00:00:00,2016-06-18 00:00:00,TargetPoint,200.0,44.0,40.0,44518,2016-06-16 00:00:00,114.0,4.0,80.0
2660,polls-plus,New Hampshire,2016-05-25 00:00:00,2016-05-28 00:00:00,"RKM Research and Communications, Inc.",405.0,44.0,44.0,44163,2016-05-26 12:00:00,134.5,4.0,178.0
2697,polls-plus,New Hampshire,2016-06-11 00:00:00,2016-06-20 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),300.0,41.0,41.0,44478,2016-06-15 12:00:00,114.5,4.0,123.0
2715,polls-plus,New Hampshire,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,78.0,34.8,20.7,45469,2016-09-03 00:00:00,35.0,4.0,16.0
2733,polls-plus,New Hampshire,2016-06-24 00:00:00,2016-06-28 00:00:00,American Research Group,533.0,47.0,42.0,44458,2016-06-26 00:00:00,104.0,4.0,223.0
2751,polls-plus,New Hampshire,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,164.0,49.0,35.7,45667,2016-08-29 00:00:00,40.0,4.0,58.0
2795,polls-plus,New Hampshire,2016-08-05 00:00:00,2016-08-07 00:00:00,Public Policy Polling,802.0,50.0,37.0,44827,2016-08-06 00:00:00,63.0,4.0,296.0
2861,polls-plus,New Hampshire,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,73.0,32.9,22.1,45520,2016-08-27 00:00:00,42.0,4.0,16.0
2954,polls-plus,New Hampshire,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,131.0,43.6,44.5,45303,2016-08-22 00:00:00,47.0,4.0,58.0
2979,polls-plus,New Hampshire,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,80.0,45.3,28.9,45570,2016-08-20 00:00:00,49.0,4.0,23.0
3088,polls-plus,New Hampshire,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,133.0,33.7,47.9,45022,2016-08-15 00:00:00,54.0,4.0,63.0
3184,polls-plus,New Hampshire,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,70.0,51.5,20.9,45620,2016-08-13 00:00:00,56.0,4.0,14.0
3195,polls-plus,New Hampshire,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,163.0,40.7,39.5,44966,2016-08-08 00:00:00,61.0,4.0,64.0
3267,polls-plus,New Hampshire,2016-04-11 00:00:00,2016-04-16 00:00:00,Dartmouth College,362.0,34.0,29.0,44039,2016-04-13 12:00:00,177.5,4.0,104.0
3662,polls-plus,New Hampshire,2016-02-05 00:00:00,2016-02-07 00:00:00,University of Massachusetts Lowell,1411.0,45.0,40.0,36053,2016-02-06 00:00:00,245.0,4.0,564.0
3782,polls-plus,New Hampshire,2016-02-04 00:00:00,2016-02-06 00:00:00,University of Massachusetts Lowell,1413.0,45.0,39.0,36047,2016-02-05 00:00:00,246.0,4.0,551.0
3793,polls-plus,New Hampshire,2016-02-03 00:00:00,2016-02-05 00:00:00,University of Massachusetts Lowell,1417.0,46.0,39.0,36044,2016-02-04 00:00:00,247.0,4.0,552.0
3802,polls-plus,New Hampshire,2016-02-02 00:00:00,2016-02-04 00:00:00,University of Massachusetts Lowell,1417.0,44.0,40.0,44182,2016-02-03 00:00:00,248.0,4.0,566.0
3830,polls-plus,New Hampshire,2015-11-15 00:00:00,2015-11-17 00:00:00,Fox News/Anderson Robbins Research/Shaw & Company Research,804.0,47.0,40.0,35384,2015-11-16 00:00:00,327.0,4.0,321.0
3866,polls-plus,New Hampshire,2015-11-06 00:00:00,2015-11-16 00:00:00,Morning Consult,530.0,45.0,38.0,35393,2015-11-11 00:00:00,332.0,4.0,201.0
4063,polls-plus,New Hampshire,2016-01-13 00:00:00,2016-01-18 00:00:00,University of New Hampshire,839.0,48.0,39.0,35882,2016-01-15 12:00:00,266.5,4.0,327.0
4072,polls-plus,New Hampshire,2016-06-22 00:00:00,2016-06-23 00:00:00,Public Policy Polling,578.0,43.0,39.0,44434,2016-06-22 12:00:00,107.5,4.0,225.0
4102,polls-plus,New Hampshire,2016-02-20 00:00:00,2016-02-28 00:00:00,University of New Hampshire,628.0,47.0,39.0,44069,2016-02-24 00:00:00,227.0,4.0,244.0
4109,polls-plus,New Hampshire,2016-08-20 00:00:00,2016-08-28 00:00:00,University of New Hampshire,417.0,43.0,32.0,45278,2016-08-24 00:00:00,45.0,4.0,133.0
4119,polls-plus,New Hampshire,2016-04-07 00:00:00,2016-04-17 00:00:00,University of New Hampshire,553.0,50.0,31.0,44071,2016-04-12 00:00:00,179.0,4.0,171.0
4121,polls-plus,New Hampshire,2016-07-09 00:00:00,2016-07-18 00:00:00,University of New Hampshire,469.0,37.0,37.0,44650,2016-07-13 12:00:00,86.5,4.0,173.0
4129,polls-plus,New Hampshire,2015-11-30 00:00:00,2015-12-02 00:00:00,Public Policy Polling,990.0,47.0,41.0,35408,2015-12-01 00:00:00,312.0,4.0,405.0
4146,polls-plus,New Hampshire,2016-05-12 00:00:00,2016-05-15 00:00:00,MassINC Polling Group,501.0,44.0,42.0,44078,2016-05-13 12:00:00,147.5,4.0,210.0
4155,polls-plus,New Hampshire,2016-01-02 00:00:00,2016-01-07 00:00:00,Marist College,957.0,45.0,44.0,35806,2016-01-04 12:00:00,277.5,4.0,421.0
4189,polls-plus,New Hampshire,2016-01-04 00:00:00,2016-01-06 00:00:00,Public Policy Polling,1036.0,50.0,36.0,35800,2016-01-05 00:00:00,277.0,4.0,372.0
