,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
783,polls-plus,New Jersey,2016-09-22 00:00:00,2016-09-29 00:00:00,Stockton College,638.0,46.2,39.8,46313,2016-09-25 12:00:00,12.5,14.0,253.0
816,polls-plus,New Jersey,2016-09-02 00:00:00,2016-09-05 00:00:00,Emerson College,800.0,47.0,43.0,45417,2016-09-03 12:00:00,34.5,14.0,344.0
835,polls-plus,New Jersey,2016-09-06 00:00:00,2016-09-10 00:00:00,Rutgers University,726.0,50.0,29.0,46322,2016-09-08 00:00:00,30.0,14.0,210.0
1944,polls-plus,New Jersey,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,953.0,49.9,32.2,46844,2016-10-06 12:00:00,1.5,14.0,307.0
2240,polls-plus,New Jersey,2016-05-31 00:00:00,2016-06-03 00:00:00,YouGov,1194.0,49.0,34.0,44194,2016-06-01 12:00:00,128.5,14.0,405.0
2265,polls-plus,New Jersey,2016-09-23 00:00:00,2016-09-29 00:00:00,Ipsos,545.0,46.7,34.2,46364,2016-09-26 00:00:00,12.0,14.0,186.0
2288,polls-plus,New Jersey,2016-06-22 00:00:00,2016-06-26 00:00:00,Fairleigh Dickinson University (PublicMind),349.0,44.0,32.0,44456,2016-06-24 00:00:00,106.0,14.0,111.0
2322,polls-plus,New Jersey,2016-06-22 00:00:00,2016-06-26 00:00:00,Fairleigh Dickinson University (PublicMind),363.0,52.0,31.0,44454,2016-06-24 00:00:00,106.0,14.0,112.0
2401,polls-plus,New Jersey,2016-05-10 00:00:00,2016-05-16 00:00:00,Quinnipiac University,1989.0,45.0,38.0,44084,2016-05-13 00:00:00,148.0,14.0,755.0
2421,polls-plus,New Jersey,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,853.0,50.5,32.2,46083,2016-09-15 12:00:00,22.5,14.0,274.0
2438,polls-plus,New Jersey,2016-05-23 00:00:00,2016-05-27 00:00:00,Monmouth University,703.0,37.0,31.0,44161,2016-05-25 00:00:00,136.0,14.0,217.0
2523,polls-plus,New Jersey,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,618.0,40.3,34.2,46717,2016-10-06 12:00:00,1.5,14.0,211.0
2549,polls-plus,New Jersey,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,912.0,49.0,34.0,45372,2016-08-20 12:00:00,48.5,14.0,310.0
2677,polls-plus,New Jersey,2016-05-18 00:00:00,2016-05-22 00:00:00,Fairleigh Dickinson University (PublicMind),702.0,48.0,37.0,44143,2016-05-20 00:00:00,141.0,14.0,259.0
2686,polls-plus,New Jersey,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,701.0,41.7,32.6,46490,2016-09-30 00:00:00,8.0,14.0,228.0
2846,polls-plus,New Jersey,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,880.0,48.9,33.5,45859,2016-09-08 12:00:00,29.5,14.0,294.0
2869,polls-plus,New Jersey,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,605.0,37.5,35.9,46265,2016-09-23 12:00:00,14.5,14.0,217.0
2962,polls-plus,New Jersey,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,666.0,47.4,36.2,45304,2016-08-25 12:00:00,43.5,14.0,241.0
2995,polls-plus,New Jersey,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,655.0,35.6,36.2,45979,2016-09-17 00:00:00,21.0,14.0,237.0
3096,polls-plus,New Jersey,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,729.0,36.3,34.0,45773,2016-09-10 00:00:00,28.0,14.0,247.0
3222,polls-plus,New Jersey,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,742.0,36.0,33.1,45470,2016-09-03 00:00:00,35.0,14.0,245.0
3299,polls-plus,New Jersey,2016-08-12 00:00:00,2016-08-25 00:00:00,Ipsos,678.0,48.1,33.5,45023,2016-08-18 12:00:00,50.5,14.0,227.0
3341,polls-plus,New Jersey,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,737.0,37.8,29.0,45521,2016-08-27 00:00:00,42.0,14.0,213.0
3359,polls-plus,New Jersey,2016-04-01 00:00:00,2016-04-08 00:00:00,Rutgers University,738.0,50.0,36.0,42184,2016-04-04 12:00:00,186.5,14.0,265.0
3392,polls-plus,New Jersey,2016-08-05 00:00:00,2016-08-18 00:00:00,Ipsos,765.0,46.1,32.9,44967,2016-08-11 12:00:00,57.5,14.0,251.0
3421,polls-plus,New Jersey,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,763.0,37.8,31.6,45571,2016-08-20 00:00:00,49.0,14.0,241.0
3521,polls-plus,New Jersey,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,736.0,42.4,28.6,45621,2016-08-13 00:00:00,56.0,14.0,210.0
3741,polls-plus,New Jersey,2016-02-24 00:00:00,2016-02-28 00:00:00,Fairleigh Dickinson University (PublicMind),694.0,52.0,36.0,44183,2016-02-26 00:00:00,225.0,14.0,249.0
4070,polls-plus,New Jersey,2016-09-02 00:00:00,2016-09-08 00:00:00,Ipsos,465.0,46.5,35.1,45668,2016-09-05 00:00:00,33.0,14.0,163.0
4170,polls-plus,New Jersey,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,534.0,48.5,33.7,46660,2016-10-03 00:00:00,5.0,14.0,179.0
