,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
524,polls-plus,New Mexico,2016-09-28 00:00:00,2016-10-02 00:00:00,SurveyUSA,594.0,46.0,33.0,46516,2016-09-30 00:00:00,8.0,5.0,196.0
666,polls-plus,New Mexico,2016-09-27 00:00:00,2016-09-29 00:00:00,"Research & Polling, Inc.",501.0,35.0,31.0,46318,2016-09-28 00:00:00,10.0,5.0,155.0
978,polls-plus,New Mexico,2016-08-19 00:00:00,2016-08-21 00:00:00,Public Policy Polling,1103.0,40.0,31.0,44929,2016-08-20 00:00:00,49.0,5.0,341.0
1823,polls-plus,New Mexico,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,157.0,43.9,36.4,46845,2016-10-03 00:00:00,5.0,5.0,57.0
2044,polls-plus,New Mexico,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,159.0,49.1,35.9,46661,2016-09-26 00:00:00,12.0,5.0,57.0
2173,polls-plus,New Mexico,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,174.0,35.4,28.1,46718,2016-10-06 12:00:00,1.5,5.0,48.0
2287,polls-plus,New Mexico,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,145.0,48.9,39.7,46365,2016-09-19 00:00:00,19.0,5.0,57.0
2336,polls-plus,New Mexico,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,202.0,43.0,22.7,46491,2016-09-30 00:00:00,8.0,5.0,45.0
2342,polls-plus,New Mexico,2016-09-24 00:00:00,2016-09-25 00:00:00,Zia Poll,1415.0,41.8,36.6,46952,2016-09-24 12:00:00,13.5,5.0,517.0
2464,polls-plus,New Mexico,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,1788.0,37.0,29.0,45373,2016-08-20 12:00:00,48.5,5.0,518.0
2468,polls-plus,New Mexico,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,137.0,46.9,37.9,46084,2016-09-12 00:00:00,26.0,5.0,51.0
2517,polls-plus,New Mexico,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,194.0,37.9,26.0,46266,2016-09-23 12:00:00,14.5,5.0,50.0
2609,polls-plus,New Mexico,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,141.0,37.8,43.2,45860,2016-09-05 00:00:00,33.0,5.0,60.0
2674,polls-plus,New Mexico,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,216.0,30.1,29.8,45980,2016-09-17 00:00:00,21.0,5.0,64.0
2827,polls-plus,New Mexico,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,219.0,42.3,28.5,45774,2016-09-10 00:00:00,28.0,5.0,62.0
2832,polls-plus,New Mexico,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,106.0,38.0,47.6,45669,2016-08-29 00:00:00,40.0,5.0,50.0
2923,polls-plus,New Mexico,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,115.0,44.0,41.5,44968,2016-08-08 00:00:00,61.0,5.0,47.0
2973,polls-plus,New Mexico,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,215.0,27.2,30.0,45471,2016-09-03 00:00:00,35.0,5.0,64.0
2998,polls-plus,New Mexico,2016-05-13 00:00:00,2016-05-15 00:00:00,Public Policy Polling,802.0,41.0,33.0,44081,2016-05-14 00:00:00,147.0,5.0,264.0
3141,polls-plus,New Mexico,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,184.0,36.1,27.9,45522,2016-08-27 00:00:00,42.0,5.0,51.0
3252,polls-plus,New Mexico,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,201.0,41.6,25.1,45572,2016-08-20 00:00:00,49.0,5.0,50.0
3404,polls-plus,New Mexico,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,181.0,37.4,26.0,45622,2016-08-13 00:00:00,56.0,5.0,47.0
