,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
567,polls-plus,New York,2016-09-21 00:00:00,2016-09-23 00:00:00,Marist College,676.0,52.0,31.0,46157,2016-09-22 00:00:00,16.0,29.0,209.0
914,polls-plus,New York,2016-08-28 00:00:00,2016-08-30 00:00:00,Emerson College,800.0,52.1,34.2,45243,2016-08-29 00:00:00,40.0,29.0,273.0
1036,polls-plus,New York,2016-09-11 00:00:00,2016-09-15 00:00:00,Siena College,600.0,51.0,30.0,45895,2016-09-13 00:00:00,25.0,29.0,180.0
1416,polls-plus,New York,2016-07-13 00:00:00,2016-07-17 00:00:00,Quinnipiac University,1104.0,45.0,33.0,44621,2016-07-15 00:00:00,85.0,29.0,364.0
1917,polls-plus,New York,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,714.0,54.8,31.1,46662,2016-10-03 00:00:00,5.0,29.0,221.0
1928,polls-plus,New York,2016-08-04 00:00:00,2016-08-08 00:00:00,Gravis Marketing,1717.0,48.0,34.0,44829,2016-08-06 00:00:00,63.0,29.0,583.0
2311,polls-plus,New York,2016-09-23 00:00:00,2016-09-29 00:00:00,Ipsos,651.0,49.3,29.1,46366,2016-09-26 00:00:00,12.0,29.0,189.0
2610,polls-plus,New York,2016-09-16 00:00:00,2016-09-22 00:00:00,Ipsos,535.0,52.9,34.1,46085,2016-09-19 00:00:00,19.0,29.0,182.0
2638,polls-plus,New York,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,875.0,41.7,30.8,46720,2016-10-06 12:00:00,1.5,29.0,269.0
2773,polls-plus,New York,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,992.0,43.0,31.3,46493,2016-09-30 00:00:00,8.0,29.0,310.0
2785,polls-plus,New York,2016-09-09 00:00:00,2016-09-15 00:00:00,Ipsos,544.0,53.4,30.0,45861,2016-09-12 00:00:00,26.0,29.0,163.0
2804,polls-plus,New York,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,1405.0,51.0,31.0,45374,2016-08-20 12:00:00,48.5,29.0,435.0
2896,polls-plus,New York,2016-09-02 00:00:00,2016-09-08 00:00:00,Ipsos,631.0,51.8,30.1,45670,2016-09-05 00:00:00,33.0,29.0,189.0
2946,polls-plus,New York,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,931.0,42.5,29.4,46268,2016-09-23 12:00:00,14.5,29.0,273.0
2993,polls-plus,New York,2016-04-04 00:00:00,2016-04-07 00:00:00,Fox News/Anderson Robbins Research/Shaw & Company Research,1403.0,53.0,37.0,36711,2016-04-05 12:00:00,185.5,29.0,519.0
3038,polls-plus,New York,2016-04-07 00:00:00,2016-04-10 00:00:00,Public Policy Polling,1403.0,55.0,35.0,36742,2016-04-08 12:00:00,182.5,29.0,491.0
3106,polls-plus,New York,2016-04-05 00:00:00,2016-04-10 00:00:00,Baruch College,1306.0,51.0,35.0,36740,2016-04-07 12:00:00,183.5,29.0,457.0
3113,polls-plus,New York,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,844.0,41.6,28.2,45982,2016-09-17 00:00:00,21.0,29.0,238.0
3132,polls-plus,New York,2016-08-26 00:00:00,2016-09-01 00:00:00,Ipsos,451.0,50.0,28.5,45305,2016-08-29 00:00:00,40.0,29.0,128.0
3149,polls-plus,New York,2016-04-06 00:00:00,2016-04-10 00:00:00,Marist College,1987.0,61.0,32.0,36723,2016-04-08 00:00:00,183.0,29.0,635.0
3219,polls-plus,New York,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,923.0,39.8,31.4,45776,2016-09-10 00:00:00,28.0,29.0,289.0
3234,polls-plus,New York,2016-08-12 00:00:00,2016-08-18 00:00:00,Ipsos,1006.0,52.0,29.6,44969,2016-08-15 00:00:00,54.0,29.0,298.0
3241,polls-plus,New York,2016-08-19 00:00:00,2016-08-25 00:00:00,Ipsos,500.0,53.3,31.4,45024,2016-08-22 00:00:00,47.0,29.0,156.0
3243,polls-plus,New York,2016-04-15 00:00:00,2016-04-17 00:00:00,Emerson College,1047.0,55.0,36.0,42180,2016-04-16 00:00:00,175.0,29.0,376.0
3315,polls-plus,New York,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,1033.0,37.3,28.8,45473,2016-09-03 00:00:00,35.0,29.0,297.0
3343,polls-plus,New York,2016-03-22 00:00:00,2016-03-29 00:00:00,Quinnipiac University,1667.0,53.0,33.0,36672,2016-03-25 12:00:00,196.5,29.0,550.0
3405,polls-plus,New York,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,1038.0,41.6,29.9,45524,2016-08-27 00:00:00,42.0,29.0,310.0
3475,polls-plus,New York,2016-04-06 00:00:00,2016-04-07 00:00:00,Emerson College,864.0,54.0,36.0,36703,2016-04-06 12:00:00,184.5,29.0,311.0
3499,polls-plus,New York,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,947.0,39.1,27.6,45574,2016-08-20 00:00:00,49.0,29.0,261.0
3559,polls-plus,New York,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,991.0,41.2,26.0,45624,2016-08-13 00:00:00,56.0,29.0,258.0
3630,polls-plus,New York,2016-03-14 00:00:00,2016-03-16 00:00:00,Emerson College,768.0,55.0,36.0,36628,2016-03-15 00:00:00,207.0,29.0,276.0
4078,polls-plus,New York,2016-04-24 00:00:00,2016-04-27 00:00:00,Siena College,802.0,56.0,30.0,44017,2016-04-25 12:00:00,165.5,29.0,240.0
4124,polls-plus,New York,2016-08-07 00:00:00,2016-08-10 00:00:00,Siena College,717.0,50.0,25.0,44852,2016-08-08 12:00:00,60.5,29.0,179.0
4168,polls-plus,New York,2016-01-31 00:00:00,2016-02-03 00:00:00,Siena College,930.0,57.0,32.0,36054,2016-02-01 12:00:00,249.5,29.0,297.0
4175,polls-plus,New York,2016-06-22 00:00:00,2016-06-28 00:00:00,Siena College,803.0,54.0,31.0,44463,2016-06-25 00:00:00,105.0,29.0,248.0
