,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
380,polls-plus,North Carolina,2016-09-29 00:00:00,2016-10-02 00:00:00,Selzer & Company,805.0,44.0,43.0,46385,2016-09-30 12:00:00,7.5,15.0,346.0
541,polls-plus,North Carolina,2016-10-01 00:00:00,2016-10-06 00:00:00,High Point University,479.0,43.0,42.0,46631,2016-10-03 12:00:00,4.5,15.0,201.0
608,polls-plus,North Carolina,2016-09-18 00:00:00,2016-09-20 00:00:00,Fox News/Anderson Robbins Research/Shaw & Company Research,734.0,40.0,45.0,45930,2016-09-19 00:00:00,19.0,15.0,330.0
707,polls-plus,North Carolina,2016-09-27 00:00:00,2016-09-30 00:00:00,Elon University,660.0,44.5,39.0,46446,2016-09-28 12:00:00,9.5,15.0,257.0
770,polls-plus,North Carolina,2016-09-18 00:00:00,2016-09-22 00:00:00,Meredith College,487.0,38.0,35.0,46163,2016-09-20 00:00:00,18.0,15.0,170.0
844,polls-plus,North Carolina,2016-09-10 00:00:00,2016-09-19 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),400.0,44.0,40.0,46011,2016-09-14 12:00:00,23.5,15.0,160.0
855,polls-plus,North Carolina,2016-09-17 00:00:00,2016-09-22 00:00:00,High Point University,404.0,43.0,42.0,46042,2016-09-19 12:00:00,18.5,15.0,169.0
899,polls-plus,North Carolina,2016-09-27 00:00:00,2016-09-28 00:00:00,Public Policy Polling,861.0,44.0,42.0,46290,2016-09-27 12:00:00,10.5,15.0,361.0
901,polls-plus,North Carolina,2016-09-11 00:00:00,2016-09-12 00:00:00,"National Research, Inc.",600.0,42.0,42.0,45807,2016-09-11 12:00:00,26.5,15.0,252.0
967,polls-plus,North Carolina,2016-09-29 00:00:00,2016-10-03 00:00:00,SurveyUSA,656.0,46.0,44.0,46456,2016-10-01 00:00:00,7.0,15.0,288.0
1009,polls-plus,North Carolina,2016-09-05 00:00:00,2016-09-07 00:00:00,Suffolk University,500.0,41.0,44.0,45429,2016-09-06 00:00:00,32.0,15.0,220.0
1012,polls-plus,North Carolina,2016-09-12 00:00:00,2016-09-16 00:00:00,Elon University,644.0,43.0,44.0,45886,2016-09-14 00:00:00,24.0,15.0,283.0
1041,polls-plus,North Carolina,2016-08-30 00:00:00,2016-09-02 00:00:00,YouGov,1088.0,46.0,42.0,45320,2016-08-31 12:00:00,37.5,15.0,456.0
1064,polls-plus,North Carolina,2016-08-20 00:00:00,2016-08-23 00:00:00,Monmouth University,401.0,44.0,42.0,44933,2016-08-21 12:00:00,47.5,15.0,168.0
1090,polls-plus,North Carolina,2016-08-18 00:00:00,2016-08-23 00:00:00,CNN/Opinion Research Corp.,803.0,45.0,45.0,44935,2016-08-20 12:00:00,48.5,15.0,361.0
1199,polls-plus,North Carolina,2016-09-23 00:00:00,2016-09-23 00:00:00,Gravis Marketing,694.0,44.0,43.0,46155,2016-09-23 00:00:00,15.0,15.0,298.0
1268,polls-plus,North Carolina,2016-08-27 00:00:00,2016-08-29 00:00:00,Emerson College,800.0,43.4,44.8,45149,2016-08-28 00:00:00,41.0,15.0,358.0
1721,polls-plus,North Carolina,2016-09-18 00:00:00,2016-09-20 00:00:00,Public Policy Polling,1024.0,43.0,45.0,45912,2016-09-19 00:00:00,19.0,15.0,460.0
2251,polls-plus,North Carolina,2016-08-15 00:00:00,2016-08-17 00:00:00,Gravis Marketing,723.0,38.0,39.0,44904,2016-08-16 00:00:00,53.0,15.0,281.0
2277,polls-plus,North Carolina,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,326.0,44.2,43.1,46663,2016-10-03 00:00:00,5.0,15.0,140.0
2279,polls-plus,North Carolina,2016-06-10 00:00:00,2016-06-22 00:00:00,Evolving Strategies,603.0,44.0,37.0,44450,2016-06-16 00:00:00,114.0,15.0,223.0
2369,polls-plus,North Carolina,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,520.0,48.1,43.6,46367,2016-09-22 12:00:00,15.5,15.0,226.0
2400,polls-plus,North Carolina,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,618.0,35.0,36.8,46713,2016-10-06 12:00:00,1.5,15.0,227.0
2466,polls-plus,North Carolina,2016-06-21 00:00:00,2016-06-23 00:00:00,"National Research, Inc.",600.0,42.0,40.0,44459,2016-06-22 00:00:00,108.0,15.0,240.0
2556,polls-plus,North Carolina,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,734.0,31.3,41.9,46486,2016-09-30 00:00:00,8.0,15.0,307.0
2592,polls-plus,North Carolina,2016-06-21 00:00:00,2016-06-24 00:00:00,YouGov,988.0,44.0,42.0,44412,2016-06-22 12:00:00,107.5,15.0,414.0
2626,polls-plus,North Carolina,2016-06-14 00:00:00,2016-06-18 00:00:00,TargetPoint,200.0,39.0,45.0,44534,2016-06-16 00:00:00,114.0,15.0,90.0
2657,polls-plus,North Carolina,2016-06-11 00:00:00,2016-06-20 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),300.0,48.0,38.0,44527,2016-06-15 12:00:00,114.5,15.0,114.0
2709,polls-plus,North Carolina,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,502.0,46.4,43.7,45862,2016-09-08 12:00:00,29.5,15.0,219.0
2799,polls-plus,North Carolina,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,613.0,32.6,41.3,46261,2016-09-23 12:00:00,14.5,15.0,253.0
2841,polls-plus,North Carolina,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2552.0,40.0,41.0,45375,2016-08-20 12:00:00,48.5,15.0,1046.0
2914,polls-plus,North Carolina,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,708.0,32.3,39.5,45975,2016-09-17 00:00:00,21.0,15.0,279.0
2990,polls-plus,North Carolina,2016-05-21 00:00:00,2016-05-23 00:00:00,"National Research, Inc.",600.0,36.0,39.0,44150,2016-05-22 00:00:00,139.0,15.0,234.0
3041,polls-plus,North Carolina,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,779.0,32.6,37.9,45769,2016-09-10 00:00:00,28.0,15.0,295.0
3070,polls-plus,North Carolina,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,484.0,46.0,44.7,45671,2016-09-01 12:00:00,36.5,15.0,216.0
3194,polls-plus,North Carolina,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,738.0,30.2,39.0,45466,2016-09-03 00:00:00,35.0,15.0,288.0
3233,polls-plus,North Carolina,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,404.0,48.9,43.8,45306,2016-08-25 12:00:00,43.5,15.0,177.0
3309,polls-plus,North Carolina,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,771.0,33.7,37.3,45517,2016-08-27 00:00:00,42.0,15.0,287.0
3347,polls-plus,North Carolina,2016-08-12 00:00:00,2016-08-25 00:00:00,Ipsos,407.0,48.1,44.3,45025,2016-08-18 12:00:00,50.5,15.0,180.0
3408,polls-plus,North Carolina,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,778.0,32.9,37.4,45567,2016-08-20 00:00:00,49.0,15.0,291.0
3430,polls-plus,North Carolina,2016-08-05 00:00:00,2016-08-18 00:00:00,Ipsos,438.0,47.2,45.2,44970,2016-08-11 12:00:00,57.5,15.0,198.0
3454,polls-plus,North Carolina,2016-04-10 00:00:00,2016-04-15 00:00:00,Elon University,621.0,45.0,39.0,42209,2016-04-12 12:00:00,178.5,15.0,242.0
3517,polls-plus,North Carolina,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,742.0,33.5,35.4,45617,2016-08-13 00:00:00,56.0,15.0,262.0
3561,polls-plus,North Carolina,2016-04-23 00:00:00,2016-04-25 00:00:00,"National Research, Inc.",600.0,49.0,40.0,44014,2016-04-24 00:00:00,167.0,15.0,240.0
3731,polls-plus,North Carolina,2016-02-15 00:00:00,2016-02-19 00:00:00,Elon University,1530.0,47.0,41.0,36413,2016-02-17 00:00:00,234.0,15.0,627.0
4073,polls-plus,North Carolina,2016-01-18 00:00:00,2016-01-19 00:00:00,Public Policy Polling,1214.0,43.0,45.0,35890,2016-01-18 12:00:00,263.5,15.0,546.0
4077,polls-plus,North Carolina,2016-08-05 00:00:00,2016-08-07 00:00:00,Public Policy Polling,830.0,43.0,41.0,44800,2016-08-06 00:00:00,63.0,15.0,340.0
4087,polls-plus,North Carolina,2016-06-20 00:00:00,2016-06-21 00:00:00,Public Policy Polling,947.0,43.0,43.0,44400,2016-06-20 12:00:00,109.5,15.0,407.0
4108,polls-plus,North Carolina,2016-07-31 00:00:00,2016-08-02 00:00:00,SurveyUSA,400.0,42.0,46.0,44759,2016-08-01 00:00:00,68.0,15.0,184.0
4110,polls-plus,North Carolina,2016-08-29 00:00:00,2016-09-07 00:00:00,Quinnipiac University,751.0,42.0,38.0,45436,2016-09-02 12:00:00,35.5,15.0,285.0
4141,polls-plus,North Carolina,2016-07-05 00:00:00,2016-07-11 00:00:00,Marist College,907.0,42.0,36.0,44590,2016-07-08 00:00:00,92.0,15.0,326.0
4145,polls-plus,North Carolina,2016-09-16 00:00:00,2016-09-22 00:00:00,Ipsos,264.0,49.0,43.4,46086,2016-09-19 00:00:00,19.0,15.0,114.0
4165,polls-plus,North Carolina,2016-09-16 00:00:00,2016-09-19 00:00:00,Siena College,782.0,41.0,41.0,45935,2016-09-17 12:00:00,20.5,15.0,320.0
4171,polls-plus,North Carolina,2016-02-14 00:00:00,2016-02-16 00:00:00,Public Policy Polling,1291.0,43.0,44.0,36354,2016-02-15 00:00:00,236.0,15.0,568.0
4172,polls-plus,North Carolina,2016-08-04 00:00:00,2016-08-10 00:00:00,Marist College,921.0,45.0,36.0,44839,2016-08-07 00:00:00,62.0,15.0,331.0
4173,polls-plus,North Carolina,2016-04-22 00:00:00,2016-04-24 00:00:00,Public Policy Polling,960.0,44.0,44.0,43805,2016-04-23 00:00:00,168.0,15.0,422.0
4177,polls-plus,North Carolina,2016-08-26 00:00:00,2016-08-27 00:00:00,Public Policy Polling,1177.0,45.0,44.0,45261,2016-08-26 12:00:00,42.5,15.0,517.0
4178,polls-plus,North Carolina,2015-12-05 00:00:00,2015-12-07 00:00:00,Public Policy Polling,1214.0,43.0,47.0,35423,2015-12-06 00:00:00,307.0,15.0,570.0
4186,polls-plus,North Carolina,2016-03-09 00:00:00,2016-03-10 00:00:00,SurveyUSA,1576.0,42.0,49.0,36589,2016-03-09 12:00:00,212.5,15.0,772.0
4193,polls-plus,North Carolina,2016-09-27 00:00:00,2016-10-02 00:00:00,Quinnipiac University,507.0,46.0,43.0,46382,2016-09-29 12:00:00,8.5,15.0,218.0
4194,polls-plus,North Carolina,2016-02-14 00:00:00,2016-02-16 00:00:00,SurveyUSA,1250.0,43.0,45.0,36380,2016-02-15 00:00:00,236.0,15.0,562.0
4195,polls-plus,North Carolina,2016-05-20 00:00:00,2016-05-22 00:00:00,Public Policy Polling,928.0,41.0,43.0,44145,2016-05-21 00:00:00,140.0,15.0,399.0
4200,polls-plus,North Carolina,2016-03-18 00:00:00,2016-03-20 00:00:00,Public Policy Polling,843.0,44.0,42.0,36645,2016-03-19 00:00:00,203.0,15.0,354.0
