,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
829,polls-plus,North Dakota,2016-09-12 00:00:00,2016-09-17 00:00:00,DFM Research,400.0,32.0,43.0,45908,2016-09-14 12:00:00,23.5,3.0,172.0
1089,polls-plus,North Dakota,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,105.0,34.7,44.9,46848,2016-10-03 00:00:00,5.0,3.0,47.0
1915,polls-plus,North Dakota,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,58.0,13.3,63.3,46714,2016-10-06 12:00:00,1.5,3.0,36.0
1999,polls-plus,North Dakota,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,549.0,26.0,51.0,45376,2016-08-20 12:00:00,48.5,3.0,279.0
2126,polls-plus,North Dakota,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,100.0,30.3,43.2,46664,2016-09-26 00:00:00,12.0,3.0,43.0
2210,polls-plus,North Dakota,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,49.0,22.8,45.5,46487,2016-09-30 00:00:00,8.0,3.0,22.0
2276,polls-plus,North Dakota,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,61.0,26.6,49.3,46262,2016-09-23 12:00:00,14.5,3.0,30.0
2441,polls-plus,North Dakota,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,63.0,17.4,39.2,45976,2016-09-17 00:00:00,21.0,3.0,24.0
2541,polls-plus,North Dakota,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,71.0,26.3,45.1,45770,2016-09-10 00:00:00,28.0,3.0,32.0
2648,polls-plus,North Dakota,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,84.0,23.8,45.6,45467,2016-09-03 00:00:00,35.0,3.0,38.0
2867,polls-plus,North Dakota,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,63.0,21.4,48.8,45518,2016-08-27 00:00:00,42.0,3.0,30.0
3005,polls-plus,North Dakota,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,62.0,20.6,41.8,45568,2016-08-20 00:00:00,49.0,3.0,25.0
3101,polls-plus,North Dakota,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,78.0,22.0,43.0,45618,2016-08-13 00:00:00,56.0,3.0,33.0
