,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
413,polls-plus,Ohio,2016-10-05 00:00:00,2016-10-06 00:00:00,Public Policy Polling,782.0,44.0,43.0,46540,2016-10-05 12:00:00,2.5,18.0,336.0
455,polls-plus,Ohio,2016-09-21 00:00:00,2016-10-13 00:00:00,University of Akron,1004.0,41.0,38.0,47084,2016-10-02 00:00:00,6.0,18.0,381.0
550,polls-plus,Ohio,2016-10-01 00:00:00,2016-10-04 00:00:00,Monmouth University,405.0,44.0,42.0,46514,2016-10-02 12:00:00,5.5,18.0,170.0
601,polls-plus,Ohio,2016-09-27 00:00:00,2016-10-02 00:00:00,Anzalone Liszt Grove Research,800.0,44.0,42.0,46519,2016-09-29 12:00:00,8.5,18.0,336.0
607,polls-plus,Ohio,2016-09-18 00:00:00,2016-09-20 00:00:00,Fox News/Anderson Robbins Research/Shaw & Company Research,737.0,37.0,42.0,45931,2016-09-19 00:00:00,19.0,18.0,309.0
638,polls-plus,Ohio,2016-09-09 00:00:00,2016-09-12 00:00:00,Selzer & Company,802.0,39.0,44.0,45737,2016-09-10 12:00:00,27.5,18.0,352.0
682,polls-plus,Ohio,2016-10-05 00:00:00,2016-10-07 00:00:00,YouGov,997.0,46.0,42.0,46571,2016-10-06 00:00:00,2.0,18.0,418.0
771,polls-plus,Ohio,2016-09-27 00:00:00,2016-10-02 00:00:00,Quinnipiac University,497.0,42.0,47.0,46383,2016-09-29 12:00:00,8.5,18.0,233.0
823,polls-plus,Ohio,2016-10-03 00:00:00,2016-10-06 00:00:00,TargetSmart/William & Mary,812.0,43.2,40.3,46563,2016-10-04 12:00:00,3.5,18.0,327.0
843,polls-plus,Ohio,2016-09-10 00:00:00,2016-09-19 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),400.0,39.0,41.0,46013,2016-09-14 12:00:00,23.5,18.0,164.0
856,polls-plus,Ohio,2016-09-07 00:00:00,2016-09-12 00:00:00,CNN/Opinion Research Corp.,769.0,41.0,46.0,45799,2016-09-09 12:00:00,28.5,18.0,353.0
937,polls-plus,Ohio,2016-09-12 00:00:00,2016-09-14 00:00:00,Suffolk University,500.0,39.0,42.0,45809,2016-09-13 00:00:00,25.0,18.0,210.0
1006,polls-plus,Ohio,2016-08-26 00:00:00,2016-08-27 00:00:00,Public Policy Polling,1134.0,46.0,42.0,45262,2016-08-26 12:00:00,42.5,18.0,476.0
1069,polls-plus,Ohio,2016-09-22 00:00:00,2016-09-23 00:00:00,Gravis Marketing,850.0,42.0,43.0,46032,2016-09-22 12:00:00,15.5,18.0,365.0
1108,polls-plus,Ohio,2016-08-18 00:00:00,2016-08-21 00:00:00,Monmouth University,402.0,43.0,39.0,44911,2016-08-19 12:00:00,49.5,18.0,156.0
1168,polls-plus,Ohio,2016-09-07 00:00:00,2016-09-09 00:00:00,YouGov,994.0,46.0,39.0,45700,2016-09-08 00:00:00,30.0,18.0,387.0
1266,polls-plus,Ohio,2016-09-15 00:00:00,2016-09-22 00:00:00,TargetSmart/William & Mary,652.0,40.0,37.0,46101,2016-09-18 12:00:00,19.5,18.0,241.0
1420,polls-plus,Ohio,2016-08-03 00:00:00,2016-08-07 00:00:00,Marist College,889.0,39.0,35.0,44811,2016-08-05 00:00:00,64.0,18.0,311.0
1446,polls-plus,Ohio,2016-08-29 00:00:00,2016-09-07 00:00:00,Quinnipiac University,775.0,37.0,41.0,45433,2016-09-02 12:00:00,35.5,18.0,317.0
1589,polls-plus,Ohio,2016-08-25 00:00:00,2016-08-27 00:00:00,Emerson College,800.0,42.5,43.4,45046,2016-08-26 00:00:00,43.0,18.0,347.0
1834,polls-plus,Ohio,2016-08-17 00:00:00,2016-08-19 00:00:00,YouGov,997.0,46.0,40.0,44903,2016-08-18 00:00:00,51.0,18.0,398.0
2117,polls-plus,Ohio,2016-07-18 00:00:00,2016-07-20 00:00:00,Suffolk University,500.0,42.6,38.6,44661,2016-07-19 00:00:00,81.0,18.0,193.0
2164,polls-plus,Ohio,2016-06-22 00:00:00,2016-06-28 00:00:00,RABA Research,599.0,41.0,38.0,44485,2016-06-25 00:00:00,105.0,18.0,227.0
2208,polls-plus,Ohio,2016-07-22 00:00:00,2016-07-24 00:00:00,Public Policy Polling,1334.0,39.0,42.0,44679,2016-07-23 00:00:00,77.0,18.0,560.0
2271,polls-plus,Ohio,2016-06-10 00:00:00,2016-06-22 00:00:00,Evolving Strategies,617.0,41.0,34.0,44451,2016-06-16 00:00:00,114.0,18.0,209.0
2296,polls-plus,Ohio,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,609.0,46.2,42.6,46665,2016-10-03 00:00:00,5.0,18.0,259.0
2511,polls-plus,Ohio,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,794.0,32.4,35.8,46721,2016-10-06 12:00:00,1.5,18.0,284.0
2536,polls-plus,Ohio,2016-09-23 00:00:00,2016-09-29 00:00:00,Ipsos,557.0,44.4,42.8,46368,2016-09-26 00:00:00,12.0,18.0,238.0
2628,polls-plus,Ohio,2016-06-14 00:00:00,2016-06-18 00:00:00,TargetPoint,200.0,46.0,43.0,44533,2016-06-16 00:00:00,114.0,18.0,86.0
2656,polls-plus,Ohio,2016-06-11 00:00:00,2016-06-20 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),300.0,41.0,41.0,44480,2016-06-15 12:00:00,114.5,18.0,123.0
2694,polls-plus,Ohio,2016-06-27 00:00:00,2016-06-28 00:00:00,Gravis Marketing,1270.0,49.0,47.5,44490,2016-06-27 12:00:00,102.5,18.0,603.0
