,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
933,polls-plus,Oklahoma,2016-09-13 00:00:00,2016-09-15 00:00:00,SoonerPoll.com,515.0,35.6,50.9,45878,2016-09-14 00:00:00,24.0,7.0,262.0
1807,polls-plus,Oklahoma,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,432.0,36.0,51.3,46850,2016-10-03 00:00:00,5.0,7.0,221.0
2055,polls-plus,Oklahoma,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,226.0,33.5,41.6,46722,2016-10-06 12:00:00,1.5,7.0,94.0
2088,polls-plus,Oklahoma,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,419.0,33.2,53.2,46666,2016-09-26 00:00:00,12.0,7.0,222.0
2250,polls-plus,Oklahoma,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,254.0,29.0,39.6,46495,2016-09-30 00:00:00,8.0,7.0,100.0
2344,polls-plus,Oklahoma,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,370.0,31.3,53.9,46369,2016-09-19 00:00:00,19.0,7.0,199.0
2436,polls-plus,Oklahoma,2016-07-20 00:00:00,2016-07-25 00:00:00,SoonerPoll.com,298.0,28.6,53.0,44717,2016-07-22 12:00:00,77.5,7.0,157.0
2448,polls-plus,Oklahoma,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,1041.0,26.0,49.0,45378,2016-08-20 12:00:00,48.5,7.0,510.0
2545,polls-plus,Oklahoma,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,332.0,29.6,54.9,46088,2016-09-12 00:00:00,26.0,7.0,182.0
2593,polls-plus,Oklahoma,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,163.0,22.6,35.9,46270,2016-09-23 12:00:00,14.5,7.0,58.0
2693,polls-plus,Oklahoma,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,198.0,27.8,44.2,45984,2016-09-17 00:00:00,21.0,7.0,87.0
2722,polls-plus,Oklahoma,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,313.0,32.1,53.2,45864,2016-09-05 00:00:00,33.0,7.0,166.0
2790,polls-plus,Oklahoma,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,231.0,21.6,44.6,45778,2016-09-10 00:00:00,28.0,7.0,103.0
2848,polls-plus,Oklahoma,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,313.0,33.3,52.4,45673,2016-08-29 00:00:00,40.0,7.0,164.0
2905,polls-plus,Oklahoma,2016-05-02 00:00:00,2016-05-04 00:00:00,Cole Hargrave Snodgrass & Associates,500.0,28.0,48.0,44088,2016-05-03 00:00:00,158.0,7.0,240.0
2915,polls-plus,Oklahoma,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,244.0,29.3,44.6,45475,2016-09-03 00:00:00,35.0,7.0,108.0
3006,polls-plus,Oklahoma,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,288.0,36.5,48.4,45308,2016-08-22 00:00:00,47.0,7.0,139.0
3046,polls-plus,Oklahoma,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,244.0,28.7,37.1,45526,2016-08-27 00:00:00,42.0,7.0,90.0
3117,polls-plus,Oklahoma,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,320.0,32.0,54.4,45027,2016-08-15 00:00:00,54.0,7.0,174.0
3181,polls-plus,Oklahoma,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,245.0,24.4,42.2,45576,2016-08-20 00:00:00,49.0,7.0,103.0
3238,polls-plus,Oklahoma,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,386.0,29.2,58.4,44972,2016-08-08 00:00:00,61.0,7.0,225.0
3344,polls-plus,Oklahoma,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,240.0,27.3,39.2,45626,2016-08-13 00:00:00,56.0,7.0,94.0
