,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
585,polls-plus,Oregon,2016-09-29 00:00:00,2016-10-01 00:00:00,Hoffman Research Group,605.0,45.0,33.0,46440,2016-09-30 00:00:00,8.0,7.0,199.0
909,polls-plus,Oregon,2016-10-04 00:00:00,2016-10-04 00:00:00,Gravis Marketing,1248.0,47.0,39.0,46560,2016-10-04 00:00:00,4.0,7.0,486.0
941,polls-plus,Oregon,2016-09-02 00:00:00,2016-09-07 00:00:00,icitizen,610.0,43.0,28.0,45720,2016-09-04 12:00:00,33.5,7.0,170.0
1211,polls-plus,Oregon,2016-09-01 00:00:00,2016-09-06 00:00:00,"Davis, Hibbitts & Midghall, Inc.",517.0,38.0,25.0,45425,2016-09-03 12:00:00,34.5,7.0,129.0
1888,polls-plus,Oregon,2016-07-09 00:00:00,2016-07-13 00:00:00,Clout Research/Wenzel Strategies,701.0,43.1,39.7,44698,2016-07-11 00:00:00,89.0,7.0,278.0
1981,polls-plus,Oregon,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,483.0,51.3,36.0,46667,2016-09-29 12:00:00,8.5,7.0,173.0
2278,polls-plus,Oregon,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,382.0,48.5,23.8,46723,2016-10-06 12:00:00,1.5,7.0,90.0
2302,polls-plus,Oregon,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,436.0,48.4,37.6,46370,2016-09-22 12:00:00,15.5,7.0,164.0
2455,polls-plus,Oregon,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,438.0,48.0,26.5,46496,2016-09-30 00:00:00,8.0,7.0,115.0
2525,polls-plus,Oregon,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,381.0,43.6,41.4,46089,2016-09-15 12:00:00,22.5,7.0,157.0
2532,polls-plus,Oregon,2016-06-23 00:00:00,2016-06-27 00:00:00,icitizen,555.0,46.0,32.0,44515,2016-06-25 00:00:00,105.0,7.0,177.0
2577,polls-plus,Oregon,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,508.0,44.2,41.0,45865,2016-09-05 00:00:00,33.0,7.0,208.0
2678,polls-plus,Oregon,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,877.0,47.0,32.0,45379,2016-08-20 12:00:00,48.5,7.0,280.0
2713,polls-plus,Oregon,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,347.0,44.1,28.8,46271,2016-09-23 12:00:00,14.5,7.0,99.0
2839,polls-plus,Oregon,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,373.0,40.2,28.1,45985,2016-09-17 00:00:00,21.0,7.0,104.0
2977,polls-plus,Oregon,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,381.0,42.3,29.8,45779,2016-09-10 00:00:00,28.0,7.0,113.0
2983,polls-plus,Oregon,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,472.0,46.8,35.0,45674,2016-08-29 00:00:00,40.0,7.0,165.0
3082,polls-plus,Oregon,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,418.0,38.8,28.4,45476,2016-09-03 00:00:00,35.0,7.0,118.0
3090,polls-plus,Oregon,2016-05-06 00:00:00,2016-05-09 00:00:00,"Davis, Hibbitts & Midghall, Inc.",901.0,43.0,32.0,44051,2016-05-07 12:00:00,153.5,7.0,288.0
3159,polls-plus,Oregon,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,402.0,44.3,39.2,45309,2016-08-22 00:00:00,47.0,7.0,157.0
3220,polls-plus,Oregon,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,404.0,42.4,27.9,45527,2016-08-27 00:00:00,42.0,7.0,112.0
3225,polls-plus,Oregon,2016-05-10 00:00:00,2016-05-13 00:00:00,Clout Research/Wenzel Strategies,657.0,42.0,44.0,44162,2016-05-11 12:00:00,149.5,7.0,289.0
3259,polls-plus,Oregon,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,459.0,44.9,36.6,45028,2016-08-15 00:00:00,54.0,7.0,167.0
3366,polls-plus,Oregon,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,363.0,37.9,25.3,45577,2016-08-20 00:00:00,49.0,7.0,91.0
3391,polls-plus,Oregon,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,444.0,43.4,39.0,44973,2016-08-08 00:00:00,61.0,7.0,173.0
3459,polls-plus,Oregon,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,380.0,45.2,26.1,45627,2016-08-13 00:00:00,56.0,7.0,99.0
4081,polls-plus,Oregon,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,490.0,47.0,37.0,46851,2016-10-06 12:00:00,1.5,7.0,181.0
