,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
384,polls-plus,Pennsylvania,2016-10-03 00:00:00,2016-10-06 00:00:00,Marist College,709.0,49.0,37.0,46567,2016-10-04 12:00:00,3.5,20.0,262.0
590,polls-plus,Pennsylvania,2016-09-30 00:00:00,2016-10-03 00:00:00,Monmouth University,402.0,50.0,40.0,46450,2016-10-01 12:00:00,6.5,20.0,160.0
661,polls-plus,Pennsylvania,2016-10-04 00:00:00,2016-10-09 00:00:00,"Susquehanna Polling & Research, Inc.",764.0,44.0,40.0,46737,2016-10-06 12:00:00,1.5,20.0,305.0
704,polls-plus,Pennsylvania,2016-09-20 00:00:00,2016-09-25 00:00:00,CNN/Opinion Research Corp.,771.0,45.0,44.0,46037,2016-09-22 12:00:00,15.5,20.0,339.0
727,polls-plus,Pennsylvania,2016-09-28 00:00:00,2016-10-02 00:00:00,Franklin & Marshall College,496.0,47.0,38.0,46442,2016-09-30 00:00:00,8.0,20.0,188.0
730,polls-plus,Pennsylvania,2016-09-27 00:00:00,2016-09-28 00:00:00,Public Policy Polling,886.0,45.0,39.0,46291,2016-09-27 12:00:00,10.5,20.0,345.0
752,polls-plus,Pennsylvania,2016-09-19 00:00:00,2016-09-23 00:00:00,Muhlenberg College,486.0,40.0,38.0,46019,2016-09-21 00:00:00,17.0,20.0,184.0
763,polls-plus,Pennsylvania,2016-09-27 00:00:00,2016-10-02 00:00:00,Quinnipiac University,535.0,45.0,41.0,46384,2016-09-29 12:00:00,8.5,20.0,219.0
793,polls-plus,Pennsylvania,2016-09-12 00:00:00,2016-09-23 00:00:00,Mercyhurst University,420.0,42.0,41.0,46159,2016-09-17 12:00:00,20.5,20.0,172.0
826,polls-plus,Pennsylvania,2016-10-05 00:00:00,2016-10-07 00:00:00,YouGov,997.0,48.0,40.0,46570,2016-10-06 00:00:00,2.0,20.0,398.0
846,polls-plus,Pennsylvania,2016-09-10 00:00:00,2016-09-19 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),400.0,46.0,38.0,46014,2016-09-14 12:00:00,23.5,20.0,152.0
883,polls-plus,Pennsylvania,2016-08-21 00:00:00,2016-08-28 00:00:00,GBA Strategies,1200.0,46.0,40.0,45801,2016-08-24 12:00:00,44.5,20.0,480.0
902,polls-plus,Pennsylvania,2016-09-21 00:00:00,2016-09-22 00:00:00,Harper Polling,500.0,45.0,43.0,46055,2016-09-21 12:00:00,16.5,20.0,215.0
1021,polls-plus,Pennsylvania,2016-08-26 00:00:00,2016-08-29 00:00:00,Monmouth University,402.0,48.0,40.0,45150,2016-08-27 12:00:00,41.5,20.0,160.0
1225,polls-plus,Pennsylvania,2016-09-12 00:00:00,2016-09-16 00:00:00,Muhlenberg College,405.0,40.0,32.0,45879,2016-09-14 00:00:00,24.0,20.0,129.0
1232,polls-plus,Pennsylvania,2016-08-30 00:00:00,2016-08-31 00:00:00,Public Policy Polling,814.0,47.0,42.0,45410,2016-08-30 12:00:00,38.5,20.0,341.0
1233,polls-plus,Pennsylvania,2016-08-25 00:00:00,2016-08-29 00:00:00,Franklin & Marshall College,496.0,45.0,40.0,45256,2016-08-27 00:00:00,42.0,20.0,198.0
1311,polls-plus,Pennsylvania,2016-08-25 00:00:00,2016-08-28 00:00:00,Emerson College,800.0,45.9,42.7,45045,2016-08-26 12:00:00,42.5,20.0,341.0
1408,polls-plus,Pennsylvania,2016-08-30 00:00:00,2016-09-02 00:00:00,YouGov,1091.0,45.0,37.0,45321,2016-08-31 12:00:00,37.5,20.0,403.0
1422,polls-plus,Pennsylvania,2016-08-03 00:00:00,2016-08-07 00:00:00,Marist College,834.0,45.0,36.0,44812,2016-08-05 00:00:00,64.0,20.0,300.0
1738,polls-plus,Pennsylvania,2016-08-29 00:00:00,2016-09-07 00:00:00,Quinnipiac University,778.0,44.0,39.0,45434,2016-09-02 12:00:00,35.5,20.0,303.0
1804,polls-plus,Pennsylvania,2016-07-25 00:00:00,2016-07-27 00:00:00,Suffolk University,500.0,46.0,37.0,44704,2016-07-26 00:00:00,74.0,20.0,185.0
1875,polls-plus,Pennsylvania,2016-09-23 00:00:00,2016-09-23 00:00:00,Gravis Marketing,949.0,46.0,43.0,46154,2016-09-23 00:00:00,15.0,20.0,408.0
1878,polls-plus,Pennsylvania,2016-08-26 00:00:00,2016-08-27 00:00:00,Public Policy Polling,1194.0,48.0,43.0,45263,2016-08-26 12:00:00,42.5,20.0,513.0
2213,polls-plus,Pennsylvania,2016-07-31 00:00:00,2016-08-04 00:00:00,"Susquehanna Polling & Research, Inc.",772.0,46.0,37.0,44793,2016-08-02 00:00:00,67.0,20.0,285.0
2280,polls-plus,Pennsylvania,2016-06-10 00:00:00,2016-06-22 00:00:00,Evolving Strategies,601.0,46.0,32.0,44452,2016-06-16 00:00:00,114.0,20.0,192.0
2317,polls-plus,Pennsylvania,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,468.0,49.3,42.8,46668,2016-10-03 00:00:00,5.0,20.0,200.0
2318,polls-plus,Pennsylvania,2016-07-29 00:00:00,2016-08-01 00:00:00,Franklin & Marshall College,389.0,49.0,36.0,44763,2016-07-30 12:00:00,69.5,20.0,140.0
2500,polls-plus,Pennsylvania,2016-09-23 00:00:00,2016-09-29 00:00:00,Ipsos,500.0,45.2,42.4,46371,2016-09-26 00:00:00,12.0,20.0,211.0
2505,polls-plus,Pennsylvania,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,737.0,39.6,33.6,46724,2016-10-06 12:00:00,1.5,20.0,247.0
2627,polls-plus,Pennsylvania,2016-06-14 00:00:00,2016-06-18 00:00:00,TargetPoint,200.0,45.0,41.0,44536,2016-06-16 00:00:00,114.0,20.0,82.0
2659,polls-plus,Pennsylvania,2016-06-11 00:00:00,2016-06-20 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),300.0,45.0,36.0,44481,2016-06-15 12:00:00,114.5,20.0,108.0
2679,polls-plus,Pennsylvania,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,840.0,37.4,37.1,46497,2016-09-30 00:00:00,8.0,20.0,311.0
2758,polls-plus,Pennsylvania,2016-09-16 00:00:00,2016-09-22 00:00:00,Ipsos,387.0,45.7,46.5,46090,2016-09-19 00:00:00,19.0,20.0,179.0
2842,polls-plus,Pennsylvania,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2861.0,41.0,38.0,45380,2016-08-20 12:00:00,48.5,20.0,1087.0
2873,polls-plus,Pennsylvania,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,734.0,35.1,35.8,46272,2016-09-23 12:00:00,14.5,20.0,262.0
