,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
693,polls-plus,South Carolina,2016-09-18 00:00:00,2016-09-26 00:00:00,Winthrop University,475.0,38.0,42.0,46295,2016-09-22 00:00:00,16.0,9.0,199.0
814,polls-plus,South Carolina,2016-09-06 00:00:00,2016-09-12 00:00:00,Trafalgar Group,1247.0,37.6,53.0,45738,2016-09-09 00:00:00,29.0,9.0,660.0
939,polls-plus,South Carolina,2016-08-30 00:00:00,2016-09-01 00:00:00,First Tuesday Strategies,775.0,38.0,50.0,45404,2016-08-31 00:00:00,38.0,9.0,387.0
1037,polls-plus,South Carolina,2016-09-07 00:00:00,2016-09-09 00:00:00,Starboard Communications,600.0,35.0,48.0,45721,2016-09-08 00:00:00,30.0,9.0,288.0
1087,polls-plus,South Carolina,2016-08-18 00:00:00,2016-08-21 00:00:00,Feldman Group,600.0,39.0,39.0,44927,2016-08-19 12:00:00,49.5,9.0,234.0
1122,polls-plus,South Carolina,2016-08-09 00:00:00,2016-08-10 00:00:00,Public Policy Polling,1290.0,39.0,41.0,44825,2016-08-09 12:00:00,59.5,9.0,528.0
1775,polls-plus,South Carolina,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,346.0,46.0,48.9,46853,2016-10-03 00:00:00,5.0,9.0,169.0
1862,polls-plus,South Carolina,2016-08-15 00:00:00,2016-08-17 00:00:00,Gravis Marketing,768.0,37.0,41.0,44905,2016-08-16 00:00:00,53.0,9.0,314.0
2091,polls-plus,South Carolina,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,240.0,44.4,49.0,46372,2016-09-22 12:00:00,15.5,9.0,117.0
2172,polls-plus,South Carolina,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,317.0,42.9,49.7,46091,2016-09-12 00:00:00,26.0,9.0,157.0
2267,polls-plus,South Carolina,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,296.0,31.4,45.5,46726,2016-10-06 12:00:00,1.5,9.0,134.0
2363,polls-plus,South Carolina,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,413.0,29.8,40.8,46499,2016-09-30 00:00:00,8.0,9.0,168.0
2649,polls-plus,South Carolina,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,314.0,43.5,50.5,45867,2016-09-05 00:00:00,33.0,9.0,158.0
2651,polls-plus,South Carolina,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,319.0,28.3,45.7,46274,2016-09-23 12:00:00,14.5,9.0,145.0
2764,polls-plus,South Carolina,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,368.0,33.2,41.0,45988,2016-09-17 00:00:00,21.0,9.0,150.0
2805,polls-plus,South Carolina,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,302.0,44.5,48.9,45676,2016-08-29 00:00:00,40.0,9.0,147.0
2866,polls-plus,South Carolina,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,894.0,38.0,45.0,45382,2016-08-20 12:00:00,48.5,9.0,402.0
2924,polls-plus,South Carolina,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,374.0,30.5,39.1,45782,2016-09-10 00:00:00,28.0,9.0,146.0
2943,polls-plus,South Carolina,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,299.0,45.1,48.1,45311,2016-08-22 00:00:00,47.0,9.0,143.0
3072,polls-plus,South Carolina,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,354.0,30.3,40.2,45479,2016-09-03 00:00:00,35.0,9.0,142.0
3093,polls-plus,South Carolina,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,302.0,45.8,45.7,45030,2016-08-15 00:00:00,54.0,9.0,138.0
3156,polls-plus,South Carolina,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,425.0,31.8,41.7,45530,2016-08-27 00:00:00,42.0,9.0,177.0
3269,polls-plus,South Carolina,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,288.0,41.1,50.0,44975,2016-08-08 00:00:00,61.0,9.0,144.0
3302,polls-plus,South Carolina,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,401.0,27.1,39.4,45580,2016-08-20 00:00:00,49.0,9.0,157.0
3423,polls-plus,South Carolina,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,408.0,30.1,39.2,45630,2016-08-13 00:00:00,56.0,9.0,159.0
3857,polls-plus,South Carolina,2015-11-10 00:00:00,2015-11-16 00:00:00,Morning Consult,627.0,41.0,44.0,35394,2015-11-13 00:00:00,330.0,9.0,275.0
3871,polls-plus,South Carolina,2015-11-07 00:00:00,2015-11-08 00:00:00,Public Policy Polling,1290.0,42.0,47.0,35362,2015-11-07 12:00:00,335.5,9.0,606.0
4187,polls-plus,South Carolina,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,258.0,46.7,48.2,46669,2016-09-29 12:00:00,8.5,9.0,124.0
