,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
1527,polls-plus,South Dakota,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,105.0,34.0,48.0,46854,2016-10-03 00:00:00,5.0,3.0,50.0
1724,polls-plus,South Dakota,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,113.0,35.7,45.5,46670,2016-09-26 00:00:00,12.0,3.0,51.0
1984,polls-plus,South Dakota,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,105.0,31.7,46.8,46373,2016-09-19 00:00:00,19.0,3.0,49.0
2021,polls-plus,South Dakota,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,65.0,32.7,36.9,46727,2016-10-06 12:00:00,1.5,3.0,23.0
2033,polls-plus,South Dakota,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,809.0,29.0,43.0,45383,2016-08-20 12:00:00,48.5,3.0,347.0
2163,polls-plus,South Dakota,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,112.0,28.3,51.6,46092,2016-09-12 00:00:00,26.0,3.0,57.0
2169,polls-plus,South Dakota,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,75.0,36.2,37.4,46500,2016-09-30 00:00:00,8.0,3.0,28.0
2297,polls-plus,South Dakota,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,86.0,29.1,31.1,46275,2016-09-23 12:00:00,14.5,3.0,26.0
2503,polls-plus,South Dakota,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,75.0,31.0,30.1,45989,2016-09-17 00:00:00,21.0,3.0,22.0
2637,polls-plus,South Dakota,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,82.0,22.8,43.0,45783,2016-09-10 00:00:00,28.0,3.0,35.0
2860,polls-plus,South Dakota,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,59.0,35.4,34.6,45480,2016-09-03 00:00:00,35.0,3.0,20.0
2877,polls-plus,South Dakota,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,84.0,27.9,38.6,45531,2016-08-27 00:00:00,42.0,3.0,32.0
3056,polls-plus,South Dakota,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,72.0,33.2,25.6,45581,2016-08-20 00:00:00,49.0,3.0,18.0
3137,polls-plus,South Dakota,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,95.0,24.7,34.7,45631,2016-08-13 00:00:00,56.0,3.0,32.0
