,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
508,polls-plus,Tennessee,2016-09-19 00:00:00,2016-10-02 00:00:00,Vanderbilt University,1000.0,33.0,44.0,46537,2016-09-25 12:00:00,12.5,11.0,440.0
619,polls-plus,Tennessee,2016-09-28 00:00:00,2016-10-02 00:00:00,Middle Tennessee State University,472.0,38.0,50.0,46451,2016-09-30 00:00:00,8.0,11.0,236.0
1695,polls-plus,Tennessee,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,541.0,34.6,47.3,46855,2016-10-06 12:00:00,1.5,11.0,255.0
1998,polls-plus,Tennessee,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,557.0,33.9,48.6,46671,2016-09-29 12:00:00,8.5,11.0,270.0
2204,polls-plus,Tennessee,2016-07-25 00:00:00,2016-07-27 00:00:00,icitizen,531.0,30.0,47.0,44746,2016-07-26 00:00:00,74.0,11.0,249.0
2226,polls-plus,Tennessee,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,399.0,33.3,43.4,46728,2016-10-06 12:00:00,1.5,11.0,172.0
2314,polls-plus,Tennessee,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,495.0,35.1,47.1,46374,2016-09-22 12:00:00,15.5,11.0,232.0
2362,polls-plus,Tennessee,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,522.0,31.6,42.7,46501,2016-09-30 00:00:00,8.0,11.0,223.0
2514,polls-plus,Tennessee,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,1021.0,31.0,51.0,45384,2016-08-20 12:00:00,48.5,11.0,520.0
2530,polls-plus,Tennessee,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,447.0,33.4,47.0,46093,2016-09-15 12:00:00,22.5,11.0,210.0
2619,polls-plus,Tennessee,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,449.0,25.4,47.7,46276,2016-09-23 12:00:00,14.5,11.0,214.0
2725,polls-plus,Tennessee,2016-04-25 00:00:00,2016-05-11 00:00:00,Princeton Survey Research Associates International,1001.0,35.0,44.0,44087,2016-05-03 00:00:00,158.0,11.0,440.0
2729,polls-plus,Tennessee,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,410.0,26.5,49.7,45868,2016-09-08 12:00:00,29.5,11.0,203.0
2760,polls-plus,Tennessee,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,493.0,28.6,41.5,45990,2016-09-17 00:00:00,21.0,11.0,204.0
2858,polls-plus,Tennessee,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,413.0,27.9,48.5,45677,2016-09-01 12:00:00,36.5,11.0,200.0
2900,polls-plus,Tennessee,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,534.0,23.9,49.1,45784,2016-09-10 00:00:00,28.0,11.0,262.0
3002,polls-plus,Tennessee,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,401.0,31.5,49.4,45312,2016-08-25 12:00:00,43.5,11.0,198.0
3065,polls-plus,Tennessee,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,509.0,30.6,43.7,45481,2016-09-03 00:00:00,35.0,11.0,222.0
3163,polls-plus,Tennessee,2016-08-12 00:00:00,2016-08-25 00:00:00,Ipsos,371.0,32.7,45.6,45031,2016-08-18 12:00:00,50.5,11.0,169.0
3201,polls-plus,Tennessee,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,498.0,27.1,44.6,45532,2016-08-27 00:00:00,42.0,11.0,222.0
3297,polls-plus,Tennessee,2016-08-05 00:00:00,2016-08-18 00:00:00,Ipsos,398.0,35.5,42.9,44976,2016-08-11 12:00:00,57.5,11.0,170.0
3313,polls-plus,Tennessee,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,529.0,25.9,46.2,45582,2016-08-20 00:00:00,49.0,11.0,244.0
3444,polls-plus,Tennessee,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,481.0,24.8,41.5,45632,2016-08-13 00:00:00,56.0,11.0,199.0
