,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
882,polls-plus,Texas,2016-09-29 00:00:00,2016-10-01 00:00:00,Dixie Strategies,780.0,38.0,44.9,46518,2016-09-30 00:00:00,8.0,38.0,349.0
884,polls-plus,Texas,2016-09-01 00:00:00,2016-09-11 00:00:00,Texas Lyceum,502.0,32.0,39.0,45803,2016-09-06 00:00:00,32.0,38.0,195.0
982,polls-plus,Texas,2016-09-07 00:00:00,2016-09-10 00:00:00,Emerson College,700.0,36.1,42.4,45729,2016-09-08 12:00:00,29.5,38.0,296.0
1054,polls-plus,Texas,2016-08-12 00:00:00,2016-08-14 00:00:00,Public Policy Polling,944.0,38.0,44.0,44862,2016-08-13 00:00:00,56.0,38.0,415.0
2052,polls-plus,Texas,2016-08-08 00:00:00,2016-08-09 00:00:00,Dixie Strategies,1018.0,35.5,46.3,44834,2016-08-08 12:00:00,60.5,38.0,471.0
2063,polls-plus,Texas,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,583.0,33.6,50.1,46672,2016-10-03 00:00:00,5.0,38.0,292.0
2220,polls-plus,Texas,2016-06-13 00:00:00,2016-06-14 00:00:00,Leland Beatty,998.0,29.7,36.8,44395,2016-06-13 12:00:00,116.5,38.0,367.0
2428,polls-plus,Texas,2016-09-23 00:00:00,2016-09-29 00:00:00,Ipsos,464.0,32.9,48.3,46375,2016-09-26 00:00:00,12.0,38.0,224.0
2571,polls-plus,Texas,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,958.0,31.8,40.0,46729,2016-10-06 12:00:00,1.5,38.0,382.0
2617,polls-plus,Texas,2016-09-16 00:00:00,2016-09-22 00:00:00,Ipsos,462.0,32.6,48.1,46094,2016-09-19 00:00:00,19.0,38.0,222.0
2625,polls-plus,Texas,2016-06-10 00:00:00,2016-06-20 00:00:00,YouGov,1200.0,32.0,39.0,44419,2016-06-15 00:00:00,115.0,38.0,468.0
2667,polls-plus,Texas,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,5147.0,40.0,40.0,45385,2016-08-20 12:00:00,48.5,38.0,2058.0
2755,polls-plus,Texas,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,1000.0,33.4,40.4,46502,2016-09-30 00:00:00,8.0,38.0,403.0
2787,polls-plus,Texas,2016-09-09 00:00:00,2016-09-15 00:00:00,Ipsos,462.0,28.5,51.1,45869,2016-09-12 00:00:00,26.0,38.0,236.0
2908,polls-plus,Texas,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,1003.0,29.9,42.1,46277,2016-09-23 12:00:00,14.5,38.0,422.0
2965,polls-plus,Texas,2016-09-02 00:00:00,2016-09-08 00:00:00,Ipsos,405.0,30.9,48.3,45678,2016-09-05 00:00:00,33.0,38.0,195.0
3050,polls-plus,Texas,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,1046.0,28.9,42.4,45991,2016-09-17 00:00:00,21.0,38.0,442.0
3092,polls-plus,Texas,2016-08-26 00:00:00,2016-09-01 00:00:00,Ipsos,402.0,31.9,48.9,45313,2016-08-29 00:00:00,40.0,38.0,196.0
3144,polls-plus,Texas,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,1218.0,28.8,39.7,45785,2016-09-10 00:00:00,28.0,38.0,483.0
3180,polls-plus,Texas,2016-08-12 00:00:00,2016-08-18 00:00:00,Ipsos,915.0,32.4,45.9,44977,2016-08-15 00:00:00,54.0,38.0,419.0
3192,polls-plus,Texas,2016-08-19 00:00:00,2016-08-25 00:00:00,Ipsos,443.0,32.1,45.4,45032,2016-08-22 00:00:00,47.0,38.0,200.0
3288,polls-plus,Texas,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,1170.0,30.5,39.5,45482,2016-09-03 00:00:00,35.0,38.0,462.0
3393,polls-plus,Texas,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,1120.0,34.1,37.4,45533,2016-08-27 00:00:00,42.0,38.0,419.0
3471,polls-plus,Texas,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,1157.0,32.9,38.8,45583,2016-08-20 00:00:00,49.0,38.0,448.0
3477,polls-plus,Texas,2016-02-21 00:00:00,2016-02-22 00:00:00,SurveyUSA,1289.0,44.0,47.0,36436,2016-02-21 12:00:00,229.5,38.0,605.0
3552,polls-plus,Texas,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,1071.0,31.1,40.5,45633,2016-08-13 00:00:00,56.0,38.0,434.0
