,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
926,polls-plus,Utah,2016-08-19 00:00:00,2016-08-21 00:00:00,Public Policy Polling,1018.0,24.0,39.0,44918,2016-08-20 00:00:00,49.0,6.0,397.0
1216,polls-plus,Utah,2016-09-12 00:00:00,2016-09-19 00:00:00,Dan Jones & Associates,820.0,25.0,34.0,46030,2016-09-15 12:00:00,22.5,6.0,278.0
1793,polls-plus,Utah,2016-09-01 00:00:00,2016-09-09 00:00:00,Dan Jones & Associates,605.0,24.0,39.0,45706,2016-09-05 00:00:00,33.0,6.0,235.0
4049,polls-plus,Utah,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,168.0,34.1,34.9,45314,2016-08-22 00:00:00,47.0,6.0,58.0
4053,polls-plus,Utah,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,177.0,33.7,38.5,45033,2016-08-15 00:00:00,54.0,6.0,68.0
4058,polls-plus,Utah,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,259.0,22.8,27.5,45634,2016-08-13 00:00:00,56.0,6.0,71.0
4061,polls-plus,Utah,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,228.0,24.8,33.0,45786,2016-09-10 00:00:00,28.0,6.0,75.0
4062,polls-plus,Utah,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,211.0,32.5,43.6,44978,2016-08-08 00:00:00,61.0,6.0,92.0
4067,polls-plus,Utah,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,242.0,34.3,49.5,46376,2016-09-19 00:00:00,19.0,6.0,119.0
4080,polls-plus,Utah,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,196.0,28.6,46.2,45679,2016-08-29 00:00:00,40.0,6.0,90.0
4084,polls-plus,Utah,2016-06-02 00:00:00,2016-06-08 00:00:00,SurveyUSA,1238.0,35.0,35.0,44214,2016-06-05 00:00:00,125.0,6.0,433.0
4091,polls-plus,Utah,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,153.0,21.9,32.4,46278,2016-09-23 12:00:00,14.5,6.0,49.0
4093,polls-plus,Utah,2016-07-18 00:00:00,2016-08-04 00:00:00,Dan Jones & Associates,858.0,25.0,37.0,44788,2016-07-26 12:00:00,73.5,6.0,317.0
4094,polls-plus,Utah,2016-03-08 00:00:00,2016-03-15 00:00:00,Dan Jones & Associates,500.0,38.0,36.0,36635,2016-03-11 12:00:00,210.5,6.0,180.0
4099,polls-plus,Utah,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,253.0,25.9,27.9,45534,2016-08-27 00:00:00,42.0,6.0,70.0
4104,polls-plus,Utah,2016-05-31 00:00:00,2016-06-01 00:00:00,Gravis Marketing,1519.0,26.0,29.0,44196,2016-05-31 12:00:00,129.5,6.0,440.0
4106,polls-plus,Utah,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,280.0,32.9,47.9,46673,2016-09-26 00:00:00,12.0,6.0,134.0
4116,polls-plus,Utah,2016-03-23 00:00:00,2016-04-05 00:00:00,Dan Jones & Associates,600.0,38.0,38.0,42187,2016-03-29 12:00:00,192.5,6.0,228.0
4117,polls-plus,Utah,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,208.0,31.2,48.0,46095,2016-09-12 00:00:00,26.0,6.0,99.0
4126,polls-plus,Utah,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,182.0,30.4,33.9,46730,2016-10-06 12:00:00,1.5,6.0,61.0
4127,polls-plus,Utah,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,270.0,22.3,32.4,45584,2016-08-20 00:00:00,49.0,6.0,87.0
4128,polls-plus,Utah,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,247.0,20.3,27.9,45483,2016-09-03 00:00:00,35.0,6.0,68.0
4135,polls-plus,Utah,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,282.0,35.0,41.5,46857,2016-10-03 00:00:00,5.0,6.0,116.0
4136,polls-plus,Utah,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,231.0,28.6,34.2,46503,2016-09-30 00:00:00,8.0,6.0,79.0
4139,polls-plus,Utah,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,189.0,27.9,24.1,45992,2016-09-17 00:00:00,21.0,6.0,45.0
4148,polls-plus,Utah,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,198.0,28.6,47.7,45870,2016-09-05 00:00:00,33.0,6.0,94.0
4163,polls-plus,Utah,2016-06-08 00:00:00,2016-06-17 00:00:00,Dan Jones & Associates,614.0,27.0,36.0,44373,2016-06-12 12:00:00,117.5,6.0,221.0
4166,polls-plus,Utah,2015-12-08 00:00:00,2015-12-14 00:00:00,Dan Jones & Associates,622.0,28.0,33.0,35846,2015-12-11 00:00:00,302.0,6.0,205.0
4176,polls-plus,Utah,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,722.0,27.0,34.0,45386,2016-08-20 12:00:00,48.5,6.0,245.0
4179,polls-plus,Utah,2016-05-02 00:00:00,2016-05-10 00:00:00,Dan Jones & Associates,588.0,30.0,43.0,44057,2016-05-06 00:00:00,155.0,6.0,252.0
