,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
436,polls-plus,Vermont,2016-09-29 00:00:00,2016-10-14 00:00:00,Castleton University,579.0,45.0,17.0,47069,2016-10-06 12:00:00,1.5,3.0,98.0
862,polls-plus,Vermont,2016-09-02 00:00:00,2016-09-05 00:00:00,Emerson College,600.0,47.0,26.0,45415,2016-09-03 12:00:00,34.5,3.0,156.0
1084,polls-plus,Vermont,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,102.0,46.3,21.3,46674,2016-09-26 00:00:00,12.0,3.0,21.0
1763,polls-plus,Vermont,2016-07-11 00:00:00,2016-07-23 00:00:00,Castleton University,637.0,39.0,17.0,44700,2016-07-17 00:00:00,83.0,3.0,108.0
2029,polls-plus,Vermont,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,47.0,57.0,16.1,46732,2016-10-06 12:00:00,1.5,3.0,7.0
2035,polls-plus,Vermont,2016-06-26 00:00:00,2016-06-29 00:00:00,"Fairbank, Maslin, Maullin, Metz & Associates",600.0,39.0,24.0,44514,2016-06-27 12:00:00,102.5,3.0,144.0
2120,polls-plus,Vermont,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,61.0,44.4,27.3,46505,2016-09-30 00:00:00,8.0,3.0,16.0
2237,polls-plus,Vermont,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,550.0,45.0,24.0,45387,2016-08-20 12:00:00,48.5,3.0,132.0
2323,polls-plus,Vermont,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,56.0,48.3,28.2,46280,2016-09-23 12:00:00,14.5,3.0,15.0
2458,polls-plus,Vermont,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,61.0,44.0,18.6,45994,2016-09-17 00:00:00,21.0,3.0,11.0
2542,polls-plus,Vermont,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,72.0,49.7,18.4,45788,2016-09-10 00:00:00,28.0,3.0,13.0
2726,polls-plus,Vermont,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,66.0,43.0,12.6,45485,2016-09-03 00:00:00,35.0,3.0,8.0
2840,polls-plus,Vermont,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,69.0,50.1,18.1,45536,2016-08-27 00:00:00,42.0,3.0,12.0
2909,polls-plus,Vermont,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,87.0,42.8,11.4,45586,2016-08-20 00:00:00,49.0,3.0,9.0
3157,polls-plus,Vermont,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,67.0,59.9,9.5,45636,2016-08-13 00:00:00,56.0,3.0,6.0
