,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
519,polls-plus,Virginia,2016-09-21 00:00:00,2016-09-23 00:00:00,YouGov,1237.0,45.0,37.0,46029,2016-09-22 00:00:00,16.0,13.0,457.0
764,polls-plus,Virginia,2016-09-27 00:00:00,2016-09-28 00:00:00,Public Policy Polling,811.0,46.0,40.0,46292,2016-09-27 12:00:00,10.5,13.0,324.0
769,polls-plus,Virginia,2016-09-13 00:00:00,2016-09-21 00:00:00,Quinnipiac University,659.0,45.0,39.0,46003,2016-09-17 00:00:00,21.0,13.0,257.0
784,polls-plus,Virginia,2016-09-06 00:00:00,2016-09-12 00:00:00,University of Mary Washington,685.0,40.0,37.0,45808,2016-09-09 00:00:00,29.0,13.0,253.0
906,polls-plus,Virginia,2016-09-28 00:00:00,2016-10-02 00:00:00,Hampton University,800.0,46.0,34.0,46554,2016-09-30 00:00:00,8.0,13.0,272.0
973,polls-plus,Virginia,2016-10-02 00:00:00,2016-10-06 00:00:00,Roanoke College,814.0,45.0,36.0,46743,2016-10-04 00:00:00,4.0,13.0,293.0
1066,polls-plus,Virginia,2016-09-09 00:00:00,2016-09-11 00:00:00,Public Policy Polling,878.0,45.0,39.0,45722,2016-09-10 00:00:00,28.0,13.0,342.0
1174,polls-plus,Virginia,2016-08-04 00:00:00,2016-08-10 00:00:00,Marist College,897.0,43.0,31.0,44840,2016-08-07 00:00:00,62.0,13.0,278.0
1190,polls-plus,Virginia,2016-09-27 00:00:00,2016-09-30 00:00:00,Christopher Newport University,892.0,42.0,35.0,46324,2016-09-28 12:00:00,9.5,13.0,312.0
1212,polls-plus,Virginia,2016-08-30 00:00:00,2016-09-01 00:00:00,Emerson College,800.0,44.0,43.0,45274,2016-08-31 00:00:00,38.0,13.0,344.0
1388,polls-plus,Virginia,2016-09-11 00:00:00,2016-09-20 00:00:00,Roanoke College,841.0,44.0,37.0,45936,2016-09-15 12:00:00,22.5,13.0,311.0
1391,polls-plus,Virginia,2016-08-11 00:00:00,2016-08-14 00:00:00,ABC News/Washington Post,707.0,46.0,39.0,44860,2016-08-12 12:00:00,56.5,13.0,275.0
1454,polls-plus,Virginia,2016-09-15 00:00:00,2016-09-23 00:00:00,Christopher Newport University,1003.0,39.0,33.0,46041,2016-09-19 00:00:00,19.0,13.0,330.0
1491,polls-plus,Virginia,2016-08-09 00:00:00,2016-08-16 00:00:00,Quinnipiac University,808.0,45.0,34.0,44884,2016-08-12 12:00:00,56.5,13.0,274.0
1553,polls-plus,Virginia,2016-08-24 00:00:00,2016-08-28 00:00:00,Hampton University,801.0,43.0,41.0,45268,2016-08-26 00:00:00,43.0,13.0,328.0
1649,polls-plus,Virginia,2016-07-09 00:00:00,2016-07-12 00:00:00,Fox News/Anderson Robbins Research/Shaw & Company Research,601.0,39.0,34.0,44579,2016-07-10 12:00:00,89.5,13.0,204.0
1699,polls-plus,Virginia,2016-07-05 00:00:00,2016-07-11 00:00:00,Marist College,876.0,41.0,34.0,44591,2016-07-08 00:00:00,92.0,13.0,297.0
1764,polls-plus,Virginia,2016-08-02 00:00:00,2016-08-05 00:00:00,YouGov,1181.0,49.0,37.0,44786,2016-08-03 12:00:00,65.5,13.0,436.0
1767,polls-plus,Virginia,2016-07-26 00:00:00,2016-07-27 00:00:00,RABA Research,655.0,42.0,46.0,44714,2016-07-26 12:00:00,73.5,13.0,301.0
1912,polls-plus,Virginia,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,884.0,49.2,38.8,46858,2016-10-06 12:00:00,1.5,13.0,342.0
2108,polls-plus,Virginia,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,849.0,48.3,40.4,46377,2016-09-22 12:00:00,15.5,13.0,342.0
2202,polls-plus,Virginia,2016-06-10 00:00:00,2016-06-22 00:00:00,Evolving Strategies,612.0,43.0,35.0,44453,2016-06-16 00:00:00,114.0,13.0,214.0
2393,polls-plus,Virginia,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,539.0,34.0,36.6,46731,2016-10-06 12:00:00,1.5,13.0,197.0
2417,polls-plus,Virginia,2016-08-07 00:00:00,2016-08-17 00:00:00,Roanoke College,803.0,48.0,32.0,44914,2016-08-12 00:00:00,57.0,13.0,256.0
2544,polls-plus,Virginia,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,629.0,40.9,27.0,46504,2016-09-30 00:00:00,8.0,13.0,169.0
2612,polls-plus,Virginia,2016-07-06 00:00:00,2016-07-10 00:00:00,Hampton University,805.0,38.8,39.2,44603,2016-07-08 00:00:00,92.0,13.0,315.0
2699,polls-plus,Virginia,2016-09-09 00:00:00,2016-09-15 00:00:00,Ipsos,435.0,47.4,37.5,45871,2016-09-12 00:00:00,26.0,13.0,163.0
2748,polls-plus,Virginia,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,743.0,50.4,37.1,45680,2016-09-01 12:00:00,36.5,13.0,275.0
2763,polls-plus,Virginia,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,546.0,40.4,32.0,46279,2016-09-23 12:00:00,14.5,13.0,174.0
2791,polls-plus,Virginia,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2468.0,43.0,36.0,45388,2016-08-20 12:00:00,48.5,13.0,888.0
2818,polls-plus,Virginia,2016-05-24 00:00:00,2016-05-24 00:00:00,Gravis Marketing,1728.0,44.0,38.0,44151,2016-05-24 00:00:00,137.0,13.0,656.0
2886,polls-plus,Virginia,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,616.0,36.3,36.8,45993,2016-09-17 00:00:00,21.0,13.0,226.0
3062,polls-plus,Virginia,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,560.0,37.2,31.3,45787,2016-09-10 00:00:00,28.0,13.0,175.0
3116,polls-plus,Virginia,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,713.0,50.1,36.9,45315,2016-08-25 12:00:00,43.5,13.0,262.0
