,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
586,polls-plus,Washington,2016-09-29 00:00:00,2016-10-03 00:00:00,Strategies 360,500.0,47.0,31.0,46541,2016-10-01 00:00:00,7.0,12.0,155.0
603,polls-plus,Washington,2016-09-25 00:00:00,2016-09-27 00:00:00,Emerson College,700.0,44.2,38.4,46233,2016-09-26 00:00:00,12.0,12.0,268.0
1025,polls-plus,Washington,2016-09-12 00:00:00,2016-09-14 00:00:00,Insights West,505.0,38.0,28.0,45923,2016-09-13 00:00:00,25.0,12.0,141.0
1421,polls-plus,Washington,2016-08-09 00:00:00,2016-08-13 00:00:00,Elway Research,350.0,45.0,24.0,44856,2016-08-11 00:00:00,58.0,12.0,84.0
1729,polls-plus,Washington,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,602.0,46.9,37.2,46859,2016-10-06 12:00:00,1.5,12.0,224.0
1997,polls-plus,Washington,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,496.0,48.9,35.3,46378,2016-09-22 12:00:00,15.5,12.0,174.0
2162,polls-plus,Washington,2016-06-15 00:00:00,2016-06-20 00:00:00,American Strategies,804.0,48.0,36.0,44487,2016-06-17 12:00:00,112.5,12.0,289.0
2222,polls-plus,Washington,2016-06-14 00:00:00,2016-06-15 00:00:00,Public Policy Polling,679.0,49.0,37.0,44360,2016-06-14 12:00:00,115.5,12.0,251.0
2376,polls-plus,Washington,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,538.0,45.5,28.0,46733,2016-10-06 12:00:00,1.5,12.0,150.0
2564,polls-plus,Washington,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,569.0,45.4,24.7,46506,2016-09-30 00:00:00,8.0,12.0,140.0
2600,polls-plus,Washington,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,429.0,49.4,35.2,46097,2016-09-15 12:00:00,22.5,12.0,151.0
2695,polls-plus,Washington,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,722.0,41.0,31.0,45389,2016-08-20 12:00:00,48.5,12.0,223.0
2739,polls-plus,Washington,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,460.0,46.8,36.9,45872,2016-09-08 12:00:00,29.5,12.0,169.0
2769,polls-plus,Washington,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,510.0,42.9,25.3,46281,2016-09-23 12:00:00,14.5,12.0,128.0
2854,polls-plus,Washington,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,502.0,45.0,37.0,45681,2016-09-01 12:00:00,36.5,12.0,185.0
2939,polls-plus,Washington,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,486.0,37.0,28.2,45995,2016-09-17 00:00:00,21.0,12.0,137.0
3019,polls-plus,Washington,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,613.0,43.9,24.3,45789,2016-09-10 00:00:00,28.0,12.0,148.0
3054,polls-plus,Washington,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,404.0,45.4,35.4,45316,2016-08-25 12:00:00,43.5,12.0,143.0
3173,polls-plus,Washington,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,587.0,41.5,25.6,45486,2016-09-03 00:00:00,35.0,12.0,150.0
3228,polls-plus,Washington,2016-08-12 00:00:00,2016-08-25 00:00:00,Ipsos,349.0,49.3,32.6,45035,2016-08-18 12:00:00,50.5,12.0,113.0
3283,polls-plus,Washington,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,600.0,40.5,26.9,45537,2016-08-27 00:00:00,42.0,12.0,161.0
3345,polls-plus,Washington,2016-08-05 00:00:00,2016-08-18 00:00:00,Ipsos,399.0,45.4,33.5,44980,2016-08-11 12:00:00,57.5,12.0,133.0
3396,polls-plus,Washington,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,578.0,43.1,24.4,45587,2016-08-20 00:00:00,49.0,12.0,140.0
3493,polls-plus,Washington,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,595.0,43.1,27.2,45637,2016-08-13 00:00:00,56.0,12.0,161.0
4057,polls-plus,Washington,2016-09-30 00:00:00,2016-10-06 00:00:00,Ipsos,341.0,50.9,33.3,46676,2016-10-03 00:00:00,5.0,12.0,113.0
