,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
743,polls-plus,West Virginia,2016-09-13 00:00:00,2016-09-17 00:00:00,Garin-Hart-Yang Research Group,500.0,28.0,60.0,46536,2016-09-15 00:00:00,23.0,5.0,300.0
879,polls-plus,West Virginia,2016-09-08 00:00:00,2016-09-10 00:00:00,Just Win Strategies,600.0,30.0,57.0,46023,2016-09-09 00:00:00,29.0,5.0,342.0
1195,polls-plus,West Virginia,2016-08-09 00:00:00,2016-08-28 00:00:00,R.L. Repass & Partners,386.0,31.0,49.0,45266,2016-08-18 12:00:00,50.5,5.0,189.0
1856,polls-plus,West Virginia,2016-09-23 00:00:00,2016-10-13 00:00:00,Ipsos,153.0,40.7,54.0,46860,2016-10-03 00:00:00,5.0,5.0,82.0
2015,polls-plus,West Virginia,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,78.0,27.4,50.2,46735,2016-10-06 12:00:00,1.5,5.0,39.0
2030,polls-plus,West Virginia,2016-09-16 00:00:00,2016-10-06 00:00:00,Ipsos,165.0,36.4,55.3,46677,2016-09-26 00:00:00,12.0,5.0,91.0
2098,polls-plus,West Virginia,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,110.0,24.4,48.6,46508,2016-09-30 00:00:00,8.0,5.0,53.0
2102,polls-plus,West Virginia,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,698.0,27.0,52.0,45390,2016-08-20 12:00:00,48.5,5.0,362.0
2221,polls-plus,West Virginia,2016-09-09 00:00:00,2016-09-29 00:00:00,Ipsos,173.0,33.1,52.7,46379,2016-09-19 00:00:00,19.0,5.0,91.0
2329,polls-plus,West Virginia,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,100.0,30.6,40.3,46283,2016-09-23 12:00:00,14.5,5.0,40.0
2450,polls-plus,West Virginia,2016-09-02 00:00:00,2016-09-22 00:00:00,Ipsos,146.0,34.5,51.7,46098,2016-09-12 00:00:00,26.0,5.0,75.0
2559,polls-plus,West Virginia,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,82.0,19.4,35.5,45997,2016-09-17 00:00:00,21.0,5.0,29.0
2580,polls-plus,West Virginia,2016-08-26 00:00:00,2016-09-15 00:00:00,Ipsos,146.0,38.8,49.2,45873,2016-09-05 00:00:00,33.0,5.0,71.0
2670,polls-plus,West Virginia,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,94.0,36.1,35.3,45791,2016-09-10 00:00:00,28.0,5.0,33.0
2728,polls-plus,West Virginia,2016-04-29 00:00:00,2016-05-01 00:00:00,Public Policy Polling,1201.0,30.0,57.0,44019,2016-04-30 00:00:00,161.0,5.0,684.0
2740,polls-plus,West Virginia,2016-08-19 00:00:00,2016-09-08 00:00:00,Ipsos,137.0,39.4,54.0,45682,2016-08-29 00:00:00,40.0,5.0,74.0
2810,polls-plus,West Virginia,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,93.0,23.0,52.2,45488,2016-09-03 00:00:00,35.0,5.0,48.0
2859,polls-plus,West Virginia,2016-08-12 00:00:00,2016-09-01 00:00:00,Ipsos,142.0,37.8,55.0,45317,2016-08-22 00:00:00,47.0,5.0,78.0
2945,polls-plus,West Virginia,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,88.0,19.6,48.6,45539,2016-08-27 00:00:00,42.0,5.0,42.0
3025,polls-plus,West Virginia,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,107.0,25.7,47.1,45589,2016-08-20 00:00:00,49.0,5.0,50.0
3028,polls-plus,West Virginia,2016-08-05 00:00:00,2016-08-25 00:00:00,Ipsos,134.0,39.5,46.9,45036,2016-08-15 00:00:00,54.0,5.0,62.0
3100,polls-plus,West Virginia,2016-07-29 00:00:00,2016-08-18 00:00:00,Ipsos,183.0,38.9,48.5,44981,2016-08-08 00:00:00,61.0,5.0,88.0
3208,polls-plus,West Virginia,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,100.0,34.3,38.7,45639,2016-08-13 00:00:00,56.0,5.0,38.0
3571,polls-plus,West Virginia,2016-02-21 00:00:00,2016-02-22 00:00:00,Orion Strategies,306.0,24.0,61.0,44179,2016-02-21 12:00:00,229.5,5.0,186.0
