,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
387,polls-plus,Wisconsin,2016-10-05 00:00:00,2016-10-07 00:00:00,YouGov,993.0,43.0,39.0,46569,2016-10-06 00:00:00,2.0,10.0,387.0
684,polls-plus,Wisconsin,2016-10-06 00:00:00,2016-10-09 00:00:00,Marquette University,878.0,44.0,37.0,46767,2016-10-07 12:00:00,0.5,10.0,324.0
756,polls-plus,Wisconsin,2016-10-04 00:00:00,2016-10-05 00:00:00,Loras College,500.0,43.2,34.6,46684,2016-10-04 12:00:00,3.5,10.0,173.0
789,polls-plus,Wisconsin,2016-10-04 00:00:00,2016-10-04 00:00:00,Gravis Marketing,1102.0,48.0,40.0,46547,2016-10-04 00:00:00,4.0,10.0,440.0
800,polls-plus,Wisconsin,2016-09-19 00:00:00,2016-09-20 00:00:00,Emerson College,700.0,44.5,38.4,45938,2016-09-19 12:00:00,18.5,10.0,268.0
986,polls-plus,Wisconsin,2016-08-27 00:00:00,2016-08-30 00:00:00,Monmouth University,404.0,43.0,38.0,45244,2016-08-28 12:00:00,40.5,10.0,153.0
1170,polls-plus,Wisconsin,2016-08-26 00:00:00,2016-08-27 00:00:00,Public Policy Polling,1054.0,48.0,41.0,45264,2016-08-26 12:00:00,42.5,10.0,432.0
1788,polls-plus,Wisconsin,2016-09-30 00:00:00,2016-10-13 00:00:00,Ipsos,622.0,41.6,37.4,46861,2016-10-06 12:00:00,1.5,10.0,232.0
2064,polls-plus,Wisconsin,2016-09-23 00:00:00,2016-10-06 00:00:00,Ipsos,687.0,45.7,42.3,46678,2016-09-29 12:00:00,8.5,10.0,290.0
2354,polls-plus,Wisconsin,2016-06-21 00:00:00,2016-06-24 00:00:00,YouGov,993.0,41.0,36.0,44411,2016-06-22 12:00:00,107.5,10.0,357.0
2377,polls-plus,Wisconsin,2016-09-16 00:00:00,2016-09-29 00:00:00,Ipsos,592.0,42.5,42.0,46380,2016-09-22 12:00:00,15.5,10.0,248.0
2452,polls-plus,Wisconsin,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,738.0,44.3,27.2,46734,2016-10-06 12:00:00,1.5,10.0,200.0
2471,polls-plus,Wisconsin,2016-06-11 00:00:00,2016-06-20 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),300.0,44.0,32.0,44482,2016-06-15 12:00:00,114.5,10.0,96.0
2613,polls-plus,Wisconsin,2016-09-09 00:00:00,2016-09-22 00:00:00,Ipsos,526.0,41.1,41.1,46099,2016-09-15 12:00:00,22.5,10.0,216.0
2668,polls-plus,Wisconsin,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,2687.0,39.0,37.0,45391,2016-08-20 12:00:00,48.5,10.0,994.0
2683,polls-plus,Wisconsin,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,691.0,43.0,27.7,46507,2016-09-30 00:00:00,8.0,10.0,191.0
2761,polls-plus,Wisconsin,2016-09-02 00:00:00,2016-09-15 00:00:00,Ipsos,533.0,42.9,39.6,45874,2016-09-08 12:00:00,29.5,10.0,211.0
2807,polls-plus,Wisconsin,2016-05-10 00:00:00,2016-05-12 00:00:00,Public Opinion Strategies,600.0,43.0,31.0,44149,2016-05-11 00:00:00,150.0,10.0,186.0
2845,polls-plus,Wisconsin,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,672.0,40.7,27.6,46282,2016-09-23 12:00:00,14.5,10.0,185.0
2916,polls-plus,Wisconsin,2016-08-26 00:00:00,2016-09-08 00:00:00,Ipsos,523.0,38.4,39.7,45683,2016-09-01 12:00:00,36.5,10.0,207.0
2930,polls-plus,Wisconsin,2016-06-22 00:00:00,2016-06-23 00:00:00,Public Policy Polling,843.0,47.0,39.0,44437,2016-06-22 12:00:00,107.5,10.0,328.0
2968,polls-plus,Wisconsin,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,748.0,42.2,24.5,45996,2016-09-17 00:00:00,21.0,10.0,183.0
3067,polls-plus,Wisconsin,2016-03-28 00:00:00,2016-03-30 00:00:00,Fox News/Anderson Robbins Research/Shaw & Company Research,1602.0,49.0,35.0,36676,2016-03-29 00:00:00,193.0,10.0,560.0
3083,polls-plus,Wisconsin,2016-08-19 00:00:00,2016-09-01 00:00:00,Ipsos,447.0,37.5,38.2,45318,2016-08-25 12:00:00,43.5,10.0,170.0
3094,polls-plus,Wisconsin,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,786.0,37.4,27.1,45790,2016-09-10 00:00:00,28.0,10.0,212.0
3217,polls-plus,Wisconsin,2016-08-12 00:00:00,2016-08-25 00:00:00,Ipsos,454.0,36.1,39.3,45037,2016-08-18 12:00:00,50.5,10.0,178.0
3237,polls-plus,Wisconsin,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,784.0,40.8,29.1,45487,2016-09-03 00:00:00,35.0,10.0,227.0
3256,polls-plus,Wisconsin,2016-04-12 00:00:00,2016-04-15 00:00:00,St. Norbert College,616.0,46.0,34.0,42214,2016-04-13 12:00:00,177.5,10.0,209.0
3346,polls-plus,Wisconsin,2016-08-05 00:00:00,2016-08-18 00:00:00,Ipsos,512.0,37.8,36.5,44982,2016-08-11 12:00:00,57.5,10.0,186.0
3379,polls-plus,Wisconsin,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,653.0,39.9,27.2,45538,2016-08-27 00:00:00,42.0,10.0,177.0
3402,polls-plus,Wisconsin,2016-03-30 00:00:00,2016-04-03 00:00:00,Emerson College,1198.0,47.0,37.0,36686,2016-04-01 00:00:00,190.0,10.0,443.0
3449,polls-plus,Wisconsin,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,685.0,42.0,27.9,45588,2016-08-20 00:00:00,49.0,10.0,190.0
3535,polls-plus,Wisconsin,2016-03-28 00:00:00,2016-03-30 00:00:00,Gravis Marketing,1480.0,49.0,41.0,42178,2016-03-29 00:00:00,193.0,10.0,606.0
3540,polls-plus,Wisconsin,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,660.0,44.1,24.5,45638,2016-08-13 00:00:00,56.0,10.0,161.0
3582,polls-plus,Wisconsin,2016-03-20 00:00:00,2016-03-22 00:00:00,Emerson College,922.0,47.0,38.0,36647,2016-03-21 00:00:00,201.0,10.0,350.0
4074,polls-plus,Wisconsin,2016-08-25 00:00:00,2016-08-28 00:00:00,Marquette University,650.0,41.0,38.0,45245,2016-08-26 12:00:00,42.5,10.0,247.0
4107,polls-plus,Wisconsin,2016-06-09 00:00:00,2016-06-12 00:00:00,Marquette University,666.0,46.0,37.0,44341,2016-06-10 12:00:00,119.5,10.0,246.0
4115,polls-plus,Wisconsin,2016-09-15 00:00:00,2016-09-18 00:00:00,Marquette University,677.0,41.0,38.0,45917,2016-09-16 12:00:00,21.5,10.0,257.0
4120,polls-plus,Wisconsin,2016-02-18 00:00:00,2016-02-21 00:00:00,Marquette University,802.0,48.0,37.0,36445,2016-02-19 12:00:00,231.5,10.0,296.0
4137,polls-plus,Wisconsin,2015-11-12 00:00:00,2015-11-15 00:00:00,Marquette University,803.0,48.0,38.0,35397,2015-11-13 12:00:00,329.5,10.0,305.0
4147,polls-plus,Wisconsin,2016-07-07 00:00:00,2016-07-10 00:00:00,Marquette University,665.0,43.0,37.0,44576,2016-07-08 12:00:00,91.5,10.0,246.0
4154,polls-plus,Wisconsin,2016-03-24 00:00:00,2016-03-28 00:00:00,Marquette University,1405.0,47.0,37.0,36667,2016-03-26 00:00:00,196.0,10.0,519.0
4159,polls-plus,Wisconsin,2016-01-21 00:00:00,2016-01-24 00:00:00,Marquette University,806.0,47.0,38.0,35995,2016-01-22 12:00:00,259.5,10.0,306.0
4204,polls-plus,Wisconsin,2016-08-04 00:00:00,2016-08-07 00:00:00,Marquette University,683.0,47.0,34.0,44817,2016-08-05 12:00:00,63.5,10.0,232.0
