,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
898,polls-plus,Wyoming,2016-09-06 00:00:00,2016-09-11 00:00:00,DFM Research,402.0,19.0,54.0,45919,2016-09-08 12:00:00,29.5,3.0,217.0
1786,polls-plus,Wyoming,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,727.0,21.0,57.0,45392,2016-08-20 12:00:00,48.5,3.0,414.0
2144,polls-plus,Wyoming,2016-10-04 00:00:00,2016-10-09 00:00:00,Google Consumer Surveys,35.0,11.0,52.7,46736,2016-10-06 12:00:00,1.5,3.0,18.0
2228,polls-plus,Wyoming,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,43.0,18.8,35.1,46509,2016-09-30 00:00:00,8.0,3.0,15.0
2286,polls-plus,Wyoming,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,55.0,17.8,45.9,46284,2016-09-23 12:00:00,14.5,3.0,25.0
2423,polls-plus,Wyoming,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,60.0,30.1,45.3,45998,2016-09-17 00:00:00,21.0,3.0,27.0
2551,polls-plus,Wyoming,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,63.0,16.6,58.2,45792,2016-09-10 00:00:00,28.0,3.0,36.0
2676,polls-plus,Wyoming,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,69.0,22.4,46.8,45489,2016-09-03 00:00:00,35.0,3.0,32.0
2788,polls-plus,Wyoming,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,75.0,21.3,42.5,45540,2016-08-27 00:00:00,42.0,3.0,31.0
2921,polls-plus,Wyoming,2016-08-17 00:00:00,2016-08-23 00:00:00,Google Consumer Surveys,78.0,26.3,41.8,45590,2016-08-20 00:00:00,49.0,3.0,32.0
3126,polls-plus,Wyoming,2016-08-10 00:00:00,2016-08-16 00:00:00,Google Consumer Surveys,66.0,22.0,40.8,45640,2016-08-13 00:00:00,56.0,3.0,26.0
